# SKA LOW AA2 configuration taken from ska_ost_array_config
# in ENU coordinates
6984.215192 -4114.207066 -7.916547
6940.002015 -4093.129281 -8.054697
7049.524628 -4087.650449 -7.571189
6987.232999 -4049.940475 -7.778528
17349.931477 1365.974651 -7.789686
17256.872834 1369.205598 -7.938108
17306.999348 1381.104187 -7.876406
17259.021387 1414.190290 -8.253780
4661.243941 -1292.153681 -6.895860
4720.994015 -1268.906921 -7.135085
4611.156547 -1260.333402 -6.453082
4707.095643 -1221.586693 -6.915539
6127.786156 1584.741177 -3.801613
6170.060841 1619.957901 -3.651227
6124.433732 1640.367721 -3.812524
6215.655318 1646.640613 -3.402328
-149.137388 8154.897304 -27.401559
-191.514706 8161.212130 -27.710805
-230.012742 8179.715496 -27.835889
-142.571926 8202.211228 -27.562360
-9106.668597 14569.921552 -28.777370
-9060.594912 14581.810455 -28.939097
-9131.574543 14604.031313 -28.991326
-9084.516201 14628.886290 -28.681397
-7789.336499 26522.884264 -84.217879
-7729.773666 26541.092940 -84.221565
-7826.423066 26567.181275 -84.748466
-7779.605333 26575.963648 -84.627987
-10521.498048 36153.772792 -146.378135
-10444.456701 36181.648763 -146.110406
-10508.379663 36203.754014 -146.641356
-10455.358669 36224.629843 -146.373361
-1286.405891 4625.665129 -27.777120
-1202.970585 4659.690937 -27.685732
-1308.786583 4666.328683 -27.911427
-1259.460705 4684.062360 -27.814563
-4482.364032 4448.306999 -33.594626
-4451.944778 4482.224831 -33.497192
-4542.246367 4488.951928 -33.665568
-4494.714694 4501.711675 -33.540955
-7027.725369 -4363.757647 -44.630956
-7007.475152 -4322.192852 -44.680259
-6962.755990 -4318.179153 -44.628589
-7044.754330 -4299.498516 -44.805886
-7001.244916 -4264.903073 -44.734678
-7057.101251 -4256.733641 -44.890708
-10901.207173 -13873.137844 -59.828984
-10943.021678 -13864.309518 -60.081252
-10901.644928 -13827.263992 -59.729656
-10965.809423 -13809.699493 -60.301341
-25603.455395 -13277.306419 -85.285107
-25658.838586 -13242.957251 -85.435765
-25604.439655 -13232.652633 -85.195828
-25556.709088 -13214.604253 -84.966944
-28259.595914 -26086.976869 -181.117272
-28314.594336 -26070.145773 -181.391880
-28215.117576 -26058.843595 -180.504957
-28262.802532 -26029.141648 -180.794087
-3459.546879 -3483.233047 -36.755455
-3415.917639 -3480.561976 -36.530491
-3373.788212 -3442.986541 -36.387595
-3411.958152 -3419.838323 -36.495374
-3455.394560 -3405.888473 -36.511241
-3421.315225 -3367.539692 -36.472426
-1598.974415 -6225.924167 -34.715379
-1700.662717 -6209.782713 -35.025854
-1647.109020 -6179.746833 -34.982503
-1710.903496 -6164.685573 -34.984641
