# Tile Number, Zone, Easting, Northing, Height, Long, Lat
T131,50,468088.952,7047371.291,372.828,116.67922936,-26.69440553
T132,50,468426.471,7047240.634,372.289,116.68261888,-26.69559297
T133,50,468563.507,7046935.881,370.513,116.68398852,-26.69834768
T134,50,467807.200,7046625.197,372.313,116.67637766,-26.70113541
T135,50,467822.315,7046739.903,372.545,116.67653259,-26.70010010
T136,50,467739.503,7046805.426,373.000,116.67570182,-26.69950660
T137,50,467778.929,7046919.685,372.834,116.67610112,-26.69847588
T138,50,467631.182,7047032.916,374.296,116.67461883,-26.69745014
T141,50,468351.986,7046533.925,369.162,116.68185176,-26.70197201
T142,50,468453.657,7045939.476,368.456,116.68285836,-26.70734153
T143,50,467751.050,7046116.228,373.245,116.67579999,-26.70572952
T144,50,467553.157,7046331.251,374.625,116.67381626,-26.70378357
T145,50,467622.550,7046341.962,374.351,116.67451411,-26.70368845
T146,50,467796.274,7046289.700,372.836,116.67625911,-26.70416431
T147,50,467758.535,7046377.494,372.823,116.67588202,-26.70337076
T148,50,467775.257,7046456.208,372.635,116.67605217,-26.70266045
T151,50,467908.111,7045343.868,371.189,116.67735879,-26.71270664
T152,50,467696.912,7045545.663,372.321,116.67524095,-26.71087981
T153,50,467194.524,7045874.174,372.933,116.67019922,-26.70790220
T154,50,467290.082,7045974.652,374.047,116.67116243,-26.70699719
T155,50,467485.638,7046022.293,375.276,116.67312950,-26.70657154
T156,50,467510.790,7046013.800,375.237,116.67338212,-26.70664880
T157,50,467578.335,7046061.895,375.045,116.67406236,-26.70621611
T158,50,467578.717,7046074.091,375.144,116.67406652,-26.70610601
T161,50,466840.799,7045969.484,373.996,116.66664588,-26.70703353
T162,50,467111.250,7045958.987,373.518,116.66936431,-26.70713452
T163,50,466774.074,7045561.253,375.791,116.66596452,-26.71071785
T164,50,466678.980,7045514.572,375.607,116.66500737,-26.71113713
T165,50,466579.961,7045739.115,375.408,116.66401782,-26.70910750
T166,50,466621.541,7046132.789,375.580,116.66444603,-26.70555404
T167,50,466619.513,7046208.491,375.650,116.66442761,-26.70487049
T168,50,466684.405,7046120.404,375.277,116.66507764,-26.70566730
TAAVS-79,50,466778.560,7046669.534,374.326,116.66603840,-26.70071146
Rec01,50,467087.250,7046638.100,375,116.66914070,-26.70100237
Rec02,50,467097.250,7046638.100,375,116.66924122,-26.70100260
Rec03,50,467272.280,7046617.500,375,116.67100018,-26.70119262
Rec04,50,467282.280,7046617.500,375,116.67110070,-26.70119285
Rec05,50,467171.350,7046491.100,375,116.66998229,-26.70233154
Rec06,50,467181.350,7046491.100,375,116.67008282,-26.70233177
Rec07,50,466912.320,7046530.600,375,116.66737942,-26.70196895
Rec08,50,467031.930,7046804.600,375,116.66858892,-26.69949780
Rec09,50,467348.000,7046738.000,375,116.67176448,-26.70010638
Rec10,50,466597.330,7046693.600,375,116.66421721,-26.70049001
Rec11,50,466810.860,7047558.700,375,116.66638620,-26.69268407
Rec12,50,467582.000,7047473.600,375,116.67413588,-26.69347015
Rec13,50,468065.820,7046893.700,375,116.67898442,-26.69871709
Rec14,50,468029.730,7046196.200,375,116.67860350,-26.70501387
Rec15,50,467616.700,7045714.300,375,116.67443900,-26.70935537
Rec16,50,466753.790,7045735.900,375,116.66576515,-26.70914052
