# Data from McBride et al. (2002), NASA Glenn Coefficients for Calculating Thermodynamic Properties of Individual Species, No. 2002-211556 NASA
# https://ntrs.nasa.gov/citations/20020085330
# The Hill system is adopted and state refers to the JANAF convention for the state of aggregation
# Temperature ranges should be in ascending order
# Gases appear in the top section and condensed phases appear further down.
# Column names are as follows:
hill_formula state T_min T_max a1 a2 a3 a4 a5 a6 a7 b1 b2
Al2O g 1000 6000 -1.171074351e+05 -1.783009166e+02 7.633215360e+00 -5.335931770e-05 1.180702791e-08 -1.355444579e-12 6.287323890e-17 -1.947580149e+04 -1.415764167e+01
Al2O2 g 200 1000 -1.940560042e+04 2.508489836e+02 3.621403790e+00 1.951385302e-02 -2.560329071e-05 1.662721576e-08 -4.312396200e-12 -5.172697280e+04 9.923995945e+00
Al2O2 g 1000 6000 -1.940611656e+05 -4.609752430e+02 1.084375637e+01 -1.376042893e-04 3.044733119e-08 -3.496193920e-12 1.622305079e-16 -4.963055780e+04 -2.946538090e+01
Al2O3 g 200 1000 -7.443374320e+03 8.829004210e+01 5.264662640e+00 2.507678848e-02 -3.434541650e-05 2.302516980e-08 -6.122529280e-12 -6.872685950e+04 2.202324298e+00
Al2O3 g 1000 6000 -2.777784969e+05 -4.917465930e+02 1.386703888e+01 -1.469381940e-04 3.250406490e-08 -3.730867350e-12 1.730444284e-16 -6.790757850e+04 -4.375559873e+01
Ar g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 4.379674910e00
Ar g 1000 6000 2.010538475e01 -5.992661070e-02 2.500069401e00 -3.992141160e-08 1.205272140e-11 -1.819015576e-15 1.078576636e-19 -7.449939610e02 4.379180110e00
Ar g 6000 20000 -9.951265080e08 6.458887260e05 -1.675894697e02 2.319933363e-02 -1.721080911e-06 6.531938460e-11 -9.740147729e-16 -5.078300340e06 1.465298484e03
C g 200 1000 6.495031470e2 -9.649010860e-1 2.504675479 -1.281448025e-5 1.980133654e-8 -1.606144025e-11 5.314483411e-15 8.545763110e4 4.747924288
C g 1000 6000 -1.289136472e5 1.719528572e2 2.646044387 -3.353068950e-4 1.742092740e-7 -2.902817829e-11 1.642182385e-15 8.410597850e4 4.130047418
C g 6000 20000 4.432528010e8 -2.886018412e5 7.737108320e1 -9.715281890e-3 6.649595330e-7 -2.230078776e-11 2.899388702e-16 2.355273444e6 -6.405123160e2
CN g 200 1000 3.949148570e+03 -1.391590572e+02 4.930835320e+00 -6.304670510e-03 1.256836472e-05 -9.878300500e-09 2.843137221e-12 5.228455380e+04 -2.763115585e+00
CN g 1000 6000 -2.228006270e+06 5.040733390e+03 -2.121897722e-01 1.354901134e-03 1.325929798e-07 -6.937006370e-11 5.494952270e-15 1.784496132e+04 3.282563919e+01
CN g 6000 20000 -1.794798118e+08 1.054346069e+05 -1.729624170e+01 2.194895530e-03 -8.508938030e-08 9.318692990e-13 6.358139930e-18 -7.962594120e+05 1.913139639e+02
CO g 200 1000 1.489045326e4 -2.922285939e2 5.724527170 -8.176235030e-3 1.456903469e-5 -1.087746302e-8 3.027941827e-12 -1.303131878e4 -7.859241350
CO g 1000 6000 4.619197250e5 -1.944704863e3 5.916714180 -5.664282830e-4 1.398814540e-7 -1.787680361e-11 9.620935570e-16 -2.466261084e3 -1.387413108e1
CO g 6000 20000 8.868662960e8 -7.500377840e5 2.495474979e2 -3.956351100e-2 3.297772080e-6 -1.318409933e-10 1.998937948e-15 5.701421130e6 -2.060704786e3
COS g 200 1000 8.547876430e04 -1.319464821e03 9.735257240e00 -6.870830960e-03 1.082331416e-05 -7.705597340e-09 2.078570344e-12 -1.191657685e04 -2.991988593e01
COS g 1000 6000 1.959098567e05 -1.756167688e03 8.710430340e00 -4.139424960e-04 1.015243648e-07 -1.159609663e-11 5.691053860e-16 -8.927096690e03 -2.636328016e01
CO2 g 200 1000 4.943650540e4 -6.264116010e2 5.301725240 2.503813816e-3 -2.127308728e-7 -7.689988780e-10 2.849677801e-13 -4.528198460e4 -7.048279440
CO2 g 1000 6000 1.176962419e5 -1.788791477e3 8.291523190 -9.223156780e-5 4.863676880e-9 -1.891053312e-12 6.330036590e-16 -3.908350590e4 -2.652669281e1
CO2 g 6000 20000 -1.544423287e9 1.016847056e6 -2.561405230e2 3.369401080e-2 -2.181184337e-6 6.991420840e-11 -8.842351500e-16 -8.043214510e6 2.254177493e3
C2H g 200 1000 1.343669487e+04 -5.067970720e+02 7.772107410e+00 -6.512339820e-03 1.030117855e-05 -5.880147670e-09 1.226901861e-12 6.892269990e+04 -1.871881626e+01
C2H g 1000 6000 3.922334570e+06 -1.204751703e+04 1.756172920e+01 -3.655442940e-03 6.987685430e-07 -6.825162010e-11 2.719262793e-15 1.433266627e+05 -9.561634380e+01
C2N g 200 1000 -1.696281385e+04 9.837891630e+01 3.812662940e+00 5.346894230e-03 -2.473598508e-06 -3.730564220e-10 4.481756860e-13 9.480072570e+04 5.553165572e+00
C2N g 1000 6000 7.948674890e+04 -1.344786906e+03 8.309986460e+00 -2.220105361e-04 1.753683113e-08 2.545998719e-12 -2.645649117e-16 1.023187495e+05 -2.259793940e+01
C3 g 200 1000 -4.354614480e+04 6.660183220e+02 1.451033157e+00 7.434513120e-03 -3.810152990e-06 -2.336961396e-11 4.407054530e-13 9.635170200e+04 2.025173297e+01
C3 g 1000 6000 4.508098930e+06 -1.461033761e+04 2.281974644e+01 -8.544340610e-03 2.146069341e-06 -2.103867761e-10 6.351589060e-15 1.911976065e+05 -1.271869723e+02
C3 g 6000 20000 1.539589859e+08 -2.089057498e+05 7.681111210e+01 -8.939056190e-03 5.594033240e-07 -1.743774353e-11 2.181541208e-16 1.650801763e+06 -6.081693320e+02
C4N2 g 200 1000 1.587802866e+05 -2.987184206e+03 2.348081602e+01 -2.607502448e-02 4.042830030e-05 -2.804912444e-08 7.397652050e-12 7.505299470e+04 -1.017578250e+02
C4N2 g 1000 6000 1.167686152e+06 -6.198644180e+03 2.062070093e+01 -1.518619449e-03 3.162361680e-07 -3.469922800e-11 1.555154128e-15 9.667409390e+04 -9.669734738e+01
CHN g 200 1000 9.098286930e04 -1.238657512e03 8.721307870e00 -6.528242940e-03 8.872700830e-06 -4.808886670e-09 9.317898500e-13 2.098915450e04 -2.746678076e01
CHN g 1000 6000 1.236889278e06 -4.446732410e03 9.738874850e00 -5.855182640e-04 1.072791440e-07 -1.013313244e-11 3.348247980e-16 4.221513770e04 -4.005774072e01
CH2 g 200 1000 3.218921730e+04 -2.877601815e+02 4.203583820e+00 3.455405960e-03 -6.746193340e-06 7.654571640e-09 -2.870328419e-12 4.733624710e+04 -2.143628603e+00
CH2 g 1000 6000 2.550418031e+06 -7.971625390e+03 1.228924487e+01 -1.699122922e-03 2.991728605e-07 -2.767007492e-11 1.051341740e-15 9.642216890e+04 -6.094739910e+01
CH3 g 200 1000 -2.876188806e+04 5.093268660e+02 2.002143949e-01 1.363605829e-02 -1.433989346e-05 1.013556725e-08 -3.027331936e-12 1.408271825e+04 2.022772791e+01
CH3 g 1000 6000 2.760802663e+06 -9.336531170e+03 1.487729606e+01 -1.439429774e-03 2.444477951e-07 -2.224555778e-11 8.395065760e-16 7.481809480e+04 -7.919682400e+01
CH4 g 200 1000 -1.766850998e5 2.786181020e3 -1.202577850e1 3.917619290e-2 -3.619054430e-5 2.026853043e-8 -4.976705490e-12 -2.331314360e4 8.904322750e1
CH4 g 1000 6000 3.730042760e6 -1.383501485e4 2.049107091e1 -1.961974759e-3 4.727313040e-7 -3.728814690e-11 1.623737207e-15 7.532066910e4 -1.219124889e2
C2H2 g 200 1000 1.598112089e05 -2.216644118e03 1.265707813e01 -7.979651080e-03 8.054992750e-06 -2.433307673e-09 -7.529233180e-14 3.712619060e04 -5.244338900e01
C2H2 g 1000 6000 1.713847410e06 -5.929106660e03 1.236127943e01 1.314186993e-04 -1.362764431e-07 2.712655786e-11 -1.302066204e-15 6.266578970e04 -5.818960590e01
C2H3 g 200 1000 -3.347896870e+04 1.064104103e+03 -6.403857060e+00 3.934515480e-02 -4.760046090e-05 3.170071350e-08 -8.633406430e-12 3.039122649e+04 5.809226180e+01
C2H3 g 1000 6000 2.718080093e+06 -1.030956829e+04 1.836579807e+01 -1.580131153e-03 2.680594939e-07 -2.439003999e-11 9.209096390e-16 9.765055590e+04 -9.760086860e+01
C2H3N g 200 1000 -9.965988380e+04 1.739278534e+03 -7.898420820e+00 4.294894320e-02 -4.499973880e-05 2.717105086e-08 -7.026117590e-12 -1.461161333e+03 6.852508274e+01
C2H3N g 1000 6000 2.923231393e+06 -1.233792258e+04 2.324477222e+01 -2.411565845e-03 4.622157170e-07 -4.740601240e-11 2.010639467e-15 8.058565550e+04 -1.292249102e+02
C2H4 g 200 1000 -1.163605836e+05 2.554851510e+03 -1.609746428e+01 6.625779320e-02 -7.885081860e-05 5.125224820e-08 -1.370340031e-11 -6.176191070e+03 1.093338343e+02
C2H4 g 1000 6000 3.408763670e+06 -1.374847903e+04 2.365898074e+01 -2.423804419e-03 4.431395660e-07 -4.352683390e-11 1.775410633e-15 8.820429380e+04 -1.371278108e+02
C2H5 g 200 1000 -1.411312551e+05 2.714285088e+03 -1.534977725e+01 6.451672580e-02 -7.259143960e-05 4.599116010e-08 -1.218367535e-11 5.981418840e+02 1.090966520e+02
C2H5 g 1000 6000 4.169220400e+06 -1.662982142e+04 2.795442134e+01 -3.051715761e-03 5.685160040e-07 -5.682863600e-11 2.355648561e-15 1.137010087e+05 -1.639357995e+02
C2H6 g 200 1000 -1.862044161e+05 3.406191860e+03 -1.951705092e+01 7.565835590e-02 -8.204173220e-05 5.061135800e-08 -1.319281992e-11 -2.702932890e+04 1.298140496e+02
C2H6 g 1000 6000 5.025782130e+06 -2.033022397e+04 3.322552930e+01 -3.836703410e-03 7.238405860e-07 -7.319182500e-11 3.065468699e-15 1.115963950e+05 -2.039410584e+02
Ca g 200 1000 0.000000000e+00 0.000000000e+00 2.500000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 2.063892786e+04 4.384548330e+00
Ca g 1000 6000 7.547341240e+06 -2.148642662e+04 2.530849567e+01 -1.103773705e-02 2.293249636e-06 -1.209075383e-10 -4.015333268e-15 1.585862323e+05 -1.609512955e+02
Ca g 6000 20000 2.291781634e+09 -1.608862960e+06 4.312466360e+02 -5.396508990e-02 3.531856210e-06 -1.164403850e-10 1.527134223e-15 1.258651434e+07 -3.692101610e+03
CaO g 200 1000 3.889733070e+04 -4.835677350e+02 5.077713250e+00 3.076235250e-04 -1.159759897e-06 8.493433340e-10 -1.495333366e-13 5.937643480e+03 -3.955320730e+00
CaO g 1000 6000 -4.913106170e+07 1.495865950e+05 -1.681654149e+02 9.381950260e-02 -2.455529428e-05 3.074980720e-09 -1.485914237e-13 -9.461511720e+05 1.235694769e+03
CaO g 6000 20000 -3.504055130e+08 2.083212387e+05 -3.978209270e+01 5.039268720e-03 -3.220707680e-07 1.057379426e-11 -1.396044154e-16 -1.662378721e+06 3.934491930e+02
Ca2 g 200 1000 -8.582228620e+04 1.588188960e+02 1.103952055e+01 -3.333196760e-02 5.345938810e-05 -4.011573240e-08 1.160486682e-11 3.770350800e+04 -2.397744561e+01
Ca2 g 1000 6000 2.405966267e+05 5.775803820e+01 2.347436675e+00 1.199275034e-04 -4.329150310e-08 7.015302690e-12 -3.705660320e-16 4.081875400e+04 1.895399607e+01
Cl2 g 200 1000 3.462815170e4 -5.547126520e2 6.207589370 -2.989632078e-3 3.173027290e-6 -1.793629562e-9 4.260043590e-13 1.534069331e3 -9.438331107
Cl2 g 1000 6000 6.092569420e6 -1.949627662e4 2.854535795e1 -1.449968764e-2 4.463890770e-6 -6.358525860e-10 3.327360290e-14 1.212117724e5 -1.690778824e2
ClH g 200 1000 2.062588287e4 -3.093368855e2 5.275418850 -4.828874220e-3 6.195794600e-6 -3.040023782e-9 4.916790030e-13 -1.067782299e4 -7.309305408
ClH g 1000 6000 9.157749510e5 -2.770550211e3 5.973539790 -3.629810060e-4 4.735529190e-8 2.810262054e-12 -6.656104220e-16 5.674958050e3 -1.642825822e1
Cr g 200 1000 1.335658217e+03 -2.102424026e+01 2.631908173e+00 -4.246263250e-04 7.439194160e-07 -6.763931630e-10 2.507855625e-13 4.715866640e+04 6.005425450e+00
Cr g 1000 6000 -1.120220789e+07 3.401163690e+04 -3.657062170e+01 2.110296902e-02 -5.518180140e-06 7.173601710e-10 -3.505127367e-14 -1.688993440e+05 2.864481267e+02
Cr g 6000 20000 3.900886930e+09 -2.462918543e+06 5.915632640e+02 -6.697121640e-02 3.946957790e-06 -1.166504597e-10 1.367279456e-15 1.955381984e+07 -5.133510550e+03
CrO g 200 1000 9.373334110e+03 1.369743818e+02 1.621443428e+00 8.814095960e-03 -1.232845360e-05 8.497960940e-09 -2.315804197e-12 2.090948871e+04 1.781935787e+01
CrO g 1000 6000 1.092367332e+06 -3.749758650e+03 9.007870210e+00 -2.545445236e-03 6.928051680e-07 -6.390831950e-11 1.659741645e-15 4.447098210e+04 -2.942600453e+01
CrO g 6000 20000 5.600191720e+08 -3.409592350e+05 7.971428300e+01 -7.045904880e-03 3.311256200e-07 -8.196877430e-12 8.487479810e-17 2.738393714e+06 -6.629641700e+02
CrO2 g 200 1000 3.548629900e+04 -2.298628537e+02 2.286289393e+00 1.616929338e-02 -2.345198910e-05 1.631365714e-08 -4.444269620e-12 -1.278912840e+04 1.442954956e+01
CrO2 g 1000 6000 -4.327109140e+05 1.915584657e+02 7.188247370e+00 -5.694846190e-04 3.546366130e-07 -5.655123060e-11 2.908946349e-15 -1.743339545e+04 -1.006424720e+01
CrO3 g 200 1000 4.183020060e+04 -5.059348850e+02 4.432715670e+00 1.995079387e-02 -2.920597649e-05 2.039330280e-08 -5.580086630e-12 -3.769702400e+04 8.653827280e-01
CrO3 g 1000 6000 -6.283314010e+05 6.928158180e+02 8.971274600e+00 6.823365640e-04 -2.235048825e-07 3.366785790e-11 -1.614026492e-15 -4.723880200e+04 -1.945305345e+01
Fe g 200 1000 6.790822660e04 -1.197218407e03 9.843393310e00 -1.652324828e-02 1.917939959e-05 -1.149825371e-08 2.832773807e-12 5.466995940e04 -3.383946260e01
Fe g 1000 6000 -1.954923682e06 6.737161100e03 -5.486410970e00 4.378803450e-03 -1.116286672e-06 1.544348856e-10 -8.023578182e-15 7.137370060e03 6.504979860e01
Fe g 6000 20000 1.216352511e09 -5.828563930e05 9.789634510e01 -5.370704430e-03 3.192037920e-08 6.267671430e-12 -1.480574914e-16 4.847648290e06 -8.697289770e02
FeO g 200 1000 1.569282213e04 -6.460188880e01 2.458925470e00 7.016047360e-03 -1.021405947e-05 7.179297870e-09 -1.978966365e-12 2.964572665e04 1.326115545e01
FeO g 1000 6000 -1.195971480e05 -3.624864780e02 5.518880750e00 -9.978856890e-04 4.376913830e-07 -6.790629460e-11 3.639292680e-15 3.037985806e04 -3.633655420e00
H g 200 1000 0.000000000e+00 0.000000000e+00 2.500000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 2.547370801e+04 -4.466828530e-01
H g 1000 6000 6.078774250e+01 -1.819354417e-01 2.500211817e+00 -1.226512864e-07 3.732876330e-11 -5.687744560e-15 3.410210197e-19 2.547486398e+04 -4.481917770e-01
H g 6000 20000 2.173757694e+08 -1.3120354033e+05 3.399174200e+01 -3.813999680e-03 2.432854837e-07 -7.694275540e-12 9.644105630e-17 1.067638086e+06 -2.742301051e+02
HO g 200 1000 -1.998858990e03 9.300136160e01 3.050854229e00 1.529529288e-03 -3.157890998e-06 3.315446180e-09 -1.138762683e-12 2.991214235e03 4.674110790e00
HO g 1000 6000 1.017393379e06 -2.509957276e03 5.116547860e00 1.305299930e-04 -8.284322260e-08 2.006475941e-11 -1.556993656e-15 2.019640206e04 -1.101282337e01
HO g 6000 20000 2.847234193e08 -1.859532612e05 5.008240900e01 -5.142374980e-03 2.875536589e-07 -8.228817960e-12 9.567229020e-17 1.468393908e06 -4.023555580e02
HS g 200 1000 6.389434680e03 -3.747960920e02 7.548145770e00 -1.288875477e-02 1.907786343e-05 -1.265033728e-08 3.235158690e-12 1.742902395e04 -1.760761843e01
HS g 1000 6000 1.682631601e06 -5.177152210e03 9.198168520e00 -2.323550224e-03 6.543914780e-07 -8.468470420e-11 3.864741550e-15 4.899214490e04 -3.770400275e01
H2 g 200 1000 4.078323210e4 -8.009186040e2 8.214702010 -1.269714457e-2 1.753605076e-5 -1.202860270e-8 3.368093490e-12 2.682484665e3 -3.043788844e1
H2 g 1000 6000 5.608128010e5 -8.37150474e2 2.975364532 1.252249124e-3 -3.740716190e-7 5.936625200e-11 -3.606994100e-15 5.339824410e3 -2.202774769
H2 g 6000 20000 4.966884120e8 -3.147547149e5 7.984121880e1 -8.414789210e-3 4.753248350e-7 -1.371873492e-11 1.605461756e-16 2.488433516e6 -6.695728110e2
H2O g 200 1000 -3.947960830e4 5.755731020e2 9.317826530e-1 7.222712860e-3 -7.342557370e-6 4.955043490e-9 -1.336933246e-12 -3.303974310e4 1.724205775e1
H2O g 1000 6000 1.034972096e6 -2.412698562e3 4.646110780 2.291998307e-3 -6.836830480e-7 9.426468930e-11 -4.822380530e-15 -1.384286509e4 -7.978148510
H2O4S g 200 1000 -4.129150050e4 6.681589890e2 -2.632753507 5.415382480e-2 -7.067502230e-5 4.684611420e-8 -1.236791238e-11 -9.315660120e4 3.961096201e1
H2O4S g 1000 6000 1.437877914e6 -6.614902530e3 2.157662058e1 -4.806255970e-4 3.010775121e-8 2.334842469e-12 -2.946330375e-16 -5.259092950e4 -1.023603724e2
H2S g 200 1000 9.543808810e3 -6.875175080e1 4.054921960 -3.014557336e-4 3.768497750e-6 -2.239358925e-9 3.086859108e-13 -3.278457280e3 1.415194691
H2S g 1000 6000 1.430040220e6 -5.284028650e3 1.016182124e1 -9.703849960e-4 2.154003405e-7 -2.169695700e-11 9.318163070e-16 2.908696214e4 -4.349160391e1
H3N g 200 1000 -7.681226150e4 1.270951578e3 -3.893229130 2.145988418e-2 -2.183766703e-5 1.317385706e-8 -3.332322060e-12 -1.264886413e4 4.366014588e1
H3N g 1000 6000 2.452389535e6 -8.040894240e3 1.271346201e1 -3.980186580e-4 3.552502750e-8 2.530923570e-12 -3.322700530e-16 4.386191960e4 -6.462330602e1
H4Si g 200 1000 7.872993290e4 -5.526087050e2 2.498944303 1.442118274e-2 -8.467107310e-6 2.726164641e-9 -5.436754370e-13 6.269669060e3 4.965461830
H4Si g 1000 6000 1.290378740e6 -7.813399780e3 1.828851664e1 -1.975620946e-3 4.156502150e-7 -4.596745610e-11 2.072777131e-15 4.766887950e4 -9.801697460e1
He g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e2 9.287239740e-1
He g 1000 6000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e2 9.287239740e-1
He g 6000 20000 3.396845420e6 -2.194037652e3 3.080231878 -8.068957550e-5 6.252784910e-9 -2.574990067e-13 4.429960218e-18 1.650518960e4 -4.048814390
K g 200 1000 9.665143930e+00 -1.458059455e-01 2.500865861e+00 -2.601219276e-06 4.187306580e-09 -3.439722110e-12 1.131569009e-15 9.959493490e+03 5.035822260e+00
K g 1000 6000 -3.566422360e+06 1.085289825e+04 -1.054134898e+01 8.009801350e-03 -2.696681041e-06 4.715294150e-10 -2.976897350e-14 -5.875337010e+04 9.738551240e+01
K g 6000 20000 9.205786590e+08 -6.935300280e+05 1.911270788e+02 -2.305931672e-02 1.430294866e-06 -4.409335020e-11 5.366769166e-16 5.395082190e+06 -1.622158805e+03
KO g 200 1000 1.462562908e+04 -3.384765650e+02 5.716607640e+00 -2.363265083e-03 2.848716276e-06 -1.739858233e-09 4.431006520e-13 8.141835380e+03 -4.022101520e+00
KO g 1000 6000 6.960103380e+05 -3.304835290e+03 1.005743444e+01 -4.331112000e-03 1.747281632e-06 -3.012370548e-10 1.790827870e-14 2.604972496e+04 -3.448781520e+01
K2 g 200 1000 1.524169293e+04 -3.301789360e+02 7.070795950e+00 -9.767072460e-03 2.021535863e-05 -1.886092452e-08 6.112974640e-12 1.533402849e+04 -9.101035800e+00
K2 g 1000 6000 -2.734470745e+07 6.562180010e+04 -4.476350440e+01 8.938859150e-03 2.984557092e-06 -1.064158914e-09 8.334936930e-14 -4.226243830e+05 3.867142510e+02
K2O g 200 1000 2.392044068e+04 -5.445358390e+02 8.826403230e+00 -3.481429430e-03 3.834542070e-06 -2.268494189e-09 5.569212250e-13 -8.234291680e+03 -1.663099064e+01
K2O g 1000 6000 -4.611464580e+04 -1.363119524e+01 7.010530440e+00 -4.323658260e-06 9.747788420e-10 -1.135283694e-13 5.325860600e-18 -1.107222244e+04 -5.768718720e+00
K2O2 g 200 1000 4.810870610e+04 -1.003601504e+03 1.154229002e+01 -4.546332520e-04 -1.516606209e-06 1.799426090e-09 -6.128337290e-13 -2.057151920e+04 -3.181199790e+01
K2O2 g 1000 6000 -1.476073073e+05 -1.021932040e+02 1.007664713e+01 -3.076517991e-05 6.815252810e-09 -7.828654450e-13 3.632506100e-17 -2.592056324e+04 -2.162287184e+01
Kr g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 -7.453750000e02 5.490956510e00
Kr g 1000 6000 2.643639057e02 -7.910050820e-01 2.500920585e00 -5.328164110e-07 1.620730161e-10 -2.467898017e-14 1.478585040e-18 -7.403488940e02 5.484398150e00
Kr g 6000 20000 -1.375531087e09 9.064030530e05 -2.403481435e02 3.378312030e-02 -2.563103877e-06 9.969787790e-11 -1.521249677e-15 -7.111667370e06 2.086866326e03
Mg g 200 1000 0.0 0.0 2.5 0.0 0.0 0.0 0.0 1.694658761e04 3.634330140e00
Mg g 1000 6000 -5.364831550e05 1.973709576e03 -3.633776900e-01 2.071795561e-03 -7.738051720e-07 1.359277788e-10 -7.766898397e-15 4.829188110e03 2.339104998e01
Mg g 6000 20000 2.166012586e09 -1.008355665e06 1.619680021e02 -8.790130350e-03 -1.925690961e-08 1.725045214e-11 -4.234946112e-16 8.349525900e06 -1.469355261e03
MgO g 200 1000 3.513659740e05 -5.287197160e03 3.382060060e01 -8.400489630e-02 1.210016160e-04 -7.630795020e-08 1.701022862e-11 2.790679519e04 -1.624886199e02
MgO g 1000 6000 -1.586738367e07 3.420468100e04 -1.774087677e01 7.004963050e-03 -1.104138249e-06 8.957488530e-11 -3.052513649e-15 -2.300504434e05 1.738984472e02
MgO g 6000 20000 2.290059050e06 -2.073499632e04 1.444150005e01 -1.490609900e-03 1.052119343e-07 -3.523030610e-12 4.613111760e-17 1.490218815e05 -8.007281730e01
N g 200 1000 0.000000000e+00 0.000000000e+00 2.500000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00 5.610463780e+04 4.193905036e+00
N g 1000 6000 8.876501380e+04 -1.071231500e+02 2.362188287e+00 2.916720081e-04 -1.729515100e-07 4.012657880e-11 -2.677227571e-15 5.697351330e+04 4.865231506e+00
N g 6000 20000 5.475181050e+08 -3.107574980e+05 6.916782740e+01 -6.847988130e-03 3.827572400e-07 -1.098367709e-11 1.277986024e-16 2.550585618e+06 -5.848769753e+02
NH g 200 1000 1.359651320e+04 -1.900296604e+02 4.518496790e+00 -2.432776899e-03 2.377587464e-06 -2.592797084e-10 -2.659680792e-13 4.280972190e+04 -3.886561616e+00
NH g 1000 6000 1.958141991e+06 -5.782861300e+03 9.335742020e+00 -2.292910311e-03 6.076092480e-07 -6.647942750e-11 2.384234783e-15 7.898912340e+04 -4.116970400e+01
NH g 6000 20000 9.524636790e+07 -8.585826910e+04 2.980445181e+01 -2.979563697e-03 1.656334158e-07 -4.744791840e-12 5.570148290e-17 6.961434270e+05 -2.229027419e+02
NH2 g 200 1000 -3.118240659e+04 4.754243390e+02 1.372395176e+00 6.306429720e-03 -5.987893560e-06 4.492752340e-09 -1.414073548e-12 1.928939662e+04 1.540126885e+01
NH2 g 1000 6000 2.111053740e+06 -6.880627230e+03 1.132305924e+01 -1.829236741e-03 5.643890090e-07 -7.886452480e-11 4.078593450e-15 6.503778560e+04 -5.359155744e+01
NO g 200 1000 -1.143916503e04 1.536467592e02 3.431468730e00 -2.668592368e-03 8.481399120e-06 -7.685111050e-09 2.386797655e-12 9.098214410e03 6.728725490e00
NO g 1000 6000 2.239018716e05 -1.289651623e03 5.433936030e00 -3.656034900e-04 9.880966450e-08 -1.416076856e-11 9.380184620e-16 1.750317656e04 -8.501669090e00
NO g 6000 20000 -9.575303540e08 5.912434480e05 -1.384566826e02 1.694339403e-02 -1.007351096e-06 2.912584076e-11 -3.295109350e-16 -4.677501240e06 1.242081216e03
N2 g 200 1000 2.210371497e4 -3.818461820e2 6.082738360 -8.530914410e-03 1.384646189e-5 -9.625793620e-9 2.519705809e-12 7.108460860e2 -1.076003744e1
N2 g 1000 6000 5.877124060e5 -2.239249073e3 6.066949220 -6.139685500e-4 1.491806679e-7 -1.923105485e-11 1.061954386e-15 1.283210415e4 -1.586640027e1
N2 g 6000 20000 8.310139160e8 -6.420733540e5 2.020264635e2 -3.065092046e-2 2.486903333e-6 -9.705954110e-11 1.437538881e-15 4.938707040e6 -1.672099740e3
