# Data from McBride et al. (2002), NASA Glenn Coefficients for Calculating Thermodynamic Properties of Individual Species, No. 2002-211556 NASA
# https://ntrs.nasa.gov/citations/20020085330
# The Hill system is adopted and state refers to the JANAF convention for the state of aggregation
# Temperature ranges should be in ascending order
# Gases appear in the top section and condensed phases appear further down.
# Column names are as follows:
hill_formula state T_min T_max a1 a2 a3 a4 a5 a6 a7 b1 b2
# --- Gases ---
Al g 200 1000 5.006608890e+03 1.861304407e+01 2.412531111e00 1.987604647e-04 -2.432362152e-07 1.538281506e-10 -3.944375734e-14 3.887412680e+04 6.086585765e+00
Al g 1000 6000 -2.920820938e+04 1.167751876e+02 2.356906505e+00 7.737231520e-05 -1.529455262e-08 -9.971670260e-13 5.053278264e-16 3.823288650e+04 6.600920155e+00
Al g 6000 20000 -5.040682320e+08 3.802322650e+05 -1.082347159e+02 1.549444292e-02 -1.070103856e-06 3.592110900e-11 -4.696039394e-16 -2.901050501e+06 9.491883160e+02
AlO g 200 1000 -7.683391100e+03 2.957969549e+02 4.808108440e-01 1.169224855e-02 -1.595428871e-05 1.060766814e-08 -2.647888708e-12 5.843672170e+03 2.160997839e+01
AlO g 1000 6000 1.565721161e+04 3.855741010e+03 -5.926079780e+00 9.050960420e-03 -2.930661549e-06 4.238529070e-10 -2.280655341e-14 -1.331694655e+04 6.830663436e+01
AlO g 6000 20000 4.165661210e+07 -3.768608760e+04 1.547867956e+01 -9.568730340e-04 2.493109541e-08 6.688940290e-14 -8.998673700e-18 2.957786517e+05 -9.427715804e+01
AlO2 g 200 1000 4.338480450e+04 -4.735292260e+02 6.001717670e+00 7.094420880e-03 -1.129107996e-05 8.252691680e-09 -2.327652976e-12 -3.826145800e+03 -4.830022480e+00
AlO2 g 1000 6000 1.187216642e+05 -8.335625400e+02 8.309301190e+00 -3.538667220e-04 5.967069460e-08 4.014897700e-14 -3.515702520e-16 -2.033107586e+03 -1.715063884e+01
Al2 g 200 1000 -5.281509650e+03 -1.727374523e+01 4.604077010e+00 -2.616467770e-04 6.302319970e-07 -3.290938590e-10 8.888365140e-14 5.900706390e+04 3.060188921e+00
Al2 g 1000 6000 -2.320724102e+06 9.218707890e+03 -9.446951870e+00 9.999920010e-03 -3.154798085e-06 4.361544810e-10 -2.241157240e-14 2.904589544e+03 9.960320745e+01
Al2O g 200 1000 7.776530700e+03 -1.294235361e+02 4.912509520e+00 8.604223450e-03 -1.217703648e-05 8.314634870e-09 -2.237722201e-12 -1.886512879e+04 -2.806368311e-02
