Omega_b  Omega_m  h  sigma8_lcdm  n_s logfR0
3.7830e-02 4.2322e-01 7.2637e-01 7.1527e-01 8.5781e-01 5.5761e+00
3.9393e-02 1.9920e-01 7.7207e-01 6.7407e-01 8.2781e-01 6.1737e+00
4.0564e-02 3.0818e-01 8.1191e-01 9.1337e-01 1.0809e+00 6.8063e+00
4.2127e-02 2.9002e-01 6.1973e-01 8.5949e-01 7.9594e-01 6.8901e+00
4.4666e-02 3.6873e-01 6.0566e-01 7.8025e-01 1.1653e+00 5.4941e+00
4.5252e-02 4.3412e-01 7.0410e-01 9.7517e-01 9.1406e-01 4.4043e+00
4.7205e-02 2.1615e-01 8.2832e-01 7.9134e-01 9.5719e-01 4.5801e+00
4.8865e-02 1.8467e-01 6.7480e-01 1.0037e+00 1.0134e+00 6.3848e+00
4.9646e-02 3.2271e-01 6.6074e-01 7.0418e-01 7.6781e-01 4.1348e+00
5.2576e-02 3.9174e-01 7.5566e-01 8.7850e-01 7.2094e-01 6.5029e+00
5.3064e-02 3.4572e-01 8.4473e-01 6.4871e-01 1.1372e+00 5.2714e+00
5.4920e-02 2.6459e-01 6.4316e-01 9.6249e-01 1.1991e+00 4.7676e+00
5.7166e-02 2.5006e-01 5.5527e-01 8.3571e-01 8.8219e-01 5.0957e+00
5.7654e-02 4.5713e-01 5.8574e-01 7.4380e-01 1.0547e+00 4.3340e+00
5.9217e-02 1.6772e-01 6.9707e-01 6.3128e-01 9.6844e-01 5.8457e+00
6.1951e-02 3.6631e-01 7.7910e-01 9.1178e-01 1.0247e+00 5.9981e+00
3.7439e-02 3.4936e-01 6.2676e-01 8.0560e-01 9.1031e-01 5.6818e+00
3.9197e-02 1.6045e-01 7.8144e-01 7.5014e-01 9.9094e-01 5.3887e+00
4.1053e-02 3.3119e-01 7.2754e-01 7.2954e-01 8.8781e-01 4.0059e+00
4.3201e-02 2.1131e-01 6.7129e-01 6.9942e-01 7.3781e-01 6.6774e+00
4.4373e-02 3.7963e-01 8.2949e-01 8.6899e-01 9.3656e-01 6.2089e+00
4.5936e-02 2.6338e-01 8.3184e-01 9.2763e-01 1.1878e+00 4.9551e+00
4.6912e-02 3.8810e-01 5.9043e-01 6.7248e-01 1.1316e+00 4.5918e+00
4.8279e-02 2.7670e-01 6.8301e-01 1.0132e+00 8.2969e-01 6.2561e+00
5.1014e-02 4.6440e-01 6.5019e-01 8.8801e-01 8.0531e-01 6.5233e+00
5.1307e-02 1.7498e-01 5.6582e-01 7.6915e-01 9.7031e-01 4.9199e+00
5.3455e-02 2.2826e-01 7.6270e-01 8.2462e-01 7.5094e-01 4.2754e+00
5.4334e-02 3.2029e-01 5.7871e-01 9.4031e-01 1.1503e+00 5.6933e+00
5.6092e-02 4.4139e-01 7.3809e-01 9.6408e-01 8.6906e-01 4.4512e+00
5.8240e-02 2.3916e-01 8.0723e-01 6.2969e-01 1.0884e+00 5.1777e+00
5.9803e-02 2.9123e-01 7.1113e-01 8.4839e-01 1.0284e+00 6.9476e+00
