Omega_m  sigma8_lcdm logfR0
2.435692548751831055e-01 9.185707569122314453e-01 6.954999993453734319e+00
2.514517605304718018e-01 8.982932567596435547e-01 5.304999996630663794e+00
2.546047568321228027e-01 6.752407550811767578e-01 4.344999986817803972e+00
2.672167420387268066e-01 7.563507556915283203e-01 6.474999987037292293e+00
2.750992476940155029e-01 7.847392559051513672e-01 4.555000003019884502e+00
2.814052402973175049e-01 6.509077548980712891e-01 5.125000001455303433e+00
2.877112627029418945e-01 8.131277561187744141e-01 5.724999989839042236e+00
2.955937385559082031e-01 6.427967548370361328e-01 6.294999993317347275e+00
3.034762442111968994e-01 7.117402553558349609e-01 4.194999978124537066e+00
3.129352629184722900e-01 8.658492565155029297e-01 4.794999987494842131e+00
3.192412555217742920e-01 9.347927570343017578e-01 5.935000002034297673e+00
3.239707648754119873e-01 6.955182552337646484e-01 5.604999995639611932e+00
3.381592631340026855e-01 8.374607563018798828e-01 6.024999988830901820e+00
3.444652557373046875e-01 1.011847257614135742e+00 6.145000003686691414e+00
3.491947352886199951e-01 7.320177555084228516e-01 4.944999996340120774e+00
3.602302372455596924e-01 6.103527545928955078e-01 6.835000006465415723e+00
3.633832633495330811e-01 9.550702571868896484e-01 6.684999993467439339e+00
3.712657392024993896e-01 9.794032573699951172e-01 4.644999991100513093e+00
3.791482448577880859e-01 8.739602565765380859e-01 5.485000000318025037e+00
3.870307505130767822e-01 8.009612560272216797e-01 4.105000015491902410e+00
2.419927567243576050e-01 9.429037570953369141e-01 5.814999991554135050e+00
2.467222511768341064e-01 7.644617557525634766e-01 5.695000007041151946e+00
2.593342363834381104e-01 9.875142574310302734e-01 6.714999992035036058e+00
2.609107494354248047e-01 6.549632549285888672e-01 6.534999989856914659e+00
2.687932550907135010e-01 8.455717563629150391e-01 4.855000014041452872e+00
2.766757607460021973e-01 7.198512554168701172e-01 5.005000008889962437e+00
2.861347496509552002e-01 1.003736257553100586e+00 4.254999996304508869e+00
2.940172553062438965e-01 8.780157566070556641e-01 4.074999991452878945e+00
3.018997609615325928e-01 7.928502559661865234e-01 6.594999995820461258e+00
3.113587498664855957e-01 9.307372570037841797e-01 5.364999993207497653e+00
3.176647424697875977e-01 6.306302547454833984e-01 5.245000008302639571e+00
3.302767574787139893e-01 6.265747547149658203e-01 6.205000010614681649e+00
3.318532407283782959e-01 7.401287555694580078e-01 4.375000008347757152e+00
3.413122594356536865e-01 9.023487567901611328e-01 6.354999997850690363e+00
3.507712483406066895e-01 8.617937564849853516e-01 4.585000011206835424e+00
3.618067502975463867e-01 9.672367572784423828e-01 5.515000004644158516e+00
3.665362596511840820e-01 6.711852550506591797e-01 4.674999995230121996e+00
3.744187355041503906e-01 7.806837558746337891e-01 5.184999992193526808e+00
3.807247579097747803e-01 6.914627552032470703e-01 6.984999995913358184e+00
3.917602598667144775e-01 8.293497562408447266e-01 6.054999991262877579e+00
2.404162436723709106e-01 8.577382564544677734e-01 4.465000007991392295e+00
2.498752474784851074e-01 6.590187549591064453e-01 4.974999995375181783e+00
2.577577531337738037e-01 8.212387561798095703e-01 6.744999990514799038e+00
2.640637457370758057e-01 9.226262569427490234e-01 6.415000011611596165e+00
2.719462513923645020e-01 9.631812572479248047e-01 5.215000003936084205e+00
2.782522439956665039e-01 6.346857547760009766e-01 5.845000006148300287e+00
2.892877459526062012e-01 7.441842555999755859e-01 5.454999987472000100e+00
2.971702516078948975e-01 9.915697574615478516e-01 6.174999982991170810e+00
3.050527572631835938e-01 9.469592571258544922e-01 4.284999996416350321e+00
3.082057535648345947e-01 8.050167560577392578e-01 4.405000004090646293e+00
3.208177387714385986e-01 6.792962551116943359e-01 6.865000007452532138e+00
3.287002444267272949e-01 8.820712566375732422e-01 5.574999983902484857e+00
3.365827500820159912e-01 7.604062557220458984e-01 5.964999998405971837e+00
3.428887426853179932e-01 9.956252574920654297e-01 4.885000007831984625e+00
3.523477613925933838e-01 7.887947559356689453e-01 4.045000012733699357e+00
3.570772409439086914e-01 6.184637546539306641e-01 5.785000007714743653e+00
3.696892559528350830e-01 7.279622554779052734e-01 6.564999981458686129e+00
3.759952485561370850e-01 6.995737552642822266e-01 5.155000006891546249e+00
3.854542374610900879e-01 9.064042568206787109e-01 6.324999998685184366e+00
3.901837468147277832e-01 8.415162563323974609e-01 4.735000004227097214e+00
2.388397455215454102e-01 9.753477573394775391e-01 5.035000004970930476e+00
2.482987493276596069e-01 6.468522548675537109e-01 5.544999998077346781e+00
2.561812400817871094e-01 8.090722560882568359e-01 6.115000002707938087e+00
2.656402587890625000e-01 7.766282558441162109e-01 4.015000005917371162e+00
2.735227644443511963e-01 9.104597568511962891e-01 4.615000002542809732e+00
2.829817533493041992e-01 6.874072551727294922e-01 6.775000001748793466e+00
2.908642590045928955e-01 8.496272563934326172e-01 5.275000014461788567e+00
2.987467646598815918e-01 7.482397556304931641e-01 4.765000010837169064e+00
3.066292405128479004e-01 8.699047565460205078e-01 6.385000013442876821e+00
3.097822368144989014e-01 7.239067554473876953e-01 6.084999990137883508e+00
3.223942518234252930e-01 6.225192546844482422e-01 4.435000000079542204e+00
3.255472481250762939e-01 9.712922573089599609e-01 6.895000012200535267e+00
3.350062370300292969e-01 8.901822566986083984e-01 4.165000004942251088e+00
3.460417389869689941e-01 8.252942562103271484e-01 5.395000011715087140e+00
3.539242446422576904e-01 7.036292552947998047e-01 5.664999984374536446e+00
3.555007576942443848e-01 6.671297550201416016e-01 6.504999998547376983e+00
3.681127429008483887e-01 7.685172557830810547e-01 4.524999987147737102e+00
3.775717616081237793e-01 9.266817569732666016e-01 5.065000019253861119e+00
3.838777542114257812e-01 1.007791757583618164e+00 6.654999987342515411e+00
3.933367431163787842e-01 9.510147571563720703e-01 5.874999983872546849e+00
2.439633756875991821e-01 6.442161798477172852e-01 4.109499998190004000e+00
2.444363236427307129e-01 7.958918809890747070e-01 4.964500012739305745e+00
2.535800337791442871e-01 9.033626317977905273e-01 4.061500012370864887e+00
2.808534801006317139e-01 7.176207304000854492e-01 4.496500008458225395e+00
