s,kW/m2,kg/m2/s,kW/m2,C,kW/m2,kW/m3,kW/m3,kW/m2,C
Time,"U","burn","con","gas","gauge","hrrpuv","qr","rad","temp"
 0.0000000E+000, 1.6750494E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001,-1.6467159E-006, 0.0000000E+000,-1.5062906E-006,-1.4820024E-006, 2.0000000E+001
 2.0612660E-001, 1.7980044E+000, 0.0000000E+000,-9.4112530E-006, 2.0003454E+001, 2.3939316E-002, 0.0000000E+000, 1.3349148E-002, 2.1421296E-002, 2.0043729E+001
 4.1225320E-001, 1.9244735E+000, 0.0000000E+000,-1.7393861E-005, 2.0088001E+001, 4.9268226E-002, 0.0000000E+000, 2.6880114E-002, 4.3737982E-002, 2.0161754E+001
 6.1837980E-001, 2.2311977E+000, 0.0000000E+000, 4.6866566E-004, 2.0672617E+001, 1.1604940E-001, 0.0000000E+000, 5.8747688E-002, 1.0258203E-001, 2.0286564E+001
 8.2450640E-001, 2.5379219E+000, 0.0000000E+000, 4.7459598E-003, 2.3180163E+001, 1.8741084E-001, 0.0000000E+000, 8.5709017E-002, 1.6084623E-001, 2.0629024E+001
 1.0306330E+000, 4.1600834E+000, 0.0000000E+000, 2.4377600E-002, 3.0885788E+001, 5.3575629E-001, 0.0000000E+000, 2.4130507E-001, 4.4914275E-001, 2.1768385E+001
 1.2367596E+000, 5.4165170E+000, 0.0000000E+000, 8.2331146E-002, 4.7758261E+001, 8.3100591E-001, 0.0000000E+000, 3.0376543E-001, 6.4891065E-001, 2.3341901E+001
 1.4428862E+000, 6.6729507E+000, 0.0000000E+000, 1.7732130E-001, 6.9842741E+001, 1.1683580E+000, 0.0000000E+000, 3.4406832E-001, 8.4554458E-001, 2.5614926E+001
 1.6490128E+000, 9.3537772E+000, 0.0000000E+000, 2.2918879E-001, 7.8180143E+001, 1.7265801E+000, 0.0000000E+000, 5.7483779E-001, 1.2699210E+000, 2.9103082E+001
 1.8551394E+000, 1.0853840E+001, 0.0000000E+000, 1.9448406E-001, 7.1527744E+001, 1.9978949E+000, 0.0000000E+000, 7.4574575E-001, 1.5154159E+000, 3.2256451E+001
 2.0293471E+000, 1.2353903E+001, 0.0000000E+000, 1.3947500E-001, 6.4970801E+001, 2.2452947E+000, 0.0000000E+000, 9.1508949E-001, 1.7618992E+000, 3.5197724E+001
 2.2517486E+000, 1.5151316E+001, 0.0000000E+000, 1.1480778E-001, 6.6876478E+001, 2.8193789E+000, 0.0000000E+000, 1.1811043E+000, 2.2626131E+000, 3.9635965E+001
 2.4326722E+000, 1.7783781E+001, 0.0000000E+000, 1.1783972E-001, 7.3082097E+001, 3.3503161E+000, 0.0000000E+000, 1.4155454E+000, 2.6838123E+000, 4.4820546E+001
 2.6135957E+000, 1.9653228E+001, 0.0000000E+000, 1.1258042E-001, 7.6697493E+001, 3.6809059E+000, 0.0000000E+000, 1.5842825E+000, 2.9411690E+000, 4.9531697E+001
 2.8548271E+000, 2.0931578E+001, 1.2801514E-019, 1.0087918E-001, 7.9935665E+001, 3.8875989E+000, 0.0000000E+000, 1.6964379E+000, 3.0838836E+000, 5.4775888E+001
 3.0357506E+000, 2.1691558E+001, 5.7628714E-019, 8.1341336E-002, 8.0342241E+001, 3.9995259E+000, 8.9874686E-006, 1.7689308E+000, 3.1566887E+000, 5.9592202E+001
 3.2166741E+000, 2.2251998E+001, 1.1777598E-018, 5.1427372E-002, 7.5622427E+001, 4.0567484E+000, 1.0105691E-004, 1.8415889E+000, 3.2157206E+000, 6.2560352E+001
 3.4579055E+000, 2.2812460E+001, 2.8350667E-018, 2.0163312E-002, 7.2846418E+001, 4.1025577E+000, 7.9552600E-004, 1.9065505E+000, 3.2623936E+000, 6.6470760E+001
 3.6388290E+000, 2.3240640E+001, 6.2995432E-018, 2.1197726E-002, 7.7484413E+001, 4.1664470E+000, 3.9908601E-003, 1.9309488E+000, 3.2840836E+000, 7.0151585E+001
