wavelength(mic) abs_k(a=0.1mic)
5.24282 227.419
5.27380 227.265
5.30479 227.156
5.33577 227.048
5.36676 226.940
5.39774 226.833
5.42873 226.742
5.45971 226.815
5.49070 226.912
5.52169 227.017
5.55267 227.121
5.58366 227.225
5.61464 227.374
5.64563 227.577
5.67661 227.879
5.70760 228.184
5.73858 228.488
5.76957 228.791
5.80055 229.089
5.83154 229.428
5.86252 229.816
5.89351 230.250
5.92450 230.709
5.95548 231.194
5.98647 231.766
6.01745 232.317
6.04844 232.848
6.07942 233.329
6.11041 233.852
6.14139 234.411
6.17238 234.927
6.20336 235.421
6.23435 235.888
6.26533 236.261
6.29632 236.609
6.32730 236.927
6.35829 237.210
6.38928 237.465
6.42026 237.644
6.45125 237.796
6.48223 237.929
6.51322 238.020
6.54420 238.108
6.57519 238.196
6.60617 238.283
6.63716 238.370
6.66814 238.451
6.69913 238.500
6.73011 238.500
6.76110 238.500
6.79209 238.500
6.82307 238.508
6.85406 238.541
6.88504 238.625
6.91603 238.770
6.94701 238.955
6.97800 239.250
7.00898 239.619
7.03997 240.357
7.07095 241.171
7.10194 242.109
7.13292 243.262
7.16391 244.551
7.19490 246.952
7.22588 249.625
7.25687 253.118
7.28785 256.818
7.31884 261.176
7.34982 266.332
7.38081 272.735
7.41179 280.435
7.44278 289.285
7.47376 299.430
7.50475 310.351
7.53573 324.094
7.59580 355.762
7.65789 395.856
7.71999 444.445
7.78208 502.661
7.84418 569.553
7.90627 645.339
7.96836 731.575
8.03046 826.115
8.09255 929.316
8.15465 1041.22
8.21674 1156.84
8.27884 1271.01
8.34093 1377.25
8.40302 1474.78
8.46512 1565.10
8.52721 1650.86
8.58931 1736.56
8.65140 1828.18
8.71350 1927.17
8.77559 2039.54
8.83768 2158.75
8.89978 2285.04
8.96187 2418.57
9.02397 2551.79
9.08606 2682.14
9.14816 2798.78
9.21025 2898.22
9.27234 2981.42
9.33444 3044.07
9.39653 3074.73
9.45863 3086.94
9.52072 3081.73
9.58282 3056.42
9.64491 3018.03
9.70700 2974.19
9.76910 2925.15
9.83119 2878.25
9.89329 2832.76
9.95538 2788.71
10.0175 2747.20
10.0796 2709.51
10.1417 2671.29
10.2038 2632.27
10.2659 2588.67
10.3279 2539.20
10.3900 2483.82
10.4521 2421.32
10.5142 2352.39
10.5763 2281.52
10.6384 2213.03
10.7005 2146.04
10.7626 2083.18
10.8247 2023.79
10.8868 1967.39
10.9489 1914.63
11.0110 1866.13
11.0731 1820.21
11.1352 1774.58
11.1973 1729.16
11.2594 1685.31
11.3215 1642.95
11.3835 1602.53
11.4456 1563.54
11.5077 1526.18
11.5698 1491.08
11.6319 1456.82
11.6940 1423.12
11.7561 1389.72
11.8182 1355.22
11.8803 1320.93
11.9424 1285.80
12.0045 1250.80
12.0666 1217.38
12.1287 1185.63
12.1908 1156.67
12.2529 1128.98
12.3150 1102.48
12.3771 1077.37
12.4391 1052.40
12.5012 1026.90
12.5633 1001.38
12.6254 976.649
12.6875 953.415
12.7496 929.893
12.8117 906.669
12.8738 884.093
12.9359 863.084
12.9980 843.735
13.0601 825.614
13.1222 808.119
13.1843 791.153
13.2464 774.717
13.3085 758.767
13.3706 742.965
13.4327 727.592
13.4948 712.749
13.5568 698.899
13.6189 685.831
13.6810 674.217
13.7431 663.318
13.8052 654.068
13.8673 646.174
13.9294 639.779
13.9915 635.766
14.0536 632.638
14.1157 631.104
14.1778 630.190
14.2399 631.271
14.3020 633.513
14.3641 637.148
14.4262 641.550
14.4883 646.340
14.5417 651.185
14.6334 660.347
14.7251 671.217
14.8168 682.443
14.9085 693.832
15.0002 705.019
15.0918 716.191
15.1835 727.993
15.2752 741.124
15.3669 754.170
15.4586 767.265
15.5503 780.537
15.6420 794.063
15.7337 807.980
15.8254 822.113
15.9171 836.387
16.0088 850.785
16.1005 864.602
16.1922 878.278
16.2839 892.003
16.3755 905.743
16.4672 919.352
16.5589 932.807
16.6506 945.958
16.7423 958.704
16.8340 970.901
16.9257 982.461
17.0174 993.046
17.1091 1003.15
17.2008 1012.83
17.2925 1021.87
17.3842 1030.37
17.4759 1038.48
17.5676 1046.00
17.6592 1052.22
17.7509 1057.58
17.8426 1061.72
17.9343 1064.93
18.0260 1067.44
18.1177 1068.75
18.2094 1069.34
18.3011 1069.51
18.3928 1068.88
18.4845 1067.09
18.5762 1064.56
18.6679 1060.87
18.7596 1056.71
18.8513 1052.10
18.9429 1045.94
19.0346 1039.35
19.1263 1032.10
19.2180 1024.38
19.3097 1016.40
19.4014 1007.26
19.4931 997.786
19.5848 987.910
19.6765 977.538
19.7682 967.045
19.8599 955.992
19.9516 945.003
20.0433 934.070
20.1350 923.231
20.2267 912.567
20.3183 902.291
20.4100 892.536
20.5017 883.520
20.5934 874.819
20.6851 866.340
20.7768 857.864
20.8732 849.010
21.0500 832.663
21.2268 816.647
21.4037 801.452
21.5808 787.425
21.7579 774.293
21.9352 761.311
22.1125 747.642
22.2900 733.208
22.4675 719.022
22.6452 705.511
22.8230 692.561
23.0008 680.802
23.1788 669.906
23.3569 659.579
23.5351 648.987
23.7134 638.431
23.8918 628.452
24.0703 618.821
24.2489 609.273
24.4276 599.793
24.6064 590.350
24.7853 580.996
24.9643 571.899
25.1435 563.035
25.3227 554.207
25.5021 545.708
25.6815 537.611
25.8611 529.637
26.0407 521.719
26.2205 513.870
26.4004 506.309
26.5804 499.022
26.7605 491.839
26.9407 484.791
27.1210 478.065
27.3014 471.258
27.4820 464.425
27.6626 457.923
27.8433 451.690
28.0242 445.566
28.2052 439.554
28.3863 433.784
28.5674 427.954
28.7487 422.118
28.9301 416.492
29.1117 411.200
29.2933 405.921
29.4750 400.667
29.6569 395.550
29.8389 390.543
30.0209 385.608
30.2031 380.737
30.3854 375.954
30.5678 371.256
30.7504 366.642
30.9330 362.109
31.1157 357.655
31.2986 353.279
31.4816 348.979
31.6647 344.753
31.8479 340.626
32.0312 336.630
32.2146 332.701
32.3982 328.838
32.5818 325.038
32.7656 321.301
32.9495 317.625
33.1335 314.009
33.3176 310.452
33.5019 306.952
33.6862 303.508
33.8707 300.269
34.0553 297.087
34.2400 293.954
34.4248 290.869
34.6097 287.831
34.7948 284.838
34.9799 281.890
70.0000 66.0384
100.000 31.0623
160.000 11.7766
