TF	Experiment	cellLine
ESR1	GSM1325248	unknown
POLR3D	GSM2544232	unknown
LANA	GSM1265872	unknown
TEAD4	GSM1010895	unknown
NFE2	GSM1816087	unknown
ASCL1	GSM1499404	unknown
TCF7L2	GSM1099033	unknown
MNT	ENCSR261EDU_1	HepG2
POLR2A	GSM325935	unknown
FOXA1	GSM1410788	unknown
TRIM22	ENCSR835XKS_2	GM12878
E2F6	GSM803469	unknown
POLR2A	GSM2218632	unknown
ASCL1	GSM1700637	unknown
HDAC2	GSM1003447	unknown
SETDB1	GSM897123	unknown
ZFP64	GSM2026876	unknown
PAX5	GSM803391	unknown
CTCF	GSM1234219	unknown
POLR2A	GSM1670712	unknown
FOXA1	GSM2797133	unknown
AR	GSM1909091	unknown
POLR2A	GSM1192069	unknown
AR	GSM1868866	unknown
FAIRE	GSM748521	unknown
RB1	GSM497490	unknown
RAD51	ENCSR081WLS_2	HepG2
KDM1A	GSM1844447	unknown
BRD4	GSM1842716	unknown
GATA3	GSM1241752	unknown
EP300	GSM803387	unknown
NR3C1	GSM2265433	unknown
BRD4	GSM2316301	unknown
YY1	GSM2597233	unknown
POLR2A	GSM1276024	unknown
POLR2A	GSM1091915	unknown
ESR1	GSM2242432	unknown
RCOR1	ENCSR391JII_2	MCF-7
USF2	GSM935561	unknown
ZNF83	GSM1239630	unknown
SMARCA4	GSM602297	unknown
CTCF	GSM2140683	unknown
JUND	GSM803529	unknown
POLR2A	GSM1976306	unknown
YY1	GSM803446	unknown
MECP2	GSM1154510	unknown
FOXA1	GSM759662	unknown
DDX21	GSM1369392	unknown
ETS1	GSM1056928	unknown
TP63	GSM1446928	unknown
GATA3	GSM1602667	unknown
PSIP1	GSM1495450	unknown
MED1	GSM894079	unknown
RELB	GSM1556333	unknown
POLR2A	ENCSR434MWV_1	stomach
CD74	GSM2356333	unknown
CHD4	GSM2579165	unknown
INSM2	ENCSR382GSF_1	HEK293
SMC3	GSM1081542	unknown
KLF4	ENCSR265WJC_2	MCF-7
SPI1	GSM1370275	unknown
POLR2A	GSM2135496	unknown
BRD4	GSM1195569	unknown
MYC	GSM935599	unknown
NCOR1	GSM865745	unknown
RAD21	GSM2297329	unknown
IRF3	GSM935651	unknown
ZBTB11	ENCSR155VDK_1	MCF-7
ESR1	GSM2797106	unknown
ESR1	GSM986064	unknown
MED1	GSM1085733	unknown
NIPBL	GSM1519151	unknown
ATF3	ENCSR480LIS_1	liver
SUMO2	GSM1176706	unknown
AR	GSM1071281	unknown
ESR1	GSM2664041	unknown
STAG1	GSM1234196	unknown
ZMYM3	GSM2574757	unknown
CBFB	GSM2041109	unknown
FOXA1	GSM659788	unknown
AR	GSM2092845	unknown
POLR2A	GSM1843413	unknown
CREB1	GSM1010719	unknown
ZNF317	GSM2026854	unknown
BRD9	GSM2092891	unknown
MED1	GSM1470019	unknown
GATA3	ENCSR423RTK_2	MCF-7
GTF2I	GSM1539075	unknown
NFE2L2	GSM1208659	unknown
NFIC	GSM1010881	unknown
NR3C1	ENCSR287FWE_2	unknown
TP63	GSM1446930	unknown
FOXA1	GSM1858624	unknown
ZNF788	ENCSR732DAQ_1	unknown
KDM1A	GSM1844446	unknown
SPI1	GSM1642761	unknown
POLR2A	GSM2667965	unknown
POLR2A	GSM604667	unknown
CBX1	ENCSR948QLZ_1	K562
SUMO1	GSM1012770	unknown
ZNF641	ENCSR578FJY_1	unknown
CBX8	GSM1295078	unknown
POLR2A	GSM486479	unknown
GATA3	GSM1010738	unknown
ZBTB33	ENCSR541PDV_2	unknown
ARNT	ENCSR155KHM_2	K562
NRF1	GSM935361	unknown
SMARCE1	ENCSR157TCS_1	K562
EP300	GSM1334003	unknown
BHLHE40	GSM803483	unknown
MYCN	GSM2214113	unknown
PR	GSM2112810	unknown
SIN3A	GSM1010816	unknown
POLR2A	GSM486489	unknown
HINFP	ENCSR619GFP_2	K562
FOXM1	GSM1010856	unknown
GATA6	GSM575226	unknown
TRIM25	GSM2098766	unknown
POLR2A	GSM822306	unknown
ESR1	GSM2125131	unknown
ETS1	ENCSR534VHI_1	GM23338
BRD4	GSM1890752	unknown
TRIM28	GSM1288792	unknown
SRF	GSM1505774	unknown
EP300	GSM1817181	unknown
PAF1	GSM2769055	unknown
ZNF143	GSM959048	unknown
AR	GSM1236922	unknown
RARG	GSM1469991	unknown
SP7	ENCSR468IJT_2	HEK293
ESR1	GSM2467229	unknown
LHX2	GSM1567049	unknown
ZEB2	ENCSR417VWF_2	HEK293
BRD4	GSM1328976	unknown
FOXA1	GSM2537228	unknown
POLR2A	GSM468189	unknown
PRKDC	GSM1340090	unknown
GATA3	GSM1859075	unknown
NFYA	GSM935433	unknown
OTX2	GSM2432981	unknown
SMC3	ENCSR000HPG_1	IMR-90
FOXM1	GSM1876187	unknown
FOXA1	GSM1858655	unknown
LYL1	GSM1480747	unknown
GRHL2	GSM1825677	unknown
CEBPB	ENCSR299ILN_1	unknown
RFX5	GSM1003629	unknown
EZH2	GSM1508944	unknown
MBD2	GSM1388125	unknown
RELA	GSM2679937	unknown
ZNF282	GSM2466516	unknown
MED1	GSM2802957	unknown
POLR2A	GSM1701829	unknown
GATA1	GSM722393	unknown
TCF12	GSM585586	unknown
MYC	GSM1240835	unknown
NR3C1	GSM803340	unknown
NR3C1	ENCSR686PFM_1	unknown
TP63	GSM439776	unknown
CEBPB	ENCSR416QLJ_1	K562
CREB3	ENCSR093FKD_2	K562
SMC1A	GSM2592813	unknown
ZSCAN23	ENCSR705ASR_2	HEK293
CHD2	GSM935307	unknown
CTCF	GSM2747726	unknown
MBD2	GSM1388127	unknown
POLR2A	GSM935461	unknown
TAL1	GSM957612	unknown
