ASCII, label, longitude, latitude, diameter
Belchatow,Bełchatów,19.3267,51.2659,1000.0
Berlin,Berlin,13.407696,52.516984,30000.0
Boxberg,Boxberg,14.5746955872,51.4164924622,1000.0
Chvaletice,Chvaletice,15.443743797083094,50.01838901132982,1000.0
Dolna Odra,Dolna Odra,14.466333,53.205776,1000.0
Hamburg,Hamburg, 10.001389, 53.565278,30000.0
Heyden,Heyden,8.988629531406984,52.385997856504865,1000.0
Janschwalde,Jänschwalde,14.4534902573,51.841545105,1000.0
Lipetsk,Lipetsk,39.6196,52.5603,1000.0
Lippendorf,Lippendorf,12.3712453842,51.1874504089,1000.0
Matimba,Matimba & Medupi,27.610556,-23.668333,1000.0
Melnik,Mělník,14.41942401738856,50.410455288399355,1000.0
Opole,Opole,17.882273320866638,50.74892801373274,1000.0
Patnow,Patnów,18.2375602722,52.3044433594,1000.0
Paris,Paris,2.352222,48.856667,30000.0
Pocerady,Počerady,13.683343307504192,50.4247541197537,1000.0
Prague,Prague,14.416667,50.083333,30000.0
Prunerov,Prunéřov,13.259378168484044,50.41673024911683,1000.0
Schkopau,Schkopau,11.949723923708794,51.3948184266901,1000.0
Schwarze Pumpe,Schwarze Pumpe,14.3610925674,51.534286499,1000.0
Staudinger,Staudinger,8.957290411853883,50.0855413919897,1000.0
Turow,Turów,14.9112815857,50.9428253174,1000.0
Morupule,Morupule,27.0429167,-22.52091455,1000.0
Johannesburg,Johannesburg,+28.045556,-26.204444,30000.0
Shoaiba,Shoaiba,39.554506, 20.629802, 1000.0
Barkhera,Barkhera,79.806184, 28.472145, 1000.0
