Wavelength(nm)	n	k
3.76700e+01	1.14900e+00	1.90000e-01
3.91000e+01	1.13400e+00	2.20800e-01
3.94600e+01	1.13000e+00	2.26300e-01
3.97400e+01	1.11800e+00	2.13800e-01
4.08600e+01	1.08400e+00	2.43600e-01
4.13700e+01	1.07700e+00	2.61400e-01
4.28900e+01	1.04000e+00	3.21700e-01
4.31800e+01	1.04300e+00	3.34400e-01
4.33500e+01	1.04400e+00	3.76700e-01
4.34800e+01	1.04600e+00	4.14900e-01
4.36500e+01	1.05200e+00	4.46800e-01
4.39300e+01	1.08100e+00	4.72700e-01
4.51400e+01	1.07400e+00	4.45200e-01
4.54700e+01	1.05600e+00	4.56800e-01
4.58000e+01	1.05400e+00	4.88500e-01
4.62500e+01	1.06300e+00	5.39300e-01
4.68600e+01	1.05800e+00	6.11600e-01
4.81600e+01	1.15300e+00	7.98300e-01
4.85300e+01	1.19600e+00	8.26500e-01
4.89100e+01	1.25100e+00	8.61000e-01
4.91600e+01	1.32300e+00	9.05100e-01
4.95400e+01	1.44000e+00	9.27500e-01
5.01600e+01	1.47900e+00	8.57900e-01
5.05900e+01	1.50700e+00	8.24700e-01
5.12800e+01	1.51700e+00	8.06200e-01
5.16200e+01	1.56100e+00	7.77400e-01
5.18900e+01	1.60400e+00	8.14600e-01
5.22500e+01	1.64900e+00	8.43800e-01
5.27100e+01	1.68000e+00	8.16900e-01
5.31300e+01	1.68600e+00	7.72700e-01
5.41300e+01	1.63800e+00	7.00600e-01
5.47100e+01	1.65900e+00	6.88200e-01
5.51500e+01	1.70200e+00	7.34100e-01
5.60000e+01	2.11600e+00	8.35700e-01
5.62700e+01	2.16300e+00	8.98700e-01
5.67100e+01	2.15500e+00	8.53300e-01
5.69800e+01	2.12300e+00	7.89300e-01
5.72400e+01	2.07200e+00	7.17800e-01
5.74400e+01	2.03100e+00	6.40500e-01
5.76800e+01	1.97200e+00	5.62700e-01
5.78600e+01	1.92600e+00	4.94500e-01
5.81100e+01	1.87000e+00	4.19600e-01
5.83300e+01	1.82500e+00	3.64100e-01
