Wavelength(nm)	n	k
3.60000e+02	1.77353e+00	0.00000e+00
4.10400e+02	1.75984e+00	0.00000e+00
4.60800e+02	1.75071e+00	0.00000e+00
5.11200e+02	1.74427e+00	0.00000e+00
5.61600e+02	1.73952e+00	0.00000e+00
6.12000e+02	1.73589e+00	0.00000e+00
6.62400e+02	1.73304e+00	0.00000e+00
7.12800e+02	1.73073e+00	0.00000e+00
7.63200e+02	1.72882e+00	0.00000e+00
8.13600e+02	1.72720e+00	0.00000e+00
8.64000e+02	1.72581e+00	0.00000e+00
9.14400e+02	1.72458e+00	0.00000e+00
9.64800e+02	1.72349e+00	0.00000e+00
1.01500e+03	1.72250e+00	0.00000e+00
1.06600e+03	1.72158e+00	0.00000e+00
1.11600e+03	1.72074e+00	0.00000e+00
1.16600e+03	1.71994e+00	0.00000e+00
1.21700e+03	1.71917e+00	0.00000e+00
1.26700e+03	1.71845e+00	0.00000e+00
1.31800e+03	1.71773e+00	0.00000e+00
1.36800e+03	1.71704e+00	0.00000e+00
1.41800e+03	1.71637e+00	0.00000e+00
1.46900e+03	1.71569e+00	0.00000e+00
1.51900e+03	1.71503e+00	0.00000e+00
1.57000e+03	1.71435e+00	0.00000e+00
1.62000e+03	1.71370e+00	0.00000e+00
1.67000e+03	1.71303e+00	0.00000e+00
1.72100e+03	1.71236e+00	0.00000e+00
1.77100e+03	1.71169e+00	0.00000e+00
1.82200e+03	1.71100e+00	0.00000e+00
1.87200e+03	1.71031e+00	0.00000e+00
1.92200e+03	1.70962e+00	0.00000e+00
1.97300e+03	1.70891e+00	0.00000e+00
2.02300e+03	1.70819e+00	0.00000e+00
2.07400e+03	1.70746e+00	0.00000e+00
2.12400e+03	1.70672e+00	0.00000e+00
2.17400e+03	1.70598e+00	0.00000e+00
2.22500e+03	1.70520e+00	0.00000e+00
2.27500e+03	1.70443e+00	0.00000e+00
2.32600e+03	1.70363e+00	0.00000e+00
2.37600e+03	1.70283e+00	0.00000e+00
2.42600e+03	1.70202e+00	0.00000e+00
2.47700e+03	1.70117e+00	0.00000e+00
2.52700e+03	1.70033e+00	0.00000e+00
2.57800e+03	1.69946e+00	0.00000e+00
2.62800e+03	1.69859e+00	0.00000e+00
2.67800e+03	1.69770e+00	0.00000e+00
2.72900e+03	1.69678e+00	0.00000e+00
2.77900e+03	1.69586e+00	0.00000e+00
2.83000e+03	1.69491e+00	0.00000e+00
2.88000e+03	1.69396e+00	0.00000e+00
2.93000e+03	1.69299e+00	0.00000e+00
2.98100e+03	1.69198e+00	0.00000e+00
3.03100e+03	1.69098e+00	0.00000e+00
3.08200e+03	1.68995e+00	0.00000e+00
3.13200e+03	1.68891e+00	0.00000e+00
3.18200e+03	1.68786e+00	0.00000e+00
3.23300e+03	1.68677e+00	0.00000e+00
3.28300e+03	1.68568e+00	0.00000e+00
3.33400e+03	1.68455e+00	0.00000e+00
3.38400e+03	1.68343e+00	0.00000e+00
3.43400e+03	1.68229e+00	0.00000e+00
3.48500e+03	1.68111e+00	0.00000e+00
3.53500e+03	1.67993e+00	0.00000e+00
3.58600e+03	1.67871e+00	0.00000e+00
3.63600e+03	1.67749e+00	0.00000e+00
3.68600e+03	1.67626e+00	0.00000e+00
3.73700e+03	1.67498e+00	0.00000e+00
3.78700e+03	1.67371e+00	0.00000e+00
3.83800e+03	1.67240e+00	0.00000e+00
3.88800e+03	1.67109e+00	0.00000e+00
3.93800e+03	1.66976e+00	0.00000e+00
3.98900e+03	1.66838e+00	0.00000e+00
4.03900e+03	1.66702e+00	0.00000e+00
4.09000e+03	1.66560e+00	0.00000e+00
4.14000e+03	1.66419e+00	0.00000e+00
4.19000e+03	1.66276e+00	0.00000e+00
4.24100e+03	1.66129e+00	0.00000e+00
4.29100e+03	1.65982e+00	0.00000e+00
4.34200e+03	1.65830e+00	0.00000e+00
4.39200e+03	1.65679e+00	0.00000e+00
4.44200e+03	1.65526e+00	0.00000e+00
4.49300e+03	1.65367e+00	0.00000e+00
4.54300e+03	1.65210e+00	0.00000e+00
4.59400e+03	1.65047e+00	0.00000e+00
4.64400e+03	1.64886e+00	0.00000e+00
4.69400e+03	1.64722e+00	0.00000e+00
4.74500e+03	1.64552e+00	0.00000e+00
4.79500e+03	1.64384e+00	0.00000e+00
4.84600e+03	1.64210e+00	0.00000e+00
4.89600e+03	1.64038e+00	0.00000e+00
4.94600e+03	1.63863e+00	0.00000e+00
4.99700e+03	1.63682e+00	0.00000e+00
5.04700e+03	1.63503e+00	0.00000e+00
5.09800e+03	1.63317e+00	0.00000e+00
5.14800e+03	1.63133e+00	0.00000e+00
5.19800e+03	1.62947e+00	0.00000e+00
5.24900e+03	1.62754e+00	0.00000e+00
5.29900e+03	1.62563e+00	0.00000e+00
5.35000e+03	1.62366e+00	0.00000e+00
5.40000e+03	1.62170e+00	0.00000e+00
