Wavelength(nm)	n	k
2.91126e+02	2.34694e+00	0.00000e+00
3.12538e+02	2.28402e+00	0.00000e+00
3.73519e+02	2.22991e+00	0.00000e+00
4.32333e+02	2.19639e+00	0.00000e+00
4.91130e+02	2.17349e+00	0.00000e+00
5.49917e+02	2.15714e+00	0.00000e+00
6.08693e+02	2.14814e+00	0.00000e+00
6.67470e+02	2.13833e+00	0.00000e+00
7.26245e+02	2.13016e+00	0.00000e+00
7.85008e+02	2.13016e+00	0.00000e+00
8.43770e+02	2.13016e+00	0.00000e+00
9.02546e+02	2.12116e+00	0.00000e+00
9.61322e+02	2.11217e+00	0.00000e+00
1.02008e+03	2.11217e+00	0.00000e+00
1.07885e+03	2.11217e+00	0.00000e+00
1.13761e+03	2.11217e+00	0.00000e+00
1.19637e+03	2.11217e+00	0.00000e+00
1.25513e+03	2.11217e+00	0.00000e+00
1.31390e+03	2.11217e+00	0.00000e+00
1.37266e+03	2.11217e+00	0.00000e+00
1.43142e+03	2.11217e+00	0.00000e+00
1.49018e+03	2.11217e+00	0.00000e+00
1.54895e+03	2.11053e+00	0.00000e+00
1.60774e+03	2.09418e+00	0.00000e+00
1.66650e+03	2.09418e+00	0.00000e+00
1.72526e+03	2.09418e+00	0.00000e+00
1.78402e+03	2.09418e+00	0.00000e+00
1.84279e+03	2.09418e+00	0.00000e+00
1.90155e+03	2.09418e+00	0.00000e+00
1.96031e+03	2.09418e+00	0.00000e+00
2.01907e+03	2.09418e+00	0.00000e+00
2.07784e+03	2.09418e+00	0.00000e+00
2.13660e+03	2.09418e+00	0.00000e+00
2.19536e+03	2.09418e+00	0.00000e+00
2.25412e+03	2.09418e+00	0.00000e+00
2.31289e+03	2.09336e+00	0.00000e+00
2.37166e+03	2.08518e+00	0.00000e+00
2.43043e+03	2.08273e+00	0.00000e+00
2.50367e+03	2.06633e+00	0.00000e+00
