Wavelength(nm)	n	k
2.87879e+02	1.85279e+00	0.00000e+00
3.87594e+02	1.79958e+00	0.00000e+00
4.46356e+02	1.79389e+00	0.00000e+00
5.05119e+02	1.77924e+00	0.00000e+00
5.63881e+02	1.77924e+00	0.00000e+00
6.22644e+02	1.77924e+00	0.00000e+00
6.81406e+02	1.77924e+00	0.00000e+00
7.40169e+02	1.77762e+00	0.00000e+00
7.98931e+02	1.77029e+00	0.00000e+00
8.57693e+02	1.77029e+00	0.00000e+00
9.16456e+02	1.76297e+00	0.00000e+00
9.75218e+02	1.76135e+00	0.00000e+00
1.03398e+03	1.76135e+00	0.00000e+00
1.09274e+03	1.76135e+00	0.00000e+00
1.15151e+03	1.76135e+00	0.00000e+00
1.21027e+03	1.76135e+00	0.00000e+00
1.26903e+03	1.76135e+00	0.00000e+00
1.32779e+03	1.76135e+00	0.00000e+00
1.38656e+03	1.76135e+00	0.00000e+00
1.44532e+03	1.76135e+00	0.00000e+00
1.50408e+03	1.76135e+00	0.00000e+00
1.56284e+03	1.76135e+00	0.00000e+00
1.62161e+03	1.75402e+00	0.00000e+00
1.68037e+03	1.75240e+00	0.00000e+00
1.73913e+03	1.75240e+00	0.00000e+00
1.79789e+03	1.75240e+00	0.00000e+00
1.85666e+03	1.75240e+00	0.00000e+00
1.91542e+03	1.75077e+00	0.00000e+00
1.97418e+03	1.74345e+00	0.00000e+00
2.03294e+03	1.74345e+00	0.00000e+00
2.09171e+03	1.74345e+00	0.00000e+00
2.15047e+03	1.74345e+00	0.00000e+00
2.20923e+03	1.74345e+00	0.00000e+00
2.26799e+03	1.74345e+00	0.00000e+00
2.32675e+03	1.74345e+00	0.00000e+00
2.38552e+03	1.74345e+00	0.00000e+00
2.44428e+03	1.74345e+00	0.00000e+00
2.50758e+03	1.72589e+00	0.00000e+00
