uid,appid,title
263,SplunkEnterpriseSecurityInstaller,Splunk Enterprise Security
1274,splunk_app_aws,Splunk App for AWS
1841,itsi,Splunk IT Service Intelligence
1876,Splunk_TA_aws,Splunk Add-on for Amazon Web Services
1928,Splunk_TA_snow,Splunk Add-on for ServiceNow
2686,splunk_app_db_connect,Splunk DB Connect
2890,Splunk_ML_Toolkit,Splunk Machine Learning Toolkit
2962,splunk_app_addon-builder,Splunk Add-on Builder
3435,Splunk_Security_Essentials,Splunk Security Essentials
4192,splunk_metrics_workspace,Splunk Metrics Workspace
4218,splunk_app_iai,Splunk Industrial Asset Intelligence
4445,splunk-business-flow,Splunk Business Flow
4710,splunk-dashboard-app,Splunk Dashboard App
5180,splunk-app-ar, Splunk App for Edge Hub and AR
263,SplunkEnterpriseSecuritySuite,Splunk Enterprise Security
,Splunk_DA-ESS_AmazonWebServices,Mustang
,Splunk_ML_Toolkit_Steve-Harte-Custom,Splunk Machine Learning Toolkit (Steve Harte Custom)
,missioncontrol,Mission Control
2200019,data_manager,Data Manager
1724,lookup_editor,Splunk App for Lookup File Editing
6364,splunk-timelapse-visualizations,Splunk Timelapse Visualizations
1603,simple_xml_examples,Splunk Dashboard Examples
1000000,splunk_instance_monitoring,Cloud Monitoring Console App
2897,Splunk_DA-ESS_PCICompliance,Splunk App for PCI Compliance - Splunk Enterprise Security
1143,SplunkEnterpriseSecuritySuite,Splunk App for PCI Compliance - Splunk Enterprise
,DA-ESS-UEBA,User & Entity Behavior Analytics
,splunk-ingest-monitoring,Ingest Monitoring
