"ID_WeekFact","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","tot"
"FW_001",0.899,0.913,1.115,1.218,1.251,0.852,0.752,7
"FW_002",1.018,1.047,1.045,1.017,1.019,0.957,0.897,7
"FW_003",0.691,0.975,1.45,1.449,1.307,0.625,0.503,7
"FW_004",0.957,0.9,0.958,0.985,0.985,1.087,1.128,7
"FW_005",1.01,1.013,0.992,1.036,0.985,0.989,0.975,7
"FW_006",1.043,1.088,1.075,1.134,1.05,0.83,0.78,7
"FW_007",1.016,0.919,1.284,1.787,0.892,0.233,0.869,7
"FW_008",0.999,1,0.998,1.002,0.998,1.001,1.002,7
"FW_009",1.045,1.238,1.266,1.281,1.116,0.546,0.508,7
"FW_010",1.138,1.125,1.112,1.228,1.067,0.728,0.602,7
"FW_011",1,1,1,1,1,1,1,7
"FW_012",0.992,1.019,1.027,1.036,1.022,0.971,0.933,7
"FW_013",1.063,1.111,1.073,1.078,1.067,0.843,0.765,7
"FW_014",1.771,1.465,0.351,1.196,1.148,0.228,0.841,7
"FW_015",1,1.001,1.007,0.998,1,1.001,0.993,7
"FW_016",0.949,1.016,1.053,1.02,1.018,0.964,0.98,7
"FW_017",1.012,1.01,0.998,1,0.991,0.982,1.007,7
"FW_018",1.023,1.09,1.049,1.055,1.045,0.758,0.98,7
"FW_019",1.004,1.016,1.014,1.028,1.018,0.954,0.966,7
"FW_020",0.992,1,0.996,1.014,0.996,1.003,0.999,7
"FW_021",0.986,1.032,1.015,1.015,1.022,0.971,0.959,7
"FW_022",1.002,1.033,1.003,1.016,0.969,0.976,1.001,7
"FW_023",0.982,1.031,1.013,1.022,1.033,0.974,0.945,7
"FW_024",0.991,1.035,1.006,1.015,1.002,0.996,0.955,7
"FW_025",1.037,1.054,1.011,1.041,1.034,0.993,0.83,7
"FW_026",1.014,1.01,1.03,1.042,1.011,0.938,0.955,7
"FW_027",1.005,0.992,1.004,1.013,0.998,0.994,0.994,7
"FW_028",0.991,0.995,1.004,1.01,1.004,1.007,0.989,7
"FW_029",1.009,1.024,1.005,1.015,1.004,0.994,0.949,7
"FW_030",1.005,1.073,1.045,1.071,1.046,0.952,0.808,7
"FW_031",0.66,1.533,1.697,1.185,1.197,0.437,0.291,7
"FW_032",1.031,1.037,1.024,1.021,1.02,0.957,0.91,7
"FW_033",1.001,1.004,0.998,1.003,0.996,0.997,1.001,7
"FW_034",1.009,1.04,1.052,1.049,1.043,0.926,0.881,7
"FW_035",1.109,1.241,1.188,1.173,1.232,0.598,0.459,7
"FW_036",0.999,1.005,0.998,0.997,0.996,1.008,0.997,7
"FW_037",0.998,0.993,0.995,1.001,1.004,1.007,1.002,7
"FW_038",1.034,1.098,1.098,1.08,1.061,0.863,0.766,7
"FW_039",1.056,1.138,1.132,1.136,1.092,0.782,0.664,7
"FW_040",1.059,1.018,0.996,1.03,1.014,0.933,0.95,7
"FW_041",0.999,0.973,1,1.01,1.006,1.022,0.99,7
"FW_042",1.029,1.061,1.014,1.01,1.027,0.941,0.918,7
"FW_043",1.049,1.082,1.06,1.037,1.036,0.901,0.835,7
"FW_044",1.049,1.042,1.019,1.035,1.09,0.927,0.838,7
"FW_045",0.971,1.038,1.057,1.066,1.047,0.917,0.904,7
"FW_046",0.993,0.997,1.003,1.008,1.026,0.995,0.978,7
"FW_047",0.999,1.004,1.002,0.994,1.005,1.004,0.992,7
"FW_048",1.018,1.114,1.112,1.099,1.062,0.837,0.758,7
"FW_049",1.069,1.089,1.092,1.088,1.054,0.828,0.78,7
"FW_050",1.009,1.092,1.083,1.06,1.091,0.874,0.791,7
"FW_051",1.003,0.991,0.983,0.984,1.005,1.024,1.01,7
"FW_052",0.989,0.998,0.999,1.008,1.011,0.992,1.003,7
"FW_053",1.021,0.975,0.96,1.017,1.001,1.018,1.008,7
"FW_054",1.023,1.396,0.989,1.011,1.009,0.784,0.788,7
"FW_055",0.997,1.002,1.002,0.994,1.008,0.998,0.999,7
"FW_056",0.986,1.063,1.073,1.089,1.051,0.882,0.856,7
"FW_057",1,1.015,0.982,1.037,1.018,0.98,0.968,7
"FW_058",0.786,1.477,0.954,1.253,1.577,0.412,0.541,7
"FW_059",1.041,0.993,1.024,1.023,1.03,0.951,0.938,7
"FW_060",1.008,1.003,0.988,0.998,0.99,1.007,1.006,7
"FW_061",1.08,1.229,1.254,1.077,1.01,0.735,0.615,7
"FW_062",1.113,1.191,1.141,1.162,1.079,0.762,0.552,7
"FW_063",0.955,1.097,1.082,1.065,1.045,0.872,0.884,7
"FW_064",0.99,0.986,0.993,1.002,1.009,1.016,1.004,7
"FW_065",1.076,1.052,1.051,1.024,1.012,0.883,0.902,7
"FW_066",1.143,1.103,1.119,1.117,1.082,0.735,0.701,7
"FW_067",1.072,1.055,1.044,1.071,1.051,0.872,0.835,7
"FW_068",1.105,1.441,0.896,1.133,0.281,1.11,1.034,7
"FW_069",0.986,1.005,0.995,1.027,1.052,0.977,0.958,7
"FW_070",1.055,1.059,1.035,1.074,1.083,0.901,0.793,7
"FW_071",0.983,1.009,1.03,1.03,1.008,1.018,0.922,7
"FW_072",1.013,1.023,1.022,1.036,1.023,0.986,0.897,7
"FW_073",1.017,1.132,1.108,1.171,1.086,0.778,0.708,7
"FW_074",1.003,1.01,1.027,1.009,1.02,0.959,0.972,7
"FW_075",1,1.042,1.048,1.052,1.023,0.938,0.897,7
"FW_076",1.091,1.13,1.104,1.12,1.073,0.751,0.731,7
"FW_077",1.52,1.463,0.468,1.623,1.922,0.004,0,7
"FW_078",0.997,0.998,1.005,1.003,1.002,1,0.995,7
"FW_079",0.993,0.997,1.003,1.006,1.01,0.999,0.992,7
"FW_080",1.005,0.994,0.986,1.003,1.016,0.982,1.014,7
"FW_081",1.044,1.058,0.999,0.989,1.02,0.965,0.925,7
"FW_082",1.027,0.984,0.99,1.03,1.014,0.999,0.956,7
"FW_083",1.029,1.039,1.023,1.033,1.013,0.932,0.931,7
"FW_084",0.995,0.974,0.983,0.997,1.007,1.022,1.022,7
"FW_085",1.003,1.044,1.044,1.03,1.012,0.934,0.933,7
"FW_086",1.06,1.15,1.172,1.136,1.108,0.757,0.617,7
"FW_087",0.977,1.112,1.17,1.131,0.971,0.824,0.815,7
"FW_088",0.97,0.989,0.995,1.01,1.015,1.012,1.009,7
"FW_089",0.98,0.989,1.001,1.022,1.017,1.003,0.988,7
"FW_090",0.875,1.189,1.298,1.075,1.083,0.758,0.722,7
"FW_091",1,1.007,1.002,0.981,0.975,1.013,1.022,7
"FW_092",1.026,1.174,1.188,1.158,1.151,0.725,0.578,7
"FW_093",1.025,0.947,0.987,1.001,0.936,0.993,1.111,7
"FW_094",0.981,1.027,1.03,1.05,1.03,0.992,0.89,7
"FW_095",0.999,1.025,1.026,1.027,1.022,0.984,0.917,7
"FW_096",0.995,1.032,1.04,1.05,1.04,0.971,0.872,7
"FW_097",1.086,1.014,0.971,1.027,1.029,0.949,0.924,7
"FW_098",1.029,1.039,1.015,0.999,1.012,0.946,0.96,7
"FW_099",0.979,1.103,1.07,1.054,0.951,0.889,0.954,7
"FW_100",1.001,1.009,1.035,1.038,1.024,0.979,0.914,7
"FW_101",1.079,1.12,1.096,1.125,1.116,0.807,0.657,7
"FW_102",1.027,0.938,0.984,0.966,0.998,1.018,1.069,7
"FW_103",1.033,1.006,1.027,1.02,1.005,0.992,0.917,7
"FW_104",1.025,1.054,1.055,1.06,1.045,0.926,0.835,7
"FW_105",1.009,0.988,1.004,1.028,1.045,1.003,0.923,7
"FW_106",1.004,0.995,1.005,1.011,1.004,0.988,0.993,7
"FW_107",0.993,0.984,0.993,0.998,1.005,1.026,1.001,7
"FW_108",1.03,1.09,1.08,1.038,1.065,0.894,0.803,7
"FW_109",1.064,1.168,1.155,1.155,1.124,0.787,0.547,7
"FW_110",0.976,1.047,1.013,1.043,1.046,0.965,0.91,7
"FW_111",0.992,1.034,1.024,1.02,1.029,0.969,0.932,7
"FW_112",1.026,1.039,1.006,1.04,1.054,0.977,0.858,7
"FW_113",1.007,0.994,1.016,1.005,1.002,0.998,0.978,7
"FW_114",1.001,1.001,1.001,0.992,1.001,1.002,1.002,7
"FW_115",1.036,1.041,1.021,1.002,0.981,0.962,0.957,7
"FW_116",0.998,1.081,1.057,1.098,1.091,0.852,0.823,7
"FW_117",1,1.013,1.001,1.009,1.018,0.983,0.976,7
"FW_118",0.987,1.089,1.094,1.072,1.048,0.912,0.798,7
"FW_119",0.982,1.01,1.037,1.007,1.019,0.978,0.967,7
"FW_120",0.995,1.009,1.01,1.013,1.012,0.997,0.964,7
"FW_121",1.008,1.1,1.091,1.073,1.075,0.952,0.701,7
"FW_122",1.018,0.998,0.987,0.988,0.998,1.001,1.01,7
"FW_123",1.015,1.021,1.035,1.034,1.038,0.956,0.901,7
"FW_124",0.996,0.99,1.003,0.998,1.009,1.002,1.002,7
"FW_125",0.992,0.983,0.997,0.977,1.05,0.994,1.007,7
"FW_126",0.868,1.31,0.838,1.216,1.149,0.588,1.031,7
"FW_127",0.791,1.203,0.967,1.1,1.146,0.871,0.922,7
"FW_128",1.022,1.009,1.012,1.016,1.008,0.973,0.96,7
"FW_129",1.006,1.05,1.062,1.048,1.009,0.931,0.894,7
"FW_130",1.011,1.017,1.013,1.01,1.021,0.978,0.95,7
"FW_131",1.037,1.095,1.069,1.039,0.99,0.897,0.873,7
"FW_132",1.004,1.003,1.018,1.006,1.011,0.991,0.967,7
"FW_133",1.01,1.032,1.035,1.029,1.009,0.965,0.92,7
"FW_134",0.971,0.974,0.984,0.999,1.011,1.037,1.024,7
"FW_135",1.048,1.103,1.101,1.054,1.007,0.854,0.833,7
"FW_136",1.013,1.005,1.03,1.019,1.014,0.957,0.962,7
"FW_137",1.051,1.061,1.052,1.056,1.016,0.897,0.867,7
"FW_138",0.936,1.117,1.316,1.438,0.855,0.718,0.62,7
"FW_139",1.028,1.054,1.064,1.061,1.025,0.882,0.886,7
"FW_140",1.454,0.944,0.92,0.93,0.864,0.946,0.942,7
"FW_141",1.272,1.529,1.32,1.074,0.665,0.474,0.666,7
"FW_142",1.042,1.145,1.123,1.088,1.034,0.789,0.779,7
"FW_143",1.097,1.215,1.146,1.128,1.116,0.683,0.615,7
"FW_144",0.969,0.966,1.004,1.031,1.014,1.014,1.002,7
"FW_145",1.017,1.014,1.017,1.015,1.007,0.959,0.971,7
"FW_146",1.01,1.024,1.021,1.027,1.008,0.952,0.958,7
"FW_147",1.13,1.149,1.089,1.169,1.004,0.739,0.72,7
"FW_148",1.152,1.088,1.042,0.953,0.865,0.912,0.988,7
"FW_149",1.01,1.031,1.031,1.023,1.009,0.967,0.929,7
"FW_150",1.009,1.049,1.065,1.047,1.007,0.923,0.9,7
"FW_151",0.872,2.856,1.536,1.444,0.047,0.09,0.155,7
"FW_152",1.017,1.047,1.028,1.013,0.991,0.973,0.931,7
"FW_153",1.12,1.147,1.075,0.961,0.984,0.914,0.799,7
"FW_154",0.891,1.682,1.264,1.093,1.086,0.984,0,7
"FW_155",1.028,1.062,1.11,1.071,0.975,0.896,0.858,7
"FW_156",1.01,1.048,1.05,1.045,1.002,0.931,0.914,7
"FW_157",1.146,1.184,1.109,1.112,0.984,0.756,0.709,7
"FW_158",1.821,1.062,1.497,1.1,1.277,0.243,0,7
"FW_159",1.011,1.041,1.044,1.03,1.011,0.948,0.915,7
"FW_160",1.069,1.131,1.057,1.067,0.993,0.864,0.819,7
"FW_161",1.016,1.034,1.047,0.998,0.989,0.965,0.951,7
"FW_162",1.079,1.189,1.231,1.09,0.967,0.77,0.674,7
"FW_163",1.869,1.798,0.676,0.885,1.06,0.712,0,7
"FW_164",1.005,1.036,1.04,1.024,1.002,0.955,0.938,7
"FW_165",1.052,1.15,1.142,1.065,0.959,0.826,0.806,7
"FW_166",1.018,1.048,1.042,1.017,0.968,0.962,0.945,7
"FW_167",1.039,1.06,1.056,1.011,0.98,0.938,0.916,7
"FW_168",1.008,1.005,1.004,1,1.006,0.997,0.98,7
"FW_169",1.068,1.113,1.106,1.099,1.042,0.773,0.799,7
"FW_170",1.195,1.347,0.952,0.981,0.776,0.757,0.992,7
"FW_171",1.044,1.092,1.148,1.065,0.958,0.834,0.859,7
"FW_172",1.062,1.126,1.065,1.095,1.016,0.814,0.822,7
"FW_173",0.595,0.568,0.503,0.92,1.77,1.385,1.259,7
"FW_174",1.059,1.249,1.133,1.103,0.996,0.713,0.747,7
"FW_175",1.968,1.604,0.999,0.379,0.221,0.731,1.098,7
"FW_176",1.06,1.05,1.01,0.998,0.974,0.964,0.944,7
"FW_177",1.014,1.024,1.021,1.008,0.997,0.973,0.963,7
"FW_178",1.084,1.135,1.086,1.092,1.024,0.813,0.766,7
"FW_179",1.007,1.089,1.011,0.992,1.003,0.965,0.933,7
"FW_180",1.039,1.037,1.026,1.004,1.003,0.969,0.922,7
"FW_181",1.2,1.187,1.135,1.107,0.928,0.724,0.719,7
"FW_182",0.646,0.898,1.386,2.19,1.487,0.249,0.144,7
"FW_183",1.023,1.022,1.018,1.012,0.993,0.964,0.968,7
"FW_184",1.131,1.175,1.144,1.087,0.941,0.782,0.74,7
"FW_185",0.881,2.18,1.203,1.416,0.53,0.746,0.044,7
"FW_186",1.009,1.051,1.031,1.011,0.982,0.958,0.958,7
"FW_187",1.023,1.057,1.05,1.023,1.008,0.939,0.9,7
"FW_188",1.206,1.32,1.154,1.148,0.688,0.801,0.683,7
"FW_189",1.013,1.048,1.043,1.016,0.999,0.943,0.938,7
"FW_190",1.089,0.971,0.984,1.074,0.997,0.918,0.967,7
"FW_191",1.038,1.088,1.094,1.06,1.044,0.825,0.851,7
"FW_192",1.008,1.055,1.096,1.094,0.984,0.887,0.876,7
"FW_193",1.014,1.052,1.058,1.03,0.996,0.934,0.916,7
"FW_194",1.205,1.086,1.368,0.837,0.767,0.528,1.209,7
"FW_195",1.021,1.02,1.017,1.005,0.979,0.971,0.987,7
"FW_196",1.198,1.07,1.047,1.076,0.951,0.901,0.757,7
"FW_197",1.03,1.026,1.021,0.987,0.985,0.991,0.96,7
"FW_198",1.225,1.224,1.188,1.221,0.989,0.67,0.483,7
"FW_199",1.315,0.866,1.057,2.609,0.209,0.944,0,7
"FW_200",1.011,0.979,0.983,0.976,0.993,1.034,1.024,7
"FW_201",0.97,1.177,1.243,1.157,1.057,0.69,0.706,7
"FW_202",1.079,1.11,1.167,1.031,0.984,0.804,0.825,7
"FW_203",1.612,1.624,0.945,0.701,0.494,0.532,1.092,7
"FW_204",1.034,1.085,1.075,1.05,0.931,0.916,0.909,7
"FW_205",1.035,1.088,1.087,1.068,1.028,0.872,0.822,7
"FW_206",1.202,1.256,1.014,1.389,0.988,0.673,0.478,7
"FW_207",1.007,0.995,1,1.001,1.022,1,0.975,7
"FW_208",1.011,1.046,1.04,1.012,0.975,0.952,0.964,7
"FW_209",1.019,0.996,1.013,0.995,1.024,0.981,0.972,7
"FW_210",1.019,1.027,1.025,1.017,1.004,0.962,0.946,7
"FW_211",0.992,1.016,1.019,1.02,1.016,0.969,0.968,7
"FW_212",1.156,1.443,1.206,1.214,0.737,0.545,0.699,7
"FW_213",1.038,1.101,1.096,1.075,1.006,0.847,0.837,7
"FW_214",1.098,1.294,1.122,1.057,0.916,0.735,0.778,7
"FW_215",1.016,1.04,1.042,1.026,1.006,0.949,0.921,7
"FW_216",1.057,1.084,1.086,1.067,0.995,0.867,0.844,7
"FW_217",1.001,1.001,1.014,1.046,0.992,0.985,0.961,7
"FW_218",0.994,1.04,1.067,1.027,1.03,0.952,0.89,7
"FW_219",1.02,1.049,1.053,1.01,0.999,0.972,0.897,7
"FW_220",1.016,1.026,1.136,1.046,0.98,0.882,0.914,7
"FW_221",1.033,1.067,1.065,1.03,0.975,0.918,0.912,7
"FW_222",1.027,1.052,1.054,1.023,0.991,0.933,0.92,7
"FW_223",1.021,1.043,1.051,1.047,1.019,0.915,0.904,7
"FW_224",1.187,1.518,1.17,1.092,0.99,0.497,0.546,7
"FW_225",1.043,1.059,1.037,1.05,1.045,0.909,0.857,7
"FW_226",1.011,1.03,1.042,1.023,0.984,0.948,0.962,7
"FW_227",1.017,1.052,1.052,1.065,1,0.901,0.913,7
"FW_228",0.873,1.277,1.06,1.427,1.005,0.612,0.746,7
"FW_229",1.067,1.06,1.005,0.979,0.998,0.968,0.923,7
"FW_230",1.223,1.154,1.08,1.068,1.035,0.741,0.699,7
"FW_231",0.988,1.029,1.048,1.034,1.01,0.96,0.931,7
"FW_232",1.011,1.035,1.044,1.028,1.009,0.95,0.923,7
"FW_233",1.164,1.526,1.36,0.949,0.731,0.715,0.555,7
"FW_234",1.051,1.104,1.137,1.088,0.961,0.812,0.847,7
"FW_235",1.016,1.034,1.026,1.007,0.996,0.964,0.957,7
"FW_236",1.029,1.061,1.044,1.003,0.979,0.945,0.939,7
"FW_237",1.015,1.026,1.01,1.022,1.009,0.963,0.955,7
"FW_238",1.006,1.039,1.04,1.029,1,0.95,0.936,7
"FW_239",1.02,1.045,1.041,1.01,1.005,0.937,0.942,7
"FW_240",1.035,1.066,1.07,1.057,0.992,0.889,0.891,7
