"ID_WeekFact","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","tot"
"FW_241",1.033,1.058,1.052,1.044,0.979,0.927,0.907,7
"FW_242",1.181,0.981,1.146,1.056,0.939,0.822,0.875,7
"FW_243",1.082,1.13,1.141,0.974,1.032,0.82,0.821,7
"FW_244",0.579,1.699,3.233,1.12,0.323,0.046,0,7
"FW_245",1.018,0.999,1.028,0.997,0.987,0.979,0.992,7
"FW_246",1.084,1.116,1.073,1.032,0.958,0.857,0.88,7
"FW_247",1.014,1.003,1.018,1.018,1.001,0.976,0.97,7
"FW_248",1.03,1.04,1.035,1.027,1.013,0.948,0.907,7
"FW_249",1.106,1.157,1.09,1.086,1.014,0.811,0.736,7
"FW_250",1.036,1.118,1.191,1.124,0.949,0.844,0.738,7
"FW_251",1.026,1.045,1.029,1.009,0.993,0.948,0.95,7
"FW_252",1.205,1.257,1.152,1.193,1.001,0.623,0.569,7
"FW_253",1.014,1.026,1.02,1.011,0.999,0.97,0.96,7
"FW_254",1.127,1.232,1.167,1.07,1.139,0.7,0.565,7
"FW_255",1.003,1.019,1.02,1.023,1.013,0.974,0.948,7
"FW_256",1.756,1.232,1.202,0.784,1.329,0.338,0.359,7
"FW_257",1.006,1.043,1.059,1.034,1.031,0.945,0.882,7
"FW_258",1.052,1.094,1.063,1.067,1.058,0.867,0.799,7
"FW_259",0.994,1.036,1.008,1.019,1.011,0.991,0.941,7
"FW_260",1.01,1.002,1.018,1.028,1.005,0.964,0.973,7
"FW_261",1.051,1.07,1.058,1.055,1.041,0.888,0.837,7
"FW_262",1.08,1.06,1.053,1.071,1.05,0.859,0.827,7
"FW_263",1.02,1.032,1.015,1.05,1.068,0.939,0.876,7
"FW_264",0.997,0.998,1.004,1.003,1.003,1,0.995,7
"FW_265",1.03,1.004,0.997,1.024,1.015,0.983,0.947,7
"FW_266",1.018,1.038,1.038,1.045,1.05,0.94,0.871,7
"FW_267",1.015,1.028,1.034,1.032,1.03,0.978,0.883,7
"FW_268",1.086,1.014,0.971,1.027,1.029,0.949,0.924,7
"FW_269",1.046,1.071,1.069,1.087,1.076,0.881,0.77,7
"FW_270",1.004,0.985,0.985,0.989,1.002,1.018,1.017,7
"FW_271",1.006,1.029,1.063,1.001,1.021,0.983,0.897,7
"FW_272",1.024,1.048,1.051,1.057,1.044,0.932,0.844,7
"FW_273",1.044,1.122,1.111,1.095,1.091,0.85,0.687,7
"FW_274",1.006,1.036,1.017,1.028,1.039,0.972,0.902,7
"FW_275",1.006,1.011,1.009,1.007,1.006,0.988,0.973,7
"FW_276",1.007,0.994,1.016,1.005,1.002,0.985,0.991,7
"FW_277",1.025,1.051,1.046,1.029,0.999,0.933,0.917,7
"FW_278",1.005,1.02,1.021,1.022,1.014,0.972,0.946,7
"FW_279",1.006,1.011,1.009,1.007,1.006,0.988,0.973,7
"FW_280",1.015,1.05,1.047,1.044,1.038,0.924,0.882,7
"FW_281",0.997,0.998,1.004,1.003,1.003,1,0.995,7
"FW_282",1.005,1.02,1.021,1.022,1.014,0.972,0.946,7
"FW_283",0.997,0.998,1.004,1.003,1.003,1,0.995,7
"FW_284",1.013,1.02,0.999,1.045,0.99,0.975,0.958,7
"FW_285",1.013,1.02,0.999,1.045,0.99,0.975,0.958,7
"FW_286",1.073,1.063,1.072,1.052,0.884,0.812,1.044,7
"FW_287",1.073,1.063,1.072,1.052,0.884,0.812,1.044,7
"FW_288",1.013,1.02,0.999,1.045,0.99,0.975,0.958,7
"FW_289",1.044,1.073,1.063,1.072,1.052,0.884,0.812,7
"FW_290",1.039,1.013,1.037,0.948,0.953,0.997,1.013,7
"FW_291",0.983,1.023,1.034,1.027,1.043,0.962,0.928,7
"FW_292",1.006,1.011,1.009,1.007,1.006,0.988,0.973,7
"FW_293",1.013,1.02,0.999,1.045,0.99,0.975,0.958,7
"FW_294",1.005,1.02,1.021,1.022,1.014,0.972,0.946,7
"FW_295",1.014,1.022,1.032,1.031,1.033,0.97,0.898,7
"FW_296",1.005,1.02,1.021,1.022,1.014,0.972,0.946,7
