wavelength(mic) abs_k(a=0.01mic) abs_k(a=0.1mic) abs_k(a=1.0mic)
0.002018 8362 7564 3445
0.002042 8619 7773 3477
0.002065 8870 7976 3508
0.002089 9135 8187 3535
0.002113 9404 8401 3562
0.002138 9689 8626 3590
0.002163 9980 8855 3617
0.002188 10276 9088 3645
0.002213 10581 9322 3668
0.002239 10904 9569 3692
0.002265 11233 9820 3716
0.002291 11569 10075 3739
0.002317 11910 10333 3763
0.002344 12244 10580 3781
0.002371 12583 10830 3799
0.002399 12941 11092 3817
0.002427 13304 11358 3835
0.002455 13674 11627 3853
0.002483 14062 11900 3867
0.002512 14471 12186 3883
0.002541 14886 12475 3898
0.00257 15309 12768 3913
0.0026 15754 13074 3928
0.00263 16211 13380 3940
0.002661 16692 13700 3952
0.002692 17181 14024 3964
0.002723 17679 14352 3976
0.002754 18177 14675 3987
0.002786 18671 14985 3995
0.002818 19173 15299 4004
0.002851 19699 15624 4012
0.002884 20232 15953 4021
0.002917 20776 16283 4029
0.002951 21349 16620 4035
0.002985 21931 16960 4042
0.00302 22539 17312 4049
0.003055 23157 17669 4056
0.00309 23801 18032 4062
0.003126 24512 18418 4068
0.003162 25236 18808 4074
0.003199 25994 19212 4080
0.003236 26765 19621 4086
0.003273 27535 20018 4091
0.003311 28316 20404 4094
0.00335 29131 20803 4098
0.003388 29938 21194 4101
0.003428 30802 21609 4104
0.003467 31643 22000 4107
0.003508 32521 22391 4110
0.003548 33391 22775 4113
0.003589 34296 23170 4115
0.003631 35237 23577 4118
0.003673 36180 23968 4121
0.003715 37124 24343 4124
0.003758 38104 24729 4127
0.003802 39122 25126 4131
0.003846 40155 25524 4134
0.00389 41208 25912 4137
0.003935 42304 26301 4140
0.003981 43441 26700 4143
0.004027 44595 27100 4146
0.004074 45792 27510 4149
0.004121 46997 27897 4151
0.004169 48240 28277 4154
0.004217 49501 28659 4156
0.004266 50807 29049 4159
0.004315 52131 29440 4162
0.004365 35046 21203 3735
0.004416 18826 12740 3165
0.004467 10186 7700 2687
0.004519 5484 4635 2278
0.004571 2973 2806 1935
0.004624 2607 2526 1885
0.004677 2678 2592 1920
0.004732 2752 2662 1956
0.004786 2826 2731 1993
0.004842 2905 2803 2031
0.004898 2986 2879 2068
0.004954 3069 2955 2105
0.005012 3156 3036 2143
0.00507 3245 3118 2182
0.005129 3336 3203 2221
0.005188 3429 3288 2259
0.005248 3525 3377 2297
0.005309 3625 3468 2336
0.00537 3725 3560 2375
0.005433 3831 3657 2416
0.005495 3938 3753 2453
0.005559 4050 3853 2492
0.005623 4164 3955 2531
0.005689 4283 4061 2571
0.005754 4402 4167 2611
0.005821 4526 4277 2647
0.005888 4651 4389 2684
0.005957 4783 4505 2722
0.006026 4916 4623 2760
0.006095 5052 4743 2797
0.006166 5190 4864 2832
0.006237 5330 4987 2867
0.00631 5476 5114 2903
0.006383 5624 5244 2939
0.006457 5777 5377 2975
0.006531 5929 5507 3006
0.006607 6087 5642 3038
0.006683 6247 5779 3070
0.006761 6414 5921 3103
0.006839 6583 6064 3136
0.006918 6754 6203 3166
0.006998 6930 6347 3196
0.007079 7111 6493 3226
0.007161 7296 6643 3257
0.007244 7486 6798 3287
0.007328 7681 6958 3312
0.007413 7880 7123 3339
0.007499 8085 7291 3365
0.007586 8295 7464 3392
0.007674 8511 7640 3418
0.007762 8731 7819 3441
0.007852 8959 8005 3465
0.007943 9193 8195 3489
0.008035 9433 8389 3513
0.008128 9678 8582 3535
0.008222 9928 8769 3555
0.008318 10186 8961 3574
0.008414 10449 9156 3594
0.008511 10718 9355 3613
0.00861 10994 9561 3631
0.00871 11275 9774 3647
0.00881 11560 9989 3663
0.008913 11857 10212 3680
0.009016 12159 10438 3696
0.00912 12455 10655 3710
0.009226 12744 10860 3722
0.009333 13040 11069 3733
0.009441 13342 11281 3745
0.00955 13651 11497 3757
0.009661 13956 11706 3767
0.009772 14251 11905 3776
0.009886 14556 12110 3784
0.01 14865 12316 3793
0.01012 15194 12535 3802
0.01023 15487 12729 3807
0.01035 15804 12936 3812
0.01047 16124 13144 3816
0.01059 16446 13354 3820
0.01072 16799 13582 3824
0.01084 17148 13799 3829
0.01096 17511 14020 3834
0.01109 17908 14260 3839
0.01122 18310 14502 3844
0.01135 18715 14746 3849
0.01148 19154 15009 3853
0.01161 19611 15282 3855
0.01175 20110 15577 3858
0.01189 20615 15876 3860
0.01202 21090 16154 3863
0.01216 21636 16458 3865
0.0123 22201 16764 3866
0.01245 22816 17094 3868
0.01259 23398 17405 3870
0.01274 24031 17740 3872
0.01288 24613 18030 3872
0.01303 25242 18337 3872
0.01318 25879 18645 3872
0.01334 26569 18976 3872
0.01349 27224 19288 3872
0.01365 27878 19580 3870
0.0138 28491 19849 3869
0.01396 29153 20136 3867
0.01413 29863 20442 3865
0.01429 30540 20731 3864
0.01445 31182 20987 3860
0.01462 31868 21257 3857
0.01479 32560 21528 3854
0.01496 33260 21798 3850
0.01514 34008 22085 3847
0.01531 34714 22343 3843
0.01549 35470 22616 3838
0.01567 36233 22890 3834
0.01585 37003 23163 3830
0.01603 37781 23435 3826
0.01622 38618 23697 3822
0.01641 39463 23959 3819
0.0166 40317 24220 3815
0.01679 41179 24482 3812
0.01698 42053 24741 3808
0.01718 43014 24995 3802
0.01738 43986 25248 3796
0.01758 44968 25501 3790
0.01778 45960 25754 3785
0.01799 47031 26019 3779
0.0182 48189 26287 3775
0.01841 49362 26554 3770
0.01862 50550 26822 3766
0.01884 51810 27101 3762
0.01905 53036 27359 3757
0.01928 54422 27608 3751
0.0195 55765 27847 3746
0.01972 57126 28084 3740
0.01995 58567 28332 3734
0.02018 60043 28573 3728
0.02042 61651 28806 3723
0.02065 63213 29028 3718
0.02089 64866 29259 3713
0.02113 66543 29489 3708
0.02138 68306 29712 3702
0.02163 70077 29906 3696
0.02188 71873 30098 3690
0.02213 73693 30290 3685
0.02239 75613 30488 3679
0.02265 77549 30666 3673
0.02291 79496 30816 3667
0.02317 81469 30964 3661
0.02344 83546 31117 3655
0.02371 85651 31270 3649
0.02399 87832 31413 3643
0.02427 90006 31541 3637
0.02455 92207 31668 3631
0.02483 94437 31793 3625
0.02512 96775 31923 3619
0.02541 99063 32035 3613
0.0257 101311 32135 3606
0.026 103664 32237 3599
0.0263 106043 32338 3593
0.02661 108529 32441 3586
0.02692 110983 32523 3579
0.02723 113423 32590 3573
0.02754 115889 32656 3568
0.02786 118460 32725 3562
0.02818 121058 32792 3556
0.02851 123637 32849 3549
0.02884 126175 32900 3542
0.02917 128735 32949 3536
0.02951 131396 33000 3529
0.02985 134080 33051 3522
0.0302 137005 33126 3518
0.03055 140015 33210 3516
0.0309 143055 33293 3513
0.03126 146214 33378 3511
0.03162 149405 33462 3508
0.03199 152375 33483 3500
0.03236 155258 33483 3490
0.03273 158161 33483 3480
0.03311 161165 33483 3469
0.0335 164270 33483 3459
0.03388 167533 33538 3453
0.03428 171042 33607 3446
0.03467 174493 33673 3441
0.03508 178153 33742 3435
0.03548 181755 33809 3429
0.03589 185446 33847 3422
0.03631 189254 33881 3415
0.03673 193095 33915 3409
0.03715 196969 33948 3402
0.03758 200969 33982 3395
0.03802 205238 34032 3387
0.03846 209557 34083 3380
0.0389 213916 34133 3372
0.03935 218416 34184 3364
0.03981 223060 34236 3357
0.04027 227794 34277 3349
0.04074 232677 34320 3341
0.04121 237607 34362 3334
0.04169 242690 34404 3326
0.04217 247838 34447 3319
0.04266 253401 34506 3310
0.04315 259023 34565 3302
0.04365 264821 34624 3293
0.04416 270798 34683 3285
0.04467 276878 34745 3277
0.04519 283449 34821 3269
0.04571 290098 34897 3261
0.04624 296955 34974 3253
0.04677 303894 35050 3246
0.04732 311220 35132 3238
0.04786 318644 35222 3232
0.04842 326438 35315 3225
0.04898 334330 35408 3218
0.04955 342463 35501 3211
0.05012 350792 35599 3205
0.0507 359674 35717 3200
0.05129 368832 35836 3195
0.05188 378115 35954 3190
0.05248 387683 36073 3185
0.05309 397568 36207 3180
0.0537 407645 36373 3177
0.05433 418196 36544 3173
0.05495 428722 36711 3170
0.05559 439738 36881 3167
0.05623 450775 37068 3164
0.05689 462067 37289 3164
0.05754 473332 37507 3164
0.05821 485093 37729 3164
0.05888 497008 37951 3164
0.05957 508698 38185 3166
0.06026 519602 38427 3169
0.06095 530613 38668 3173
0.06166 542052 38914 3176
0.06237 553603 39159 3179
0.0631 564668 39423 3183
0.06383 574859 39700 3187
0.06457 585255 39979 3192
0.06531 595718 40257 3196
0.06607 606532 40541 3200
0.06683 616097 40817 3205
0.06761 624908 41094 3210
0.06839 633742 41369 3215
0.06918 642712 41647 3220
0.06998 651819 41927 3225
0.07079 659455 42205 3231
0.07161 666059 42483 3238
0.0722 670806 42683 3243
0.07244 672735 42764 3245
0.07328 679480 43046 3252
0.07413 686295 43330 3258
0.07499 690550 43601 3265
0.07586 693618 43868 3272
0.07674 696698 44136 3279
0.07762 699757 44403 3285
0.07852 702864 44675 3292
0.07943 703012 44932 3300
0.08035 701905 45184 3309
0.08128 700799 45437 3317
0.08222 699697 45691 3325
0.08318 698585 45949 3334
0.08414 694561 46182 3341
0.08511 689697 46409 3348
0.0861 684824 46639 3355
0.0871 679993 46870 3362
0.0881 675250 47099 3368
0.08913 665869 47320 3377
0.09016 655899 47537 3387
0.0912 646097 47755 3396
0.09226 636368 47975 3405
0.09333 626806 48196 3415
0.09441 612643 48416 3425
0.0955 598248 48635 3436
0.09661 584099 48857 3447
0.09772 570440 49078 3459
0.09886 556899 49303 3470
0.1 540869 49526 3481
0.1012 524626 49760 3494
0.1023 510328 49974 3505
0.1035 495340 50204 3517
0.1047 480958 50434 3529
0.1059 466702 50634 3539
0.1072 451907 50849 3549
0.1084 438818 51046 3559
0.1096 426247 51241 3569
0.1109 413041 51451 3579
0.1122 398778 51655 3588
0.1135 385162 51857 3596
0.1148 372159 52057 3605
0.1161 359733 52256 3613
0.1175 346684 52471 3622
0.1189 332656 52703 3633
0.1202 320277 52916 3642
0.1216 307601 53145 3652
0.123 295564 53372 3662
0.1245 283107 53620 3673
0.1259 271283 53874 3684
0.1274 259297 54145 3695
0.1288 248708 54397 3706
0.1303 237960 54664 3717
0.1318 227678 54941 3729
0.1334 216998 55265 3742
0.1349 207549 55567 3754
0.1365 198031 55887 3767
0.138 189599 56186 3779
0.1396 181423 56512 3793
0.1413 173950 56879 3808
0.1429 167274 57222 3821
0.1445 160925 57564 3835
0.1462 154514 57925 3850
0.1479 149305 58252 3863
0.1496 145885 58519 3874
0.1514 142389 58800 3886
0.1531 139202 59063 3896
0.1549 135941 59340 3908
0.1567 133676 59594 3917
0.1585 132560 59820 3926
0.1603 131466 60044 3934
0.1622 130335 60278 3943
0.1641 129225 60511 3952
0.166 128934 60687 3958
0.1679 129362 60811 3963
0.1698 129787 60934 3968
0.1718 130230 61063 3973
0.1738 130670 61190 3978
0.1758 130959 61247 3974
0.1778 131125 61247 3962
0.1799 131298 61247 3950
0.182 131470 61247 3938
0.1841 131640 61247 3927
0.1862 129883 61344 3924
0.1884 126886 61508 3926
0.1905 124122 61663 3929
0.1928 121197 61831 3931
0.195 118495 61990 3934
0.1972 114632 62208 3936
0.1995 110189 62463 3939
0.2018 105966 62716 3941
0.2042 101780 62978 3944
