sequence_id,resolution,photography_type,window
theninja,4056x3040,VIS,WORF
kkkm,4056x3040,VIS,NODE
AstroX,4056x3040,VIS,WORF
OrbitAz,1280x720,VIS,WORF
test_data,4056x3040,VIS,WORF
