Backend,Parameter,Values,Times
Backend.FORTRAN,n_samples,"[10.0, 14.0, 20.0, 29.0, 42.0, 61.0, 88.0, 127.0, 183.0, 263.0, 379.0, 545.0, 784.0, 1128.0, 1623.0, 2335.0, 3359.0, 4832.0, 6951.0, 10000.0]","[0.010181223973631859, 0.0007616244256496429, 0.0036925148218870164, 0.007886993139982224, 0.03193431198596954, 0.03323082290589809, 0.043374034389853475, 0.02778490036725998, 0.045684957131743434, 0.048570293560624124, 0.07910628542304039, 0.10549638494849205, 0.14749698005616665, 0.1968963336199522, 0.3090169563889503, 0.5202364474534988, 0.8449702225625515, 1.5808960486203432, 3.1374595761299133, 6.458428370952606]"
Backend.FORTRAN,max_nbases,"[5.0, 7.0, 9.0, 11.0, 13.0, 15.0, 17.0]","[2.380269419401884, 3.7170260932296513, 5.0489917397499084, 6.224850780516863, 7.186287168040872, 8.258809672296048, 10.322778544202446]"
Backend.FORTRAN,dim,"[2.0, 4.0, 6.0, 8.0, 10.0]","[6.291656227782369, 6.377841014787554, 6.450084593147039, 6.694757998362183, 7.622572402656078]"
Backend.PYTHON,n_samples,"[10.0, 14.0, 20.0, 29.0, 42.0, 61.0, 88.0, 127.0, 183.0, 263.0, 379.0, 545.0, 784.0, 1128.0, 1623.0, 2335.0, 3359.0, 4832.0, 6951.0, 10000.0]","[0.2982286613434553, 0.10134742632508278, 0.5060835015028715, 0.7034136991947889, 1.108885858952999, 1.5688398368656635, 2.217555445432663, 3.1717793460935355, 4.771086230874062, 6.9964723464101555, 9.939991223812104, 14.54091880582273, 20.81840117648244, 30.15466437712312, 45.93557936474681, 68.90794499740005, 103.81651360839605, 157.34212657399476, 256.74730369634926, 412.9005501080304]"
Backend.PYTHON,max_nbases,"[5.0, 7.0, 9.0, 11.0, 13.0, 15.0, 17.0]","[113.7605181582272, 216.22722654044628, 324.24208776056764, 403.5373162858188, 477.5105731405318, 540.2104856744409, 600.9942882377654]"
Backend.PYTHON,dim,"[2.0, 4.0, 6.0, 8.0, 10.0]","[54.298269694671035, 134.29560589045286, 222.3943897459656, 313.5555802866817, 396.49111989550295]"
