TiMBA Area;RegionCode;ISO3 Code;Area Code;ContinentNew;Carbon Region
Algeria;a0;DZA;4;Africa;Northern Africa
Angola;a1;AGO;7;Africa;Western and Central Africa
Benin;a2;BEN;53;Africa;Western and Central Africa
Botswana;a3;BWA;20;Africa;Western and Central Africa
Burkina Faso;a4;BFA;233;Africa;Western and Central Africa
Burundi;a5;BDI;29;Africa;Western and Central Africa
Cameroon;a6;CMR;32;Africa;Western and Central Africa
Cape Verde;a7;CPV;35;Africa;Western and Central Africa
Central African Republic;a8;CAF;37;Africa;Western and Central Africa
Chad;a9;TCD;39;Africa;Western and Central Africa
Congo Republic of;b0;COG;46;Africa;Western and Central Africa
Côte d'Ivoire;b1;CIV;107;Africa;Western and Central Africa
Djibouti;b2;DJI;72;Africa;Eastern and Southern Africa
Egypt;b3;EGY;59;Africa;Northern Africa
Equatorial Guinea;b4;GNQ;61;Africa;Western and Central Africa
Ethiopia;b5;ETH;238;Africa;Eastern and Southern Africa
Gabon;b6;GAB;74;Africa;Western and Central Africa
Gambia;b7;GMB;75;Africa;Western and Central Africa
Ghana;b8;GHA;81;Africa;Western and Central Africa
Guinea;b9;GIN;90;Africa;Western and Central Africa
Guinea-Bissau;c0;GNB;175;Africa;Western and Central Africa
Kenya;c1;KEN;114;Africa;Eastern and Southern Africa
Lesotho;c2;LSO;122;Africa;Eastern and Southern Africa
Liberia;c3;LBR;123;Africa;Western and Central Africa
Libyan Arab Jamahiriya;c4;LBY;124;Africa;Northern Africa
Madagascar;c5;MDG;129;Africa;Eastern and Southern Africa
Malawi;c6;MWI;130;Africa;Eastern and Southern Africa
Mali;c7;MLI;133;Africa;Western and Central Africa
Mauritania;c8;MRT;136;Africa;Western and Central Africa
Mauritius;c9;MUS;137;Africa;Eastern and Southern Africa
Morocco;d0;MAR;143;Africa;Northern Africa
Mozambique;d1;MOZ;144;Africa;Eastern and Southern Africa
Niger;d2;NER;158;Africa;Western and Central Africa
Nigeria;d3;NGA;159;Africa;Western and Central Africa
Réunion;d4;REU;182;Africa;Eastern and Southern Africa
Rwanda;d5;RWA;184;Africa;Eastern and Southern Africa
Sao Tome and Principe;d6;STP;193;Africa;Western and Central Africa
Senegal;d7;SEN;195;Africa;Western and Central Africa
Sierra Leone;d8;SLE;197;Africa;Western and Central Africa
Somalia;d9;SOM;201;Africa;Eastern and Southern Africa
South Africa;e0;ZAF;202;Africa;Eastern and Southern Africa
Sudan;e1;SDN;276;Africa;Eastern and Southern Africa
Swaziland;e2;SWZ;209;Africa;Eastern and Southern Africa
Tanzania United Rep of;e3;TZA;215;Africa;Eastern and Southern Africa
Togo;e4;TGO;217;Africa;Western and Central Africa
Tunisia;e5;TUN;222;Africa;Northern Africa
Uganda;e6;UGA;226;Africa;Eastern and Southern Africa
Congo Dem Republic of;e7;COD;250;Africa;Western and Central Africa
Zambia;e8;ZMB;251;Africa;Eastern and Southern Africa
Zimbabwe;e9;ZWE;181;Africa;Eastern and Southern Africa
Bahamas;f0;BHS;12;North America;Caribbean
Barbados;f1;BRB;14;North America;Caribbean
Belize;f2;BLZ;23;North America;Caribbean
Canada;f3;CAN;33;North America;North America
Saint Lucia;f4;LCA;189;North America;Caribbean
Costa Rica;f5;CRI;48;North America;Central America
Cuba;f6;CUB;49;North America;Caribbean
Dominica;f7;DMA;55;North America;Caribbean
Dominican Republic;f8;DOM;56;North America;Caribbean
El Salvador;f9;SLV;60;North America;Central America
Guatemala;g0;GTM;89;North America;Central America
Haiti;g1;HTI;93;North America;Caribbean
