file_name,assembly_idx
01.mol,9
02.mol,8
03.mol,10
04.mol,9
05.mol,8
06.mol,10
07.mol,8
08.mol,8
09.mol,7
10.mol,10
11.mol,12
12.mol,13
13.mol,10
14.mol,8
15.mol,8
16.mol,11
17.mol,8
18.mol,10
19.mol,11
20.mol,9
21.mol,12
22.mol,12
23.mol,9
24.mol,11
25.mol,10
26.mol,11
27.mol,7
28.mol,10
29.mol,11
30.mol,10
31.mol,12
32.mol,10
33.mol,9
34.mol,13
35.mol,10
36.mol,15
37.mol,11
38.mol,15
39.mol,12
40.mol,9
41.mol,13
42.mol,9
43.mol,12
44.mol,15
45.mol,15
46.mol,12
47.mol,14
48.mol,13
49.mol,16
50.mol,13
51.mol,15
52.mol,14
53.mol,14
54.mol,16
55.mol,12
