Wavelength(nm)	n	k
1.03300e+02	3.27000e-01	7.26000e-01
1.07800e+02	3.63000e-01	8.47000e-01
1.12700e+02	3.92000e-01	9.46000e-01
1.18100e+02	4.23000e-01	1.04000e+00
1.24000e+02	4.59000e-01	1.14000e+00
1.30500e+02	4.97000e-01	1.24000e+00
1.37800e+02	5.43000e-01	1.35000e+00
1.45900e+02	5.97000e-01	1.47000e+00
1.55000e+02	6.60000e-01	1.60000e+00
1.65300e+02	7.35000e-01	1.74000e+00
1.77100e+02	8.32000e-01	1.89000e+00
1.90700e+02	9.51000e-01	2.07000e+00
2.06600e+02	1.11000e+00	2.28000e+00
2.25400e+02	1.35000e+00	2.51000e+00
2.48000e+02	1.69000e+00	2.76000e+00
2.58300e+02	1.86000e+00	2.85000e+00
2.69500e+02	2.07000e+00	2.93000e+00
2.81800e+02	2.30000e+00	2.99000e+00
2.95200e+02	2.56000e+00	3.04000e+00
3.10000e+02	2.87000e+00	3.06000e+00
3.26300e+02	3.21000e+00	3.00000e+00
3.44400e+02	3.55000e+00	2.88000e+00
3.54300e+02	3.73000e+00	2.79000e+00
3.64700e+02	3.90000e+00	2.66000e+00
3.87500e+02	4.17000e+00	2.38000e+00
4.13300e+02	4.38000e+00	2.02000e+00
4.42800e+02	4.47000e+00	1.64000e+00
4.76900e+02	4.49000e+00	1.28000e+00
4.96000e+02	4.47000e+00	1.12000e+00
5.16600e+02	4.46000e+00	9.69000e-01
5.63600e+02	4.36000e+00	6.90000e-01
6.19900e+02	4.23000e+00	4.61000e-01
6.52600e+02	4.17000e+00	3.63000e-01
6.88800e+02	4.09000e+00	2.71000e-01
7.29300e+02	4.01000e+00	1.99000e-01
7.74900e+02	3.93000e+00	1.36000e-01
8.26600e+02	3.86000e+00	8.12000e-02
8.85600e+02	3.77000e+00	4.01000e-02
9.53800e+02	3.68000e+00	0.00000e+00
1.03300e+03	3.61000e+00	0.00000e+00
1.12700e+03	3.57000e+00	0.00000e+00
1.24000e+03	3.54000e+00	0.00000e+00
1.37800e+03	3.50000e+00	0.00000e+00
1.55000e+03	3.48000e+00	0.00000e+00
1.77100e+03	3.45000e+00	0.00000e+00
2.06600e+03	3.44000e+00	0.00000e+00
