Wavelength(nm)	n	k
4.00000e+03	1.84400e+00	0.00000e+00
4.01000e+03	1.84350e+00	0.00000e+00
4.02000e+03	1.84300e+00	0.00000e+00
4.03000e+03	1.84300e+00	0.00000e+00
4.04000e+03	1.84267e+00	0.00000e+00
4.05000e+03	1.84200e+00	0.00000e+00
4.06000e+03	1.84200e+00	0.00000e+00
4.07000e+03	1.84200e+00	0.00000e+00
4.08000e+03	1.84100e+00	0.00000e+00
4.09000e+03	1.84100e+00	0.00000e+00
4.10000e+03	1.84100e+00	0.00000e+00
4.11000e+03	1.84000e+00	0.00000e+00
4.12000e+03	1.84000e+00	0.00000e+00
4.13000e+03	1.84000e+00	0.00000e+00
4.14000e+03	1.83917e+00	0.00000e+00
4.15000e+03	1.83900e+00	0.00000e+00
4.16000e+03	1.83900e+00	0.00000e+00
4.17000e+03	1.83871e+00	0.00000e+00
4.18000e+03	1.83800e+00	0.00000e+00
4.19000e+03	1.83800e+00	0.00000e+00
4.20000e+03	1.83729e+00	0.00000e+00
4.21000e+03	1.83700e+00	0.00000e+00
4.22000e+03	1.83700e+00	0.00000e+00
4.23000e+03	1.83600e+00	0.00000e+00
4.24000e+03	1.83600e+00	0.00000e+00
4.25000e+03	1.83600e+00	0.00000e+00
4.26000e+03	1.83557e+00	0.00000e+00
4.27000e+03	1.83500e+00	0.00000e+00
4.28000e+03	1.83500e+00	0.00000e+00
4.29000e+03	1.83429e+00	0.00000e+00
4.30000e+03	1.83400e+00	0.00000e+00
4.31000e+03	1.83400e+00	0.00000e+00
4.32000e+03	1.83314e+00	0.00000e+00
4.33000e+03	1.83300e+00	0.00000e+00
4.34000e+03	1.83300e+00	0.00000e+00
4.35000e+03	1.83200e+00	0.00000e+00
4.36000e+03	1.83200e+00	0.00000e+00
4.37000e+03	1.83200e+00	0.00000e+00
4.38000e+03	1.83100e+00	0.00000e+00
4.39000e+03	1.83100e+00	0.00000e+00
4.40000e+03	1.83025e+00	0.00000e+00
4.41000e+03	1.83000e+00	0.00000e+00
4.42000e+03	1.83000e+00	0.00000e+00
4.43000e+03	1.82925e+00	0.00000e+00
4.44000e+03	1.82900e+00	0.00000e+00
4.45000e+03	1.82900e+00	0.00000e+00
4.46000e+03	1.82825e+00	0.00000e+00
4.47000e+03	1.82800e+00	0.00000e+00
4.48000e+03	1.82771e+00	0.00000e+00
4.49000e+03	1.82700e+00	0.00000e+00
4.50000e+03	1.82700e+00	0.00000e+00
4.51000e+03	1.82687e+00	0.00000e+00
4.52000e+03	1.82600e+00	0.00000e+00
4.53000e+03	1.82600e+00	0.00000e+00
4.54000e+03	1.82500e+00	0.00000e+00
4.55000e+03	1.82500e+00	0.00000e+00
4.56000e+03	1.82450e+00	0.00000e+00
4.57000e+03	1.82400e+00	0.00000e+00
4.58000e+03	1.82400e+00	0.00000e+00
4.59000e+03	1.82300e+00	0.00000e+00
4.60000e+03	1.82300e+00	0.00000e+00
4.61000e+03	1.82300e+00	0.00000e+00
4.62000e+03	1.82212e+00	0.00000e+00
4.63000e+03	1.82200e+00	0.00000e+00
4.64000e+03	1.82175e+00	0.00000e+00
4.65000e+03	1.82100e+00	0.00000e+00
4.66000e+03	1.82100e+00	0.00000e+00
4.67000e+03	1.82012e+00	0.00000e+00
4.68000e+03	1.82000e+00	0.00000e+00
4.69000e+03	1.81978e+00	0.00000e+00
4.70000e+03	1.81900e+00	0.00000e+00
4.71000e+03	1.81900e+00	0.00000e+00
4.72000e+03	1.81825e+00	0.00000e+00
4.73000e+03	1.81800e+00	0.00000e+00
4.74000e+03	1.81700e+00	0.00000e+00
4.75000e+03	1.81700e+00	0.00000e+00
4.76000e+03	1.81667e+00	0.00000e+00
4.77000e+03	1.81600e+00	0.00000e+00
4.78000e+03	1.81600e+00	0.00000e+00
4.79000e+03	1.81522e+00	0.00000e+00
4.80000e+03	1.81500e+00	0.00000e+00
4.81000e+03	1.81500e+00	0.00000e+00
4.82000e+03	1.81400e+00	0.00000e+00
4.83000e+03	1.81378e+00	0.00000e+00
4.84000e+03	1.81300e+00	0.00000e+00
4.85000e+03	1.81300e+00	0.00000e+00
4.86000e+03	1.81244e+00	0.00000e+00
4.87000e+03	1.81200e+00	0.00000e+00
4.88000e+03	1.81122e+00	0.00000e+00
4.89000e+03	1.81100e+00	0.00000e+00
4.90000e+03	1.81100e+00	0.00000e+00
4.91000e+03	1.81000e+00	0.00000e+00
4.92000e+03	1.80990e+00	0.00000e+00
4.93000e+03	1.80900e+00	0.00000e+00
4.94000e+03	1.80900e+00	0.00000e+00
4.95000e+03	1.80870e+00	0.00000e+00
4.96000e+03	1.80800e+00	0.00000e+00
4.97000e+03	1.80760e+00	0.00000e+00
4.98000e+03	1.80700e+00	0.00000e+00
4.99000e+03	1.80656e+00	0.00000e+00
5.00000e+03	1.80600e+00	0.00000e+00
5.01000e+03	1.80600e+00	0.00000e+00
5.02000e+03	1.80540e+00	0.00000e+00
5.03000e+03	1.80500e+00	0.00000e+00
5.04000e+03	1.80440e+00	0.00000e+00
5.05000e+03	1.80400e+00	0.00000e+00
5.06000e+03	1.80333e+00	0.00000e+00
5.07000e+03	1.80300e+00	0.00000e+00
5.08000e+03	1.80230e+00	0.00000e+00
5.09000e+03	1.80200e+00	0.00000e+00
5.10000e+03	1.80130e+00	0.00000e+00
5.11000e+03	1.80100e+00	0.00000e+00
5.12000e+03	1.80030e+00	0.00000e+00
5.13000e+03	1.80000e+00	0.00000e+00
5.14000e+03	1.79940e+00	0.00000e+00
5.15000e+03	1.79900e+00	0.00000e+00
5.16000e+03	1.79840e+00	0.00000e+00
5.17000e+03	1.79800e+00	0.00000e+00
5.18000e+03	1.79750e+00	0.00000e+00
5.19000e+03	1.79700e+00	0.00000e+00
5.20000e+03	1.79654e+00	0.00000e+00
5.21000e+03	1.79600e+00	0.00000e+00
5.22000e+03	1.79564e+00	0.00000e+00
5.23000e+03	1.79500e+00	0.00000e+00
5.24000e+03	1.79473e+00	0.00000e+00
5.25000e+03	1.79400e+00	0.00000e+00
5.26000e+03	1.79390e+00	0.00000e+00
5.27000e+03	1.79300e+00	0.00000e+00
5.28000e+03	1.79300e+00	0.00000e+00
5.29000e+03	1.79209e+00	0.00000e+00
5.30000e+03	1.79200e+00	0.00000e+00
5.31000e+03	1.79120e+00	0.00000e+00
5.32000e+03	1.79027e+00	0.00000e+00
5.33000e+03	1.79000e+00	0.00000e+00
5.34000e+03	1.78945e+00	0.00000e+00
5.35000e+03	1.78900e+00	0.00000e+00
5.36000e+03	1.78864e+00	0.00000e+00
5.37000e+03	1.78775e+00	0.00000e+00
5.38000e+03	1.78700e+00	0.00000e+00
5.39000e+03	1.78700e+00	0.00000e+00
5.40000e+03	1.78609e+00	0.00000e+00
5.41000e+03	1.78600e+00	0.00000e+00
5.42000e+03	1.78533e+00	0.00000e+00
5.43000e+03	1.78445e+00	0.00000e+00
5.44000e+03	1.78400e+00	0.00000e+00
5.45000e+03	1.78367e+00	0.00000e+00
5.46000e+03	1.78300e+00	0.00000e+00
5.47000e+03	1.78292e+00	0.00000e+00
5.48000e+03	1.78208e+00	0.00000e+00
5.49000e+03	1.78125e+00	0.00000e+00
5.50000e+03	1.78100e+00	0.00000e+00
5.51000e+03	1.78050e+00	0.00000e+00
5.52000e+03	1.77967e+00	0.00000e+00
5.53000e+03	1.77900e+00	0.00000e+00
5.54000e+03	1.77892e+00	0.00000e+00
5.55000e+03	1.77808e+00	0.00000e+00
5.56000e+03	1.77725e+00	0.00000e+00
5.57000e+03	1.77700e+00	0.00000e+00
5.58000e+03	1.77658e+00	0.00000e+00
5.59000e+03	1.77575e+00	0.00000e+00
5.60000e+03	1.77492e+00	0.00000e+00
5.61000e+03	1.77408e+00	0.00000e+00
5.62000e+03	1.77400e+00	0.00000e+00
5.63000e+03	1.77350e+00	0.00000e+00
5.64000e+03	1.77267e+00	0.00000e+00
5.65000e+03	1.77183e+00	0.00000e+00
5.66000e+03	1.77100e+00	0.00000e+00
5.67000e+03	1.77100e+00	0.00000e+00
5.68000e+03	1.77042e+00	0.00000e+00
5.69000e+03	1.76961e+00	0.00000e+00
5.70000e+03	1.76883e+00	0.00000e+00
5.71000e+03	1.76800e+00	0.00000e+00
5.72000e+03	1.76800e+00	0.00000e+00
5.73000e+03	1.76746e+00	0.00000e+00
5.74000e+03	1.76667e+00	0.00000e+00
5.75000e+03	1.76585e+00	0.00000e+00
5.76000e+03	1.76508e+00	0.00000e+00
5.77000e+03	1.76431e+00	0.00000e+00
5.78000e+03	1.76400e+00	0.00000e+00
5.79000e+03	1.76377e+00	0.00000e+00
5.80000e+03	1.76300e+00	0.00000e+00
5.81000e+03	1.76223e+00	0.00000e+00
5.82000e+03	1.76146e+00	0.00000e+00
5.83000e+03	1.76069e+00	0.00000e+00
5.84000e+03	1.75992e+00	0.00000e+00
5.85000e+03	1.75915e+00	0.00000e+00
5.86000e+03	1.75838e+00	0.00000e+00
5.87000e+03	1.75800e+00	0.00000e+00
5.88000e+03	1.75792e+00	0.00000e+00
5.89000e+03	1.75715e+00	0.00000e+00
5.90000e+03	1.75638e+00	0.00000e+00
