Wavelength(nm)	n	k
1.20181e+02	1.12662e+00	8.98839e-01
1.20875e+02	1.12438e+00	9.07025e-01
1.21573e+02	1.12223e+00	9.15711e-01
1.22275e+02	1.12020e+00	9.24914e-01
1.22981e+02	1.11833e+00	9.34646e-01
1.23690e+02	1.11666e+00	9.44919e-01
1.24405e+02	1.11523e+00	9.55743e-01
1.25123e+02	1.11407e+00	9.67125e-01
1.25845e+02	1.11325e+00	9.79069e-01
1.26572e+02	1.11282e+00	9.91575e-01
1.27302e+02	1.11281e+00	1.00464e+00
1.28037e+02	1.11330e+00	1.01826e+00
1.28776e+02	1.11434e+00	1.03241e+00
1.29520e+02	1.11598e+00	1.04709e+00
1.30268e+02	1.11831e+00	1.06226e+00
1.31020e+02	1.12137e+00	1.07790e+00
1.31776e+02	1.12524e+00	1.09398e+00
1.32537e+02	1.13000e+00	1.11043e+00
1.33302e+02	1.13571e+00	1.12722e+00
1.34071e+02	1.14247e+00	1.14426e+00
1.34845e+02	1.15038e+00	1.16147e+00
1.35624e+02	1.15956e+00	1.17872e+00
1.36407e+02	1.17012e+00	1.19559e+00
1.37194e+02	1.18167e+00	1.21189e+00
1.37986e+02	1.19411e+00	1.22767e+00
1.38783e+02	1.20737e+00	1.24294e+00
1.39584e+02	1.22142e+00	1.25766e+00
1.40390e+02	1.23622e+00	1.27181e+00
1.41201e+02	1.25175e+00	1.28534e+00
1.42016e+02	1.26797e+00	1.29821e+00
1.42836e+02	1.28483e+00	1.31037e+00
1.43660e+02	1.30228e+00	1.32177e+00
1.44490e+02	1.32027e+00	1.33238e+00
1.45324e+02	1.33874e+00	1.34215e+00
1.46163e+02	1.35761e+00	1.35105e+00
1.47006e+02	1.37682e+00	1.35905e+00
1.47855e+02	1.39629e+00	1.36614e+00
1.48709e+02	1.41594e+00	1.37231e+00
1.49567e+02	1.43571e+00	1.37755e+00
1.50431e+02	1.45552e+00	1.38189e+00
1.51299e+02	1.47530e+00	1.38532e+00
1.52173e+02	1.49500e+00	1.38787e+00
1.53051e+02	1.51454e+00	1.38955e+00
1.53935e+02	1.53388e+00	1.39041e+00
1.54823e+02	1.55296e+00	1.39045e+00
1.55717e+02	1.57172e+00	1.38971e+00
1.56616e+02	1.59013e+00	1.38822e+00
1.57520e+02	1.60813e+00	1.38601e+00
1.58430e+02	1.62567e+00	1.38312e+00
1.59344e+02	1.64271e+00	1.37960e+00
1.60264e+02	1.65920e+00	1.37547e+00
1.61189e+02	1.67511e+00	1.37080e+00
1.62120e+02	1.69040e+00	1.36563e+00
1.63056e+02	1.70503e+00	1.36001e+00
1.63997e+02	1.71897e+00	1.35402e+00
1.64944e+02	1.73221e+00	1.34771e+00
1.65896e+02	1.74472e+00	1.34115e+00
1.66854e+02	1.75650e+00	1.33440e+00
1.67817e+02	1.76755e+00	1.32754e+00
1.68786e+02	1.77786e+00	1.32062e+00
1.69760e+02	1.78745e+00	1.31373e+00
1.70740e+02	1.79634e+00	1.30691e+00
1.71726e+02	1.80455e+00	1.30024e+00
1.72717e+02	1.81211e+00	1.29376e+00
1.73715e+02	1.81906e+00	1.28754e+00
1.74717e+02	1.82543e+00	1.28161e+00
1.75726e+02	1.83126e+00	1.27603e+00
1.76741e+02	1.83661e+00	1.27082e+00
1.77761e+02	1.84151e+00	1.26602e+00
1.78787e+02	1.84601e+00	1.26166e+00
1.79819e+02	1.85016e+00	1.25776e+00
1.80857e+02	1.85401e+00	1.25434e+00
1.81902e+02	1.85760e+00	1.25141e+00
1.82952e+02	1.86099e+00	1.24899e+00
1.84008e+02	1.86421e+00	1.24706e+00
1.85070e+02	1.86732e+00	1.24565e+00
1.86139e+02	1.87036e+00	1.24474e+00
1.87213e+02	1.87336e+00	1.24433e+00
1.88294e+02	1.87638e+00	1.24441e+00
1.89381e+02	1.87943e+00	1.24497e+00
