Wavelength(nm)	n	k
2.70000e+02	1.36400e+00	1.31800e+00
2.80000e+02	1.47700e+00	1.24000e+00
2.90000e+02	1.53100e+00	1.16800e+00
3.00000e+02	1.60900e+00	9.12600e-01
3.10000e+02	1.37300e+00	5.19200e-01
3.20000e+02	8.19100e-01	3.33400e-01
3.30000e+02	2.20700e-01	6.77900e-01
3.40000e+02	1.10900e-01	1.08400e+00
3.50000e+02	8.44300e-02	1.34100e+00
3.60000e+02	7.33900e-02	1.53600e+00
3.69900e+02	6.72700e-02	1.69900e+00
3.79900e+02	6.32500e-02	1.84100e+00
3.89900e+02	6.03500e-02	1.97100e+00
3.99900e+02	5.81700e-02	2.09000e+00
4.09900e+02	5.64700e-02	2.20300e+00
4.19900e+02	5.51500e-02	2.31000e+00
4.29900e+02	5.41100e-02	2.41300e+00
4.39900e+02	5.33200e-02	2.51300e+00
4.49900e+02	5.27100e-02	2.60900e+00
4.59900e+02	5.22700e-02	2.70300e+00
4.69900e+02	5.19800e-02	2.79500e+00
4.79900e+02	5.18100e-02	2.88600e+00
4.89900e+02	5.17500e-02	2.97400e+00
4.99900e+02	5.18000e-02	3.06200e+00
5.09900e+02	5.19300e-02	3.14800e+00
5.19900e+02	5.21500e-02	3.23300e+00
5.29900e+02	5.24500e-02	3.31800e+00
5.39900e+02	5.28200e-02	3.40100e+00
5.49900e+02	5.32600e-02	3.48400e+00
5.59900e+02	5.37600e-02	3.56600e+00
5.69900e+02	5.43100e-02	3.64800e+00
5.79900e+02	5.49300e-02	3.72800e+00
5.89900e+02	5.56000e-02	3.80900e+00
5.99900e+02	5.63200e-02	3.88900e+00
6.09900e+02	5.70900e-02	3.96800e+00
6.19900e+02	5.79000e-02	4.04800e+00
6.29900e+02	5.87600e-02	4.12600e+00
6.39900e+02	5.96600e-02	4.20500e+00
6.49900e+02	6.06100e-02	4.28300e+00
6.59900e+02	6.15900e-02	4.36100e+00
6.69900e+02	6.26200e-02	4.43800e+00
6.79900e+02	6.36800e-02	4.51600e+00
6.89900e+02	6.47800e-02	4.59300e+00
6.99900e+02	6.59100e-02	4.66900e+00
7.09900e+02	6.70800e-02	4.74600e+00
7.19900e+02	6.82900e-02	4.82300e+00
7.29900e+02	6.95300e-02	4.89900e+00
7.39900e+02	7.08000e-02	4.97500e+00
7.49900e+02	7.21000e-02	5.05100e+00
7.59900e+02	7.34400e-02	5.12600e+00
7.69900e+02	7.48000e-02	5.20200e+00
7.79900e+02	7.62000e-02	5.27800e+00
7.89900e+02	7.76200e-02	5.35300e+00
7.99900e+02	7.90800e-02	5.42800e+00
8.09900e+02	8.05700e-02	5.50300e+00
8.19900e+02	8.20800e-02	5.57800e+00
8.29900e+02	8.36200e-02	5.65300e+00
8.39900e+02	8.51900e-02	5.72800e+00
8.49900e+02	8.67900e-02	5.80200e+00
8.59900e+02	8.84100e-02	5.87700e+00
8.69900e+02	9.00700e-02	5.95100e+00
8.79900e+02	9.17400e-02	6.02600e+00
8.89900e+02	9.34500e-02	6.10000e+00
8.99900e+02	9.51800e-02	6.17400e+00
9.09900e+02	9.69400e-02	6.24800e+00
9.19900e+02	9.87200e-02	6.32200e+00
9.29900e+02	1.00500e-01	6.39600e+00
9.39900e+02	1.02400e-01	6.47000e+00
9.49900e+02	1.04200e-01	6.54400e+00
9.59900e+02	1.06100e-01	6.61800e+00
9.69800e+02	1.08000e-01	6.69100e+00
9.79900e+02	1.10000e-01	6.76500e+00
9.89900e+02	1.11900e-01	6.83800e+00
9.99900e+02	1.13900e-01	6.91200e+00
1.01000e+03	1.15900e-01	6.98500e+00
1.02000e+03	1.17900e-01	7.05900e+00
1.03000e+03	1.20000e-01	7.13200e+00
1.04000e+03	1.22100e-01	7.20600e+00
1.05000e+03	1.24200e-01	7.27900e+00
1.06000e+03	1.26300e-01	7.35200e+00
1.07000e+03	1.28500e-01	7.42500e+00
1.08000e+03	1.30600e-01	7.49800e+00
1.09000e+03	1.32800e-01	7.57100e+00
1.10000e+03	1.35100e-01	7.64500e+00
1.11000e+03	1.37300e-01	7.71800e+00
1.12000e+03	1.39600e-01	7.79100e+00
1.13000e+03	1.41900e-01	7.86300e+00
1.14000e+03	1.44200e-01	7.93600e+00
1.15000e+03	1.46500e-01	8.00900e+00
