Wavelength(nm)	n	k
210.000000	1.538358	0.000000
220.000000	1.528452	0.000000
230.000000	1.520237	0.000000
240.000000	1.513328	0.000000
250.000000	1.507446	0.000000
260.000000	1.502388	0.000000
270.000000	1.498000	0.000000
280.000000	1.494164	0.000000
290.000000	1.490786	0.000000
300.000000	1.487793	0.000000
310.000000	1.485127	0.000000
320.000000	1.482739	0.000000
330.000000	1.480592	0.000000
340.000000	1.478651	0.000000
350.000000	1.476891	0.000000
360.000000	1.475289	0.000000
370.000000	1.473826	0.000000
380.000000	1.472485	0.000000
390.000000	1.471252	0.000000
400.974854	1.470010	0.000000
402.867253	1.469807	0.000000
404.777600	1.469604	0.000000
406.705599	1.469403	0.000000
408.652609	1.469203	0.000000
410.618351	1.469004	0.000000
412.602528	1.468806	0.000000
414.606547	1.468609	0.000000
416.630128	1.468413	0.000000
418.672974	1.468219	0.000000
420.736543	1.468025	0.000000
422.820555	1.467832	0.000000
424.925314	1.467641	0.000000
427.050525	1.467450	0.000000
429.197715	1.467261	0.000000
431.366606	1.467072	0.000000
433.556902	1.466885	0.000000
435.770187	1.466698	0.000000
438.006186	1.466513	0.000000
440.265250	1.466328	0.000000
442.547083	1.466145	0.000000
444.853353	1.465963	0.000000
447.183787	1.465781	0.000000
449.538092	1.465601	0.000000
451.917998	1.465421	0.000000
454.323238	1.465243	0.000000
456.753522	1.465065	0.000000
459.210649	1.464889	0.000000
461.694356	1.464713	0.000000
464.205076	1.464539	0.000000
466.742525	1.464365	0.000000
469.308602	1.464192	0.000000
471.903051	1.464021	0.000000
474.525594	1.463850	0.000000
477.178208	1.463680	0.000000
479.860645	1.463511	0.000000
482.573411	1.463343	0.000000
485.316237	1.463176	0.000000
488.091216	1.463009	0.000000
490.898111	1.462844	0.000000
493.736663	1.462680	0.000000
496.609055	1.462516	0.000000
499.515065	1.462353	0.000000
502.454443	1.462192	0.000000
505.429471	1.462031	0.000000
508.439939	1.461871	0.000000
511.486484	1.461711	0.000000
514.568876	1.461553	0.000000
517.689537	1.461395	0.000000
520.848281	1.461239	0.000000
524.044893	1.461083	0.000000
527.281911	1.460928	0.000000
530.559168	1.460773	0.000000
533.877419	1.460620	0.000000
537.236474	1.460467	0.000000
540.639041	1.460315	0.000000
544.084983	1.460164	0.000000
547.574134	1.460014	0.000000
551.109339	1.459864	0.000000
554.690487	1.459715	0.000000
558.317441	1.459567	0.000000
561.993191	1.459420	0.000000
565.717662	1.459273	0.000000
569.491829	1.459127	0.000000
573.315595	1.458982	0.000000
577.192169	1.458838	0.000000
581.121523	1.458694	0.000000
585.103602	1.458551	0.000000
589.141789	1.458408	0.000000
593.236103	1.458266	0.000000
597.387724	1.458125	0.000000
601.596655	1.457985	0.000000
605.866540	1.457845	0.000000
610.197470	1.457705	0.000000
614.589504	1.457567	0.000000
619.046500	1.457429	0.000000
623.568612	1.457291	0.000000
628.155962	1.457154	0.000000
632.812642	1.457018	0.000000
637.538881	1.456882	0.000000
642.336247	1.456746	0.000000
647.204963	1.456611	0.000000
652.149467	1.456477	0.000000
657.170103	1.456343	0.000000
662.267180	1.456209	0.000000
667.445428	1.456076	0.000000
672.705290	1.455944	0.000000
678.048713	1.455811	0.000000
683.476145	1.455679	0.000000
688.992749	1.455548	0.000000
694.599131	1.455417	0.000000
700.295865	1.455286	0.000000
706.088478	1.455155	0.000000
711.977719	1.455025	0.000000
717.964307	1.454895	0.000000
724.054173	1.454765	0.000000
730.248232	1.454635	0.000000
736.549183	1.454506	0.000000
742.957974	1.454376	0.000000
749.481145	1.454247	0.000000
760.000000	1.454043	0.000000
802.000000	1.453283	0.000000
844.000000	1.452592	0.000000
886.000000	1.451956	0.000000
928.000000	1.451362	0.000000
950.000000	1.451069	0.000000
970.000000	1.450802	0.000000
1012.000000	1.450267	0.000000
1054.000000	1.449751	0.000000
1096.000000	1.449251	0.000000
1135.000000	1.448796	0.000000
1180.000000	1.448278	0.000000
1222.000000	1.447800	0.000000
1264.000000	1.447325	0.000000
1306.000000	1.446850	0.000000
1348.000000	1.446373	0.000000
1390.000000	1.445894	0.000000
1432.000000	1.445411	0.000000
1474.000000	1.444923	0.000000
1516.000000	1.444429	0.000000
1558.000000	1.443928	0.000000
1600.000000	1.443419	0.000000
1642.000000	1.442902	0.000000
1684.000000	1.442376	0.000000
1726.000000	1.441841	0.000000
1768.000000	1.441296	0.000000
1810.000000	1.440740	0.000000
1852.000000	1.440174	0.000000
1894.000000	1.439596	0.000000
1936.000000	1.439007	0.000000
1978.000000	1.438405	0.000000
2020.000000	1.437792	0.000000
2062.000000	1.437165	0.000000
2104.000000	1.436526	0.000000
2146.000000	1.435873	0.000000
2188.000000	1.435207	0.000000
2230.000000	1.434526	0.000000
2272.000000	1.433832	0.000000
2314.000000	1.433123	0.000000
2356.000000	1.432399	0.000000
2398.000000	1.431661	0.000000
2450.000000	1.430725	0.000000
2552.000000	1.428819	0.000000
2654.000000	1.426816	0.000000
2756.000000	1.424713	0.000000
2858.000000	1.422504	0.000000
2960.000000	1.420186	0.000000
3062.000000	1.417754	0.000000
3164.000000	1.415203	0.000000
3266.000000	1.412527	0.000000
3368.000000	1.409721	0.000000
3470.000000	1.406778	0.000000
3572.000000	1.403693	0.000000
3674.000000	1.400458	0.000000
3776.000000	1.397067	0.000000
3878.000000	1.393510	0.000000
3980.000000	1.389780	0.000000
4082.000000	1.385868	0.000000
4184.000000	1.381762	0.000000
4286.000000	1.377453	0.000000
4388.000000	1.372928	0.000000
4490.000000	1.368176	0.000000
4592.000000	1.363181	0.000000
4694.000000	1.357929	0.000000
4796.000000	1.352404	0.000000
4898.000000	1.346586	0.000000
5000.000000	1.340457	0.000000
5102.000000	1.333995	0.000000
5204.000000	1.327175	0.000000
5306.000000	1.319971	0.000000
5408.000000	1.312353	0.000000
5510.000000	1.304290	0.000000
5612.000000	1.295744	0.000000
5714.000000	1.286675	0.000000
5816.000000	1.277037	0.000000
5918.000000	1.266780	0.000000
6020.000000	1.255846	0.000000
6122.000000	1.244167	0.000000
6224.000000	1.231676	0.000000
6326.000000	1.218261	0.000000
6428.000000	1.203928	0.000000
6530.000000	1.188146	0.000000
6632.000000	1.172442	0.000000
6734.000000	1.149351	0.000000
6836.000000	1.105444	0.000000
6938.000000	1.055934	0.000000
7040.000000	1.017353	0.000218
7142.000000	0.979711	0.000506
7244.000000	0.935937	0.001115
7346.000000	0.884023	0.002374
7448.000000	0.820867	0.005023
7550.000000	0.741267	0.010933
7652.000000	0.636556	0.025256
7754.000000	0.490792	0.064580
7856.000000	0.298178	0.201251
7958.000000	0.232931	0.451830
8010.000000	0.243570	0.555233
8110.000000	0.285721	0.711802
8210.000000	0.334852	0.828571
8310.000000	0.375708	0.919253
8410.000000	0.397299	0.999528
8510.000000	0.394053	1.089760
8610.000000	0.368744	1.213360
8710.000000	0.334848	1.395805
8810.000000	0.319221	1.665283
8910.000000	0.387378	2.053918
9010.000000	0.686843	2.497265
9110.000000	1.272846	2.697617
