,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-11-07T10:18:44.912-05:00, 0.103E+00,   0.10306, 0.18438E+01
       2,2025-11-07T10:18:44.971-05:00, 0.103E+00,   0.20613, 0.19062E+01
       3,2025-11-07T10:18:44.998-05:00, 0.103E+00,   0.30919, 0.19375E+01
       4,2025-11-07T10:18:45.065-05:00, 0.103E+00,   0.41225, 0.20000E+01
       5,2025-11-07T10:18:45.081-05:00, 0.103E+00,   0.51532, 0.20156E+01
       6,2025-11-07T10:18:45.147-05:00, 0.103E+00,   0.61838, 0.20781E+01
       7,2025-11-07T10:18:45.192-05:00, 0.103E+00,   0.72144, 0.21250E+01
       8,2025-11-07T10:18:45.268-05:00, 0.103E+00,   0.82451, 0.22031E+01
       9,2025-11-07T10:18:45.295-05:00, 0.103E+00,   0.92757, 0.22344E+01
      10,2025-11-07T10:18:45.366-05:00, 0.103E+00,   1.03063, 0.22969E+01
      20,2025-11-07T10:18:45.840-05:00, 0.871E-01,   2.02935, 0.27656E+01
      30,2025-11-07T10:18:46.232-05:00, 0.603E-01,   2.67390, 0.31562E+01
      40,2025-11-07T10:18:46.584-05:00, 0.603E-01,   3.27698, 0.35000E+01
      50,2025-11-07T10:18:46.954-05:00, 0.603E-01,   3.88006, 0.38750E+01
      60,2025-11-07T10:18:47.338-05:00, 0.603E-01,   4.48314, 0.42500E+01
      70,2025-11-07T10:18:47.760-05:00, 0.603E-01,   5.08622, 0.46562E+01
      80,2025-11-07T10:18:48.152-05:00, 0.603E-01,   5.68930, 0.50469E+01
      90,2025-11-07T10:18:48.568-05:00, 0.663E-01,   6.32253, 0.54375E+01
     100,2025-11-07T10:18:48.964-05:00, 0.663E-01,   6.98591, 0.58125E+01
     200,2025-11-07T10:18:52.289-05:00, 0.423E-01,  11.81368, 0.91094E+01
     300,2025-11-07T10:18:55.596-05:00, 0.459E-01,  16.11124, 0.12406E+02
     400,2025-11-07T10:18:58.912-05:00, 0.459E-01,  20.69681, 0.15688E+02
     500,2025-11-07T10:19:02.456-05:00, 0.440E-01,  24.97731, 0.19219E+02
     600,2025-11-07T10:19:05.671-05:00, 0.426E-01,  29.25216, 0.22391E+02
     700,2025-11-07T10:19:09.208-05:00, 0.412E-01,  33.39335, 0.25844E+02
     800,2025-11-07T10:19:12.501-05:00, 0.412E-01,  37.51062, 0.29094E+02
     900,2025-11-07T10:19:16.146-05:00, 0.453E-01,  41.88317, 0.32688E+02
    1000,2025-11-07T10:19:19.403-05:00, 0.402E-01,  45.82016, 0.35891E+02
    1100,2025-11-07T10:19:23.935-05:00, 0.437E-01,  49.87332, 0.40344E+02
    1200,2025-11-07T10:19:29.760-05:00, 0.405E-01,  53.76756, 0.46109E+02
    1300,2025-11-07T10:19:35.889-05:00, 0.395E-01,  57.90112, 0.52172E+02
    1400,2025-11-07T10:19:40.654-05:00, 0.283E-01,  61.60489, 0.56906E+02
    1500,2025-11-07T10:19:43.333-05:00, 0.333E-01,  65.00859, 0.59594E+02
    1600,2025-11-07T10:19:46.051-05:00, 0.285E-01,  68.27587, 0.62297E+02
    1700,2025-11-07T10:19:48.722-05:00, 0.284E-01,  71.03902, 0.64953E+02
    1800,2025-11-07T10:19:51.255-05:00, 0.297E-01,  73.74345, 0.67500E+02
    1900,2025-11-07T10:19:53.774-05:00, 0.293E-01,  76.36954, 0.70000E+02
    2000,2025-11-07T10:19:56.277-05:00, 0.265E-01,  79.06479, 0.72484E+02
    2100,2025-11-07T10:19:58.781-05:00, 0.263E-01,  81.70917, 0.74984E+02
    2200,2025-11-07T10:20:01.245-05:00, 0.221E-01,  84.38884, 0.77453E+02
    2300,2025-11-07T10:20:03.801-05:00, 0.279E-01,  87.20916, 0.80000E+02
    2400,2025-11-07T10:20:06.302-05:00, 0.259E-01,  89.78841, 0.82484E+02
    2500,2025-11-07T10:20:08.823-05:00, 0.308E-01,  92.55248, 0.85000E+02
    2600,2025-11-07T10:20:11.305-05:00, 0.296E-01,  95.33199, 0.87469E+02
    2700,2025-11-07T10:20:15.960-05:00, 0.240E-01,  98.26122, 0.92094E+02
    2800,2025-11-07T10:20:20.788-05:00, 0.263E-01, 100.63439, 0.96906E+02
    2900,2025-11-07T10:20:25.820-05:00, 0.240E-01, 103.34390, 0.10189E+03
    3000,2025-11-07T10:20:30.957-05:00, 0.223E-01, 105.82252, 0.10695E+03
    3100,2025-11-07T10:20:36.098-05:00, 0.297E-01, 108.52740, 0.11202E+03
    3200,2025-11-07T10:20:41.481-05:00, 0.219E-01, 111.19302, 0.11736E+03
    3300,2025-11-07T10:20:46.970-05:00, 0.247E-01, 113.64280, 0.12277E+03
    3400,2025-11-07T10:20:52.116-05:00, 0.289E-01, 116.58795, 0.12788E+03
    3500,2025-11-07T10:20:57.675-05:00, 0.208E-01, 119.04600, 0.13339E+03
    3544,2025-11-07T10:21:00.137-05:00, 0.159E-02, 120.00000, 0.13581E+03
