datetime,TMP,RH,APCP,WS,WD
2022-10-01 00:00:00,9.5,97.8,0,1.5,0
2022-10-01 01:00:00,9.6,98.6,0,1.4,347
2022-10-01 02:00:00,9.7,98.8,0,2.7,320
2022-10-01 03:00:00,9.8,99,0.1,2.6,343
2022-10-01 04:00:00,9.8,99.1,0.1,4.2,314
2022-10-01 05:00:00,9.8,99.2,0.1,5.2,0
2022-10-01 06:00:00,9.8,99.2,0.1,4.6,14
2022-10-01 07:00:00,9.9,99.3,0.1,5,278
2022-10-01 08:00:00,9.9,99.3,0,5.1,318
2022-10-01 09:00:00,10.1,99.3,0.1,4.3,347
2022-10-01 10:00:00,10.4,99.3,0,3.6,302
2022-10-01 11:00:00,11,99.2,0,2.5,354
2022-10-01 12:00:00,11,99.2,0,7.4,298
2022-10-01 13:00:00,10.6,99.2,0,8.9,286
2022-10-01 14:00:00,11,98,0,9.1,312
2022-10-01 15:00:00,11.2,94.3,0,7.7,295
2022-10-01 16:00:00,11.5,92.9,0,5.6,276
2022-10-01 17:00:00,11.6,92.5,0,3.2,232
2022-10-01 18:00:00,11.3,93.4,0,2.4,274
2022-10-01 19:00:00,11.1,94,0,1.6,173
2022-10-01 20:00:00,10.6,96.3,0,1.1,0
2022-10-01 21:00:00,10.5,97.8,0,0,0
2022-10-01 22:00:00,10.6,98.1,0,0.5,0
2022-10-01 23:00:00,10.2,98.4,0,2,152
2022-10-02 00:00:00,9.8,98.6,0,1.5,56
2022-10-02 01:00:00,9.6,98.7,0,0.2,51
2022-10-02 02:00:00,9.6,98.8,0,0,0
2022-10-02 03:00:00,9.5,99,0,0,0
2022-10-02 04:00:00,9.6,99.1,0,0,0
2022-10-02 05:00:00,9.8,99.2,0,0,0
2022-10-02 06:00:00,10,99.2,0,0.4,0
2022-10-02 07:00:00,10.1,99.3,0,1.6,0
2022-10-02 08:00:00,10.2,99.3,0,2.9,45
2022-10-02 09:00:00,10.4,99.3,0,4.6,349
2022-10-02 10:00:00,10.4,99.2,0,4.1,272
2022-10-02 11:00:00,10.9,98.8,0,3.9,0
2022-10-02 12:00:00,11.1,95.2,0,6.3,290
2022-10-02 13:00:00,11.3,92.6,0,6.6,331
2022-10-02 14:00:00,11.5,90.3,0,7.8,292
2022-10-02 15:00:00,11.6,89.2,0,10,284
2022-10-02 16:00:00,10.9,92.3,0,8.1,279
2022-10-02 17:00:00,10.7,93.1,0,2.7,310
2022-10-02 18:00:00,10.2,96.4,0,2.8,57
2022-10-02 19:00:00,9.7,98.1,0,0,0
2022-10-02 20:00:00,9.5,98.7,0,3.5,0
2022-10-02 21:00:00,9.4,99,0,4.5,277
2022-10-02 22:00:00,9.3,99.2,0,3,301
2022-10-02 23:00:00,9.2,99.3,0.1,1,77
2022-10-03 00:00:00,9.2,99.3,0.1,2.2,58
2022-10-03 01:00:00,9.1,99.4,0,1.5,330
2022-10-03 02:00:00,9.1,99.4,0.1,2.3,324
2022-10-03 03:00:00,9,99.3,0.1,2.1,9
2022-10-03 04:00:00,8.9,99.4,0,4.3,0
2022-10-03 05:00:00,8.9,99.4,0.2,4.4,0
2022-10-03 06:00:00,9,99.4,0.2,4.8,0
2022-10-03 07:00:00,9,99.4,0.3,7,298
2022-10-03 08:00:00,9.2,99.4,0.9,8.5,335
2022-10-03 09:00:00,9.3,99.4,0.4,10.7,317
2022-10-03 10:00:00,9.4,99.4,0.1,11.2,0
2022-10-03 11:00:00,9.6,99.4,0.4,9.4,298
2022-10-03 12:00:00,9.7,99.3,0.1,11,278
2022-10-03 13:00:00,9.6,99,0,11,279
2022-10-03 14:00:00,10,97.1,0,8.9,309
2022-10-03 15:00:00,11,88.2,0,6.4,278
2022-10-03 16:00:00,12,79.1,0,7.6,252
2022-10-03 17:00:00,11.3,78.9,0,7.6,296
2022-10-03 18:00:00,11.1,76.4,0,5.8,297
2022-10-03 19:00:00,10.2,80,0,3.4,297
2022-10-03 20:00:00,9.3,85.6,0,0.2,0
2022-10-03 21:00:00,8.6,87.3,0,0.6,138
2022-10-03 22:00:00,8.3,90.4,0,0.8,92
2022-10-03 23:00:00,8.7,88.9,0,0.5,154
2022-10-04 00:00:00,8.6,89.4,0,0,0
2022-10-04 01:00:00,8.6,87.7,0,0,0
2022-10-04 02:00:00,8.9,87.9,0,1,0
2022-10-04 03:00:00,8.6,92.5,0,0,0
2022-10-04 04:00:00,8.4,94.9,0,0.9,0
2022-10-04 05:00:00,8,95.1,0,1.3,220
2022-10-04 06:00:00,7.6,96.2,0,0.3,0
2022-10-04 07:00:00,8.4,96.7,0,0.8,3
2022-10-04 08:00:00,10.3,80.8,0,6.2,24
2022-10-04 09:00:00,11.3,74.1,0,7.1,343
2022-10-04 10:00:00,11.7,72.4,0,8,344
2022-10-04 11:00:00,12.8,68.6,0,6.2,298
2022-10-04 12:00:00,13.6,68,0,11.7,308
