site,from_date,to_date,data_family
Forest Rd Drain at Drop Structure,17/12/2019 10:36,06/08/2021 11:00,Rainfall
Kumeti at Rua Roa,11/06/2020 13:12,21/07/2021 11:18,Rainfall
Manawatu at Apiti Track,19/07/2022 10:48,20/09/2022 10:36,Rainfall
Manawatu at Moutoa,10/08/2021 11:24,20/07/2022 12:06,Rainfall
Mangahao at Kakariki,30/06/2021 12:30,09/12/2021 11:30,Rainfall
Mangatainoka at Hillwood Hukanui,25/07/2023 12:36,20/03/2024 13:42,Rainfall
Mangawhero at Raupiu Road,04/07/2017 12:30,28/06/2018 11:30,Rainfall
Mangawhero at Raupiu Road,07/01/2020 11:00,31/07/2020 12:00,Rainfall
Ngahere Park Climate Station,08/07/2019 10:42,27/08/2019 10:42,Rainfall
Ngaruroro Catchment at Ngamatea,08/06/2016 13:48,12/04/2018 14:18,Rainfall
Oroua at Rangiwahia,21/11/2019 11:36,01/05/2020 11:30,Rainfall
Pohangina at Makawakawa Divide,17/04/2018 13:00,19/03/2019 10:30,Rainfall
Pohangina at Range View Farm,15/08/2023 10:24,16/01/2024 9:36,Rainfall
Rangitikei at Erewhon Station,15/06/2021 11:18,16/02/2022 11:30,Rainfall
Tapuae at Waituna West,13/10/2020 8:18,07/04/2021 9:30,Rainfall
Tiraumea at Alfredton,21/09/2021 13:30,09/12/2021 9:42,Rainfall
Tiraumea at Ngaturi,02/11/2018 12:36,05/03/2019 9:42,Rainfall
Turakina at Otairi,13/05/2021 10:00,21/07/2021 9:42,Rainfall
Whangaehu at Kowhai St Mangamahu,08/07/2020 12:30,07/12/2020 11:54,Rainfall
Whangaehu at Titoki,06/07/2021 10:18,08/12/2021 13:42,Rainfall
Whangamomona at Bridge to Somewhere,19/10/2021 10:48,22/02/2022 10:48,Rainfall
