"ID_MonthFact","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","tot"
"FM_001",0.657,0.632,0.785,0.923,1.109,1.209,1.352,1.369,1.251,1.118,0.855,0.74,12
"FM_002",0.657,0.632,0.785,0.923,1.109,1.209,1.352,1.369,1.251,1.118,0.855,0.74,12
"FM_003",0.573,0.616,0.506,0.536,0.98,1.381,1.423,1.461,1.34,1.161,1.114,0.909,12
"FM_004",1.542,1.379,1.618,1.059,0.768,1.698,1.782,1.552,0.342,0.26,0,0,12
"FM_005",1.119,1.005,1.059,1.004,0.993,1.022,1.087,1.024,1.01,0.895,0.821,0.961,12
"FM_006",1.5,1.992,0.991,1.383,0.687,2.127,1.817,1.036,0.152,0.067,0.088,0.16,12
"FM_007",1.277,0.671,0.428,0.801,0.448,0.237,1.415,1.774,1.35,1.09,1.24,1.269,12
"FM_008",1.099,0.983,1.015,0.948,1.01,1.036,1.051,0.992,0.934,0.977,0.94,1.015,12
"FM_009",1.438,1.184,1.212,1.048,0.991,1.076,0.877,0.966,0.866,0.724,0.83,0.788,12
"FM_010",2.571,3.045,0.562,0.503,0.203,0.949,1.494,0.475,0.188,0.597,0.58,0.833,12
"FM_011",0.98,0.873,0.947,0.864,0.88,0.823,0.847,0.853,0.869,1.356,1.319,1.389,12
"FM_012",1.494,1.511,1.621,0.345,0,0,0,0,0.513,1.992,2.251,2.273,12
"FM_013",1.389,1.496,1.135,0.288,0.131,0.223,0.247,0.374,0.557,1.3,2.091,2.769,12
"FM_014",0.904,0.817,0.905,0.876,0.905,0.876,0.905,0.905,0.877,1.358,1.314,1.358,12
"FM_015",1.161,1.071,0.883,1.102,0.993,1.14,1.092,0.983,0.757,0.8,1.11,0.908,12
"FM_016",0.817,0.897,1.086,0.889,0.959,1.028,1.143,1.08,1.091,1.041,0.985,0.984,12
"FM_017",0.814,0.983,0.935,0.606,0.659,0.835,0.984,1.025,0.928,1.464,1.602,1.165,12
"FM_018",1.565,0.619,1.082,2.165,0.132,0.871,0.863,0.713,0.881,2.055,0.862,0.192,12
"FM_019",1.016,0.981,0.99,0.93,1.007,0.907,1.013,1.014,0.94,1.046,1.039,1.117,12
"FM_020",1.498,1.598,1.561,1.374,1.431,1.27,0.54,0.069,0.418,0.73,0.732,0.779,12
"FM_021",0.851,0.887,0.931,0.911,0.93,1.015,1.055,1.14,1.182,1.142,0.986,0.97,12
"FM_022",0.505,0.628,1.188,1.177,1.128,1.298,1.651,1.374,1.36,0.838,0.583,0.27,12
"FM_023",1.106,0.994,0.916,0.561,0.768,0.84,0.836,0.964,1.097,1.246,1.301,1.371,12
"FM_024",1.371,1.325,1.259,0.882,0.81,0.661,0.68,0.659,0.668,0.902,1.225,1.558,12
"FM_025",1.07,1.022,0.902,0.583,0.863,1.035,1.141,1.104,1.021,0.997,1.127,1.135,12
"FM_026",0.255,0.301,0.393,1.087,1.427,1.492,1.708,1.585,1.634,1.309,0.674,0.135,12
"FM_027",0.979,0.956,1.204,0.837,0.927,1.143,1.446,1.441,1.134,1.045,0.393,0.495,12
"FM_028",1.052,0.832,0.896,0.693,0.831,1.276,1.409,1.262,1.517,1.205,0.567,0.46,12
"FM_029",0.653,0.823,1.148,0.889,0.567,0.494,0.744,2.536,1.904,0.794,0.485,0.963,12
"FM_030",1.177,1.006,1.028,0.896,0.833,0.818,1.073,1.106,0.995,0.93,1.021,1.117,12
"FM_031",1.177,1.006,1.028,0.896,0.833,0.818,1.073,1.106,0.995,0.93,1.021,1.117,12
"FM_032",1.177,1.006,1.028,0.896,0.833,0.818,1.073,1.106,0.995,0.93,1.021,1.117,12
"FM_033",1.177,1.006,1.028,0.896,0.833,0.818,1.073,1.106,0.995,0.93,1.021,1.117,12
"FM_034",1.108,1.114,0.882,0.906,0.974,0.888,0.918,0.912,1.01,1.01,1.127,1.151,12
"FM_035",1.141,1.034,1.019,1.179,1.268,1.06,1.047,1.084,1.002,0.849,0.597,0.72,12
"FM_036",1.087,0.927,1.042,1.07,1.161,1.076,1.136,1.125,1.058,0.792,0.678,0.848,12
"FM_037",0.77,1.112,1.339,1.175,1.378,1.471,0.932,1.291,0.861,0.537,0.554,0.58,12
"FM_038",0.648,0.507,1.356,0.252,0.775,1.438,0.937,2.695,0.294,1.004,1.237,0.857,12
"FM_039",1.069,0.947,0.977,0.921,0.954,0.959,1.103,1.119,0.921,0.883,0.985,1.162,12
