datetime,TMP,RH,APCP,WS,WD
2019-11-01 00:00:00,13.3,92.8,0,9.4,359
2019-11-01 01:00:00,12.8,94.3,0,12.7,10
2019-11-01 02:00:00,12.9,94.2,0,18.5,30
2019-11-01 03:00:00,13,91.9,0,17.8,27
2019-11-01 04:00:00,13.4,88.4,0,20.5,6
2019-11-01 05:00:00,13.5,86.4,0,26,18
2019-11-01 06:00:00,13.7,87.4,0,26.8,360
2019-11-01 07:00:00,13.4,91,1.2,32,23
2019-11-01 08:00:00,13.1,95.2,6.6,35.6,18
2019-11-01 09:00:00,13.1,93.3,1.8,24.7,330
2019-11-01 10:00:00,13.7,88.3,0.2,25.8,351
2019-11-01 11:00:00,15.6,77.1,0,28.2,339
2019-11-01 12:00:00,15.9,70.6,0,27.9,294
2019-11-01 13:00:00,15.2,75.4,0.2,21.2,274
2019-11-01 14:00:00,15.3,71,0,26.9,298
2019-11-01 15:00:00,15.2,69.6,0,21.7,305
2019-11-01 16:00:00,14.9,69.5,0,21,270
2019-11-01 17:00:00,14.5,73.7,0,18.7,230
2019-11-01 18:00:00,14,75.4,0,15.6,241
2019-11-01 19:00:00,12.8,80.4,0,12.2,230
2019-11-01 20:00:00,12.2,81.6,0,8.2,231
2019-11-01 21:00:00,11.5,83.4,0,13.2,195
2019-11-01 22:00:00,11,85,0,8.7,204
2019-11-01 23:00:00,9.8,90.8,0,6.3,116
2019-11-02 00:00:00,8.6,93.8,0,9.4,177
2019-11-02 01:00:00,8.1,95.4,0,9.3,175
2019-11-02 02:00:00,8.8,91.4,0,10.7,188
2019-11-02 03:00:00,9.4,87.8,0,12,180
2019-11-02 04:00:00,9.1,87.7,0,15.3,191
2019-11-02 05:00:00,8.9,85.9,0,14.4,209
2019-11-02 06:00:00,10,73,0,16.9,195
2019-11-02 07:00:00,11.6,64,0,21.4,161
2019-11-02 08:00:00,13.1,56.2,0,28.6,174
2019-11-02 09:00:00,14.8,48,0,28,183
2019-11-02 10:00:00,16.7,39.1,0,26.4,196
2019-11-02 11:00:00,17,51.4,0,22.9,185
2019-11-02 12:00:00,18,50.5,0,27.4,219
2019-11-02 13:00:00,18.4,53.2,0,32.3,240
2019-11-02 14:00:00,18,60.1,0,34.2,229
2019-11-02 15:00:00,17.8,58.8,0,35.3,237
2019-11-02 16:00:00,17.7,58.5,0,34.7,236
2019-11-02 17:00:00,17.4,56.5,0,32.1,232
2019-11-02 18:00:00,16.1,60.4,0,28.2,226
2019-11-02 19:00:00,14,67.8,0,22,233
2019-11-02 20:00:00,12.8,74.6,0,20,228
2019-11-02 21:00:00,11.7,79.6,0,18.5,225
2019-11-02 22:00:00,10.9,83.7,0,16.6,240
2019-11-02 23:00:00,10.3,86.3,0,16.4,210
2019-11-03 00:00:00,9.8,88.5,0,14.6,209
2019-11-03 01:00:00,9.6,87.8,0,17.9,225
2019-11-03 02:00:00,9.2,86.8,0,24.2,225
2019-11-03 03:00:00,9.2,85.9,0,22.6,210
2019-11-03 04:00:00,9.1,86.8,0,21.6,202
2019-11-03 05:00:00,8.6,88.6,0,12.3,217
2019-11-03 06:00:00,9.2,86.6,0,5.2,214
2019-11-03 07:00:00,10.9,79.3,0,13.2,169
2019-11-03 08:00:00,12.3,73.5,0,20,206
2019-11-03 09:00:00,13.8,67.7,0,19.4,208
2019-11-03 10:00:00,14.7,66,0,17.9,230
2019-11-03 11:00:00,15.4,65.8,0,15.7,240
2019-11-03 12:00:00,15.9,63.2,0,16.4,217
2019-11-03 13:00:00,15.7,67.6,0,26.1,238
2019-11-03 14:00:00,15.7,67.9,0,29.2,244
2019-11-03 15:00:00,15.5,69.4,0,30.4,237
