datetime,TMP,RH,APCP,WS,WD
2022-10-01 00:00:00,9.7,100,0,2.7,0
2022-10-01 01:00:00,9.6,100,0,4.8,358
2022-10-01 02:00:00,9.6,100,0,7.5,69
2022-10-01 03:00:00,9.6,100,0,6.7,85
2022-10-01 04:00:00,10,100,0,7.7,60
2022-10-01 05:00:00,10.2,100,0,8.5,68
2022-10-01 06:00:00,10.3,100,0,9.5,3
2022-10-01 07:00:00,10.6,100,0,11.1,20
2022-10-01 08:00:00,10.9,100,0,10.8,17
2022-10-01 09:00:00,11.3,100,0,9.6,344
2022-10-01 10:00:00,11.8,100,0,10.4,349
2022-10-01 11:00:00,12,100,0,12.6,293
2022-10-01 12:00:00,12.4,99.8,0,12.2,293
2022-10-01 13:00:00,12.1,100,0,14.7,308
2022-10-01 14:00:00,12,100,0,13.6,263
2022-10-01 15:00:00,12.1,100,0,10.5,285
2022-10-01 16:00:00,12.2,100,0,10,264
2022-10-01 17:00:00,11.9,99.8,0,8.9,279
2022-10-01 18:00:00,11.7,100,0,5.5,315
2022-10-01 19:00:00,11.4,100,0,5.4,338
2022-10-01 20:00:00,11.1,100,0,4.9,265
2022-10-01 21:00:00,10.7,100,0,4.2,204
2022-10-01 22:00:00,10.5,100,0,3.6,0
2022-10-01 23:00:00,10.4,100,0,3.2,141
2022-10-02 00:00:00,10.3,100,0,4.6,147
2022-10-02 01:00:00,10.1,100,0,4.2,152
2022-10-02 02:00:00,10.1,100,0,4.6,157
2022-10-02 03:00:00,10.1,100,0,2.5,203
2022-10-02 04:00:00,10.1,100,0,5.5,193
2022-10-02 05:00:00,9.9,100,0,6.7,240
2022-10-02 06:00:00,9.8,100,0.2,4.5,228
2022-10-02 07:00:00,10,100,0,2.1,210
2022-10-02 08:00:00,10.3,100,0,3.4,47
2022-10-02 09:00:00,10.7,100,0,5.9,281
2022-10-02 10:00:00,10.7,100,0,9.1,289
2022-10-02 11:00:00,10.7,100,0,7.6,328
2022-10-02 12:00:00,10.7,100,0,10.4,266
2022-10-02 13:00:00,11.3,99.9,0,9.9,285
2022-10-02 14:00:00,11.3,99.7,0,10,295
2022-10-02 15:00:00,11.1,99.7,0,9.6,285
2022-10-02 16:00:00,10.7,100,0,9.6,277
2022-10-02 17:00:00,10.3,100,0,5.2,276
2022-10-02 18:00:00,10.2,100,0,4.1,228
2022-10-02 19:00:00,10,100,0,4.5,334
2022-10-02 20:00:00,9.8,100,0,5,25
2022-10-02 21:00:00,9.8,100,0,7.4,247
2022-10-02 22:00:00,10,100,0,9.1,272
2022-10-02 23:00:00,10.2,100,0.2,9.9,268
2022-10-03 00:00:00,10,100,0,4.6,235
2022-10-03 01:00:00,9.9,100,0,4.1,162
2022-10-03 02:00:00,9.8,100,0.2,7.7,233
2022-10-03 03:00:00,9.6,100,0,4.9,217
2022-10-03 04:00:00,9.5,100,0,5.3,226
2022-10-03 05:00:00,9.5,100,0,9,236
2022-10-03 06:00:00,9.4,100,0.2,8.3,244
2022-10-03 07:00:00,9.4,100,0,8.6,266
2022-10-03 08:00:00,9.5,100,0,5.7,243
2022-10-03 09:00:00,9.8,100,0.2,5.4,0
2022-10-03 10:00:00,9.8,100,0.2,12,296
2022-10-03 11:00:00,10,100,0,6.3,260
2022-10-03 12:00:00,10.4,100,0,9.4,260
2022-10-03 13:00:00,10.7,100,0,10.5,233
2022-10-03 14:00:00,10.8,99.4,0,10.8,270
2022-10-03 15:00:00,10.9,96.3,0,6.6,252
2022-10-03 16:00:00,11.8,87,0,4.2,166
2022-10-03 17:00:00,12.3,80.1,0,3.6,172
2022-10-03 18:00:00,12.1,78,0,3.5,82
2022-10-03 19:00:00,9.7,96.4,0,1.3,0
2022-10-03 20:00:00,8,100,0,2.1,129
2022-10-03 21:00:00,7,100,0,2.6,89
2022-10-03 22:00:00,6.4,100,0,1.4,0
2022-10-03 23:00:00,5.9,100,0,4.6,80
2022-10-04 00:00:00,5.5,100,0,4.5,158
2022-10-04 01:00:00,5.3,100,0,3.2,124
2022-10-04 02:00:00,5.6,100,0,3,107
2022-10-04 03:00:00,6.3,100,0,2.7,135
2022-10-04 04:00:00,6.3,100,0,2.6,0
2022-10-04 05:00:00,6.5,100,0,3,135
2022-10-04 06:00:00,6.1,100,0,3.1,0
2022-10-04 07:00:00,8.3,99.9,0,5.2,135
2022-10-04 08:00:00,11.2,91.8,0,6.4,95
2022-10-04 09:00:00,13,74.6,0,8.2,20
2022-10-04 10:00:00,13.6,67.1,0,12.8,313
2022-10-04 11:00:00,13.5,70.8,0,11.8,320
2022-10-04 12:00:00,13.5,73.6,0,14.9,256
2022-10-04 13:00:00,13.8,71.6,0,16,287
2022-10-04 14:00:00,13.8,70.9,0,14.3,278
2022-10-04 15:00:00,13.6,71.2,0,13.4,272
2022-10-04 16:00:00,13.3,71.2,0,11.4,299
2022-10-04 17:00:00,12.5,81.6,0,8.9,294
2022-10-04 18:00:00,12,89.9,0,5.7,306
2022-10-04 19:00:00,11.7,95,0,1.7,263
2022-10-04 20:00:00,11.1,100,0,2.8,0
2022-10-04 21:00:00,10.4,100,0,3.7,150
2022-10-04 22:00:00,9.9,100,0,2.6,215
2022-10-04 23:00:00,9.7,100,0,1.8,72
2022-10-05 00:00:00,9.3,100,0,3.1,95
2022-10-05 01:00:00,9.3,100,0,1.9,186
2022-10-05 02:00:00,9.2,100,0,2.8,84
2022-10-05 03:00:00,8.9,100,0,2.3,124
2022-10-05 04:00:00,9.2,100,0,2.5,165
2022-10-05 05:00:00,9.4,100,0,2.2,203
2022-10-05 06:00:00,9.4,100,0,4.6,160
2022-10-05 07:00:00,10.4,100,0,4.6,74
2022-10-05 08:00:00,13.1,88.6,0,5.4,77
2022-10-05 09:00:00,12.7,93.4,0,9.5,251
2022-10-05 10:00:00,13.2,89,0,10.1,288
2022-10-05 11:00:00,14.6,81.9,0,10.8,248
2022-10-05 12:00:00,15.1,79.2,0,21.8,258
2022-10-05 13:00:00,14.8,82.7,0,27.8,246
2022-10-05 14:00:00,14.8,82.2,0,25.2,230
2022-10-05 15:00:00,14.7,81.3,0,22.8,247
2022-10-05 16:00:00,14.2,84.1,0,25.7,241
2022-10-05 17:00:00,13.4,87.4,0,22.2,235
2022-10-05 18:00:00,12.6,91.6,0,13,212
2022-10-05 19:00:00,11.6,98.7,0,7.8,253
2022-10-05 20:00:00,10.8,100,0,7.9,234
2022-10-05 21:00:00,9.2,100,0,4.6,91
2022-10-05 22:00:00,9.3,100,0,6.7,110
2022-10-05 23:00:00,8.6,100,0,3.4,99
2022-10-06 00:00:00,7.6,100,0,3.9,122
2022-10-06 01:00:00,7,100,0,5.3,158
2022-10-06 02:00:00,7.1,100,0,3.6,140
2022-10-06 03:00:00,7.3,100,0,3.5,70
2022-10-06 04:00:00,7.8,100,0,2.3,0
2022-10-06 05:00:00,8.1,100,0,2.8,84
2022-10-06 06:00:00,8.1,100,0,4.9,110
2022-10-06 07:00:00,9.8,99.8,0,3.9,163
2022-10-06 08:00:00,12.2,92.4,0.2,5.4,66
2022-10-06 09:00:00,14.6,81,0,14.1,239
2022-10-06 10:00:00,15.8,73.7,0,19.4,242
2022-10-06 11:00:00,15.9,69.9,0,26.1,243
2022-10-06 12:00:00,16.7,66.2,0,25.2,227
2022-10-06 13:00:00,17.2,65.4,0,27.4,244
2022-10-06 14:00:00,16.4,68.3,0,29.8,232
2022-10-06 15:00:00,16.2,66,0,28.3,252
2022-10-06 16:00:00,16.6,64.8,0,21.9,238
2022-10-06 17:00:00,16.5,64.6,0,13,246
2022-10-06 18:00:00,14.8,73.7,0,8,222
2022-10-06 19:00:00,13.2,83.8,0,4.8,354
2022-10-06 20:00:00,11.9,92.2,0,4.6,70
2022-10-06 21:00:00,10.9,96.6,0,3.5,144
2022-10-06 22:00:00,9.7,100,0,3.1,125
2022-10-06 23:00:00,8.8,100,0,2.4,242
2022-10-07 00:00:00,8.1,100,0,3.2,56
2022-10-07 01:00:00,8,100,0,2.4,79
2022-10-07 02:00:00,7.5,100,0,2.1,68
2022-10-07 03:00:00,7.1,100,0,3.2,248
2022-10-07 04:00:00,6.7,100,0,3.3,148
2022-10-07 05:00:00,6.4,100,0,2.2,96
2022-10-07 06:00:00,6.3,100,0,1.7,0
2022-10-07 07:00:00,9.5,99.8,0,2.4,0
2022-10-07 08:00:00,12.6,95,0,3.8,308
2022-10-07 09:00:00,13.7,88.4,0,10.2,305
2022-10-07 10:00:00,13.5,93.1,0,10.5,272
2022-10-07 11:00:00,16,81.1,0,13.1,277
2022-10-07 12:00:00,16.3,82.4,0,19.3,254
2022-10-07 13:00:00,15.6,87,0,29.1,246
2022-10-07 14:00:00,15,89.2,0,33.7,246
2022-10-07 15:00:00,15.5,85.6,0,31.1,254
2022-10-07 16:00:00,15,88.3,0,31.2,238
2022-10-07 17:00:00,14.4,90,0,27.2,228
2022-10-07 18:00:00,13.3,90.4,0,14.3,229
2022-10-07 19:00:00,12.1,96.8,0,11.2,240
2022-10-07 20:00:00,11.6,98.3,0,8.9,233
2022-10-07 21:00:00,11,97.8,0,8.5,195
2022-10-07 22:00:00,9.9,99.1,0,3.1,130
2022-10-07 23:00:00,8.5,100,0,2.7,181
2022-10-08 00:00:00,7.7,100,0,1.8,103
2022-10-08 01:00:00,7.2,100,0,2.9,0
2022-10-08 02:00:00,6.5,100,0,3.2,122
2022-10-08 03:00:00,6.2,100,0,3.5,154
2022-10-08 04:00:00,6,100,0,2.8,113
2022-10-08 05:00:00,5.7,100,0,3.3,0
2022-10-08 06:00:00,6,100,0,3,187
2022-10-08 07:00:00,10,96.2,0,2.7,0
2022-10-08 08:00:00,13.2,85.5,0,9.5,251
2022-10-08 09:00:00,15.2,72.2,0,11.3,126
2022-10-08 10:00:00,15.7,66.6,0,18.6,228
2022-10-08 11:00:00,14.9,65.4,0,27.8,235
2022-10-08 12:00:00,15,63.2,0,30.8,252
2022-10-08 13:00:00,15.1,63,0,30.9,242
2022-10-08 14:00:00,15.8,62.4,0,27.5,254
2022-10-08 15:00:00,16.2,61.7,0,26.2,245
2022-10-08 16:00:00,16,61.4,0,25.1,234
2022-10-08 17:00:00,15.2,62.4,0,22.4,243
2022-10-08 18:00:00,14.5,64.4,0,11.6,227
2022-10-08 19:00:00,12.3,70.2,0,6.1,245
2022-10-08 20:00:00,10.5,78.8,0,4.2,150
2022-10-08 21:00:00,8.3,91.4,0,2,84
2022-10-08 22:00:00,7.4,95.8,0,3.6,77
2022-10-08 23:00:00,7.4,85.5,0,5,111
2022-10-09 00:00:00,7.5,81.5,0,6.3,238
2022-10-09 01:00:00,6.5,84,0,6.7,0
2022-10-09 02:00:00,7.6,74.7,0,6.3,194
