datetime,TMP,RH,APCP,WS,WD
2022-10-01 00:00:00,11.5,100,0,3.6,341
2022-10-01 01:00:00,11.4,100,0,2.9,0
2022-10-01 02:00:00,11.1,100,0,5.4,18
2022-10-01 03:00:00,10.8,100,0,2.8,12
2022-10-01 04:00:00,10.9,100,0,1,14
2022-10-01 05:00:00,10.9,100,0,1.9,0
2022-10-01 06:00:00,10.9,100,0,2.1,341
2022-10-01 07:00:00,10.9,100,0,3.7,350
2022-10-01 08:00:00,11.2,100,0,3.6,323
2022-10-01 09:00:00,11.7,98.8,0,3.2,318
2022-10-01 10:00:00,12.2,96.5,0,5.1,50
2022-10-01 11:00:00,13,90.7,0,2.3,353
2022-10-01 12:00:00,14.6,80.9,0,4.6,104
2022-10-01 13:00:00,15.3,79.4,0,4.2,298
2022-10-01 14:00:00,14.9,81.9,0,7.3,313
2022-10-01 15:00:00,14.5,82.7,0,10.5,240
2022-10-01 16:00:00,13.5,86.4,0,9.3,250
2022-10-01 17:00:00,13,88.4,0,6.3,242
2022-10-01 18:00:00,12.4,94.9,0,6.3,221
2022-10-01 19:00:00,11.9,99.8,0,3.6,214
2022-10-01 20:00:00,11.8,100,0,1.5,173
2022-10-01 21:00:00,11.7,100,0,2.8,229
2022-10-01 22:00:00,11.7,100,0,1.2,0
2022-10-01 23:00:00,11.7,100,0,1,187
2022-10-02 00:00:00,11.6,100,0,4.5,282
2022-10-02 01:00:00,11.4,100,0,2.3,282
2022-10-02 02:00:00,11.4,100,0,1.2,0
2022-10-02 03:00:00,11.2,100,0,1,22
2022-10-02 04:00:00,11.2,100,0,2.8,168
2022-10-02 05:00:00,11.2,100,0,3,235
2022-10-02 06:00:00,11,100,0,2.4,188
2022-10-02 07:00:00,11.1,100,0,1.8,169
2022-10-02 08:00:00,11.4,100,0,2,196
2022-10-02 09:00:00,12,97.4,0,2.6,269
2022-10-02 10:00:00,12.6,93.5,0,2.5,222
2022-10-02 11:00:00,13.5,89.1,0,3,0
2022-10-02 12:00:00,13.8,89.3,0,6,216
2022-10-02 13:00:00,13.7,90.4,0,5.6,283
2022-10-02 14:00:00,14.5,85.2,0,3.1,317
2022-10-02 15:00:00,14.2,88.8,0,8.6,212
2022-10-02 16:00:00,12.7,95.5,0,9.6,240
2022-10-02 17:00:00,11.6,99.9,0,9.3,274
2022-10-02 18:00:00,11.2,100,0,1.3,268
2022-10-02 19:00:00,11.1,100,0,2.2,131
2022-10-02 20:00:00,11,100,0,2.4,190
2022-10-02 21:00:00,11,100,0,4.8,217
2022-10-02 22:00:00,10.8,100,0.1,2.8,242
2022-10-02 23:00:00,10.8,100,0,2.1,282
2022-10-03 00:00:00,10.8,100,0.1,0.4,284
2022-10-03 01:00:00,10.8,100,0,0.9,0
2022-10-03 02:00:00,10.7,100,0,1,319
2022-10-03 03:00:00,10.6,100,0.1,1.9,0
2022-10-03 04:00:00,10.5,100,0,2.2,328
2022-10-03 05:00:00,10.3,100,0.2,2.6,297
2022-10-03 06:00:00,10.2,100,0,2.5,302
2022-10-03 07:00:00,10.3,100,0.1,2.9,355
2022-10-03 08:00:00,10.7,100,0.1,4.8,14
2022-10-03 09:00:00,11.5,97.9,0,6,53
2022-10-03 10:00:00,12.2,91.1,0,7.7,320
2022-10-03 11:00:00,13.1,83.5,0,8.2,314
2022-10-03 12:00:00,13.5,78.1,0,5.6,311
2022-10-03 13:00:00,14.5,72.5,0,3.3,198
2022-10-03 14:00:00,13.3,82.6,0,11.6,196
2022-10-03 15:00:00,13.4,80.6,0,11.3,212
2022-10-03 16:00:00,13.8,77,0,8.4,216
2022-10-03 17:00:00,13,81.6,0,8.6,236
2022-10-03 18:00:00,12.2,82.8,0,7,239
2022-10-03 19:00:00,11.7,81.5,0,5.1,248
2022-10-03 20:00:00,11.3,86.4,0,3.3,265
2022-10-03 21:00:00,10.7,93.1,0,3.5,0
2022-10-03 22:00:00,10.1,95.1,0,0.8,174
2022-10-03 23:00:00,9.7,99.6,0,1.5,0
2022-10-04 00:00:00,10.1,96.9,0,2.2,90
2022-10-04 01:00:00,10.1,98.1,0,1.8,135
2022-10-04 02:00:00,10.2,99.1,0,1.9,123
2022-10-04 03:00:00,10,99.8,0,2.6,0
2022-10-04 04:00:00,10.1,99.5,0,1.1,218
2022-10-04 05:00:00,10.1,100,0,2.1,349
2022-10-04 06:00:00,10,100,0,1.6,0
2022-10-04 07:00:00,10.8,94.8,0,0.6,100
2022-10-04 08:00:00,12.2,75.5,0,0.4,0
2022-10-04 09:00:00,14,65.3,0,2.6,120
2022-10-04 10:00:00,15.2,59.3,0,4.8,329
2022-10-04 11:00:00,16.4,54.8,0,4,233
2022-10-04 12:00:00,17.4,54.1,0,12.1,288
2022-10-04 13:00:00,17.1,54.4,0,16.7,228
2022-10-04 14:00:00,16.7,54.9,0,16.4,240
2022-10-04 15:00:00,16.3,54.1,0,15.7,240
2022-10-04 16:00:00,15.8,55.6,0,14.1,251
2022-10-04 17:00:00,14,67.4,0,10.3,255
2022-10-04 18:00:00,12.9,76.4,0,7.1,200
2022-10-04 19:00:00,12,84.9,0,4.4,227
2022-10-04 20:00:00,11.1,91.6,0,0.8,226
2022-10-04 21:00:00,10.4,98.4,0,0.4,0
2022-10-04 22:00:00,10,99.7,0,0.2,0
2022-10-04 23:00:00,9.9,100,0,0,0
2022-10-05 00:00:00,9.7,100,0,1.2,0
2022-10-05 01:00:00,9.3,100,0,1.1,133
2022-10-05 02:00:00,9,100,0,0.1,0
2022-10-05 03:00:00,9.4,100,0,1.4,113
2022-10-05 04:00:00,9.8,100,0,0.7,264
2022-10-05 05:00:00,9.9,100,0,2.2,0
2022-10-05 06:00:00,9.8,100,0,2.3,264
2022-10-05 07:00:00,10.7,99.5,0,1.7,145
2022-10-05 08:00:00,12.7,87.9,0,1.3,298
2022-10-05 09:00:00,14.2,77.3,0,2.8,197
2022-10-05 10:00:00,14.4,76.6,0,6.5,207
2022-10-05 11:00:00,15.3,71.7,0,6,230
2022-10-05 12:00:00,16.4,68.6,0,7.8,188
2022-10-05 13:00:00,17.5,64.2,0,11.1,238
2022-10-05 14:00:00,16.5,67.1,0,16.1,256
2022-10-05 15:00:00,16.3,67.5,0,14.3,286
2022-10-05 16:00:00,16.7,64.6,0,12.5,280
2022-10-05 17:00:00,14.8,73.7,0,15.6,252
2022-10-05 18:00:00,13,81.5,0,10.3,280
2022-10-05 19:00:00,12.4,85,0,5.9,285
