datetime,TMP,RH,APCP,WS,WD
2022-10-01 00:00:00,12.6,71.3,0,20.8,55
2022-10-01 01:00:00,12.7,69.7,0,18.9,69
2022-10-01 02:00:00,13,68.7,0,14.9,56
2022-10-01 03:00:00,14.2,51.2,0,3.9,28
2022-10-01 04:00:00,14.7,45.9,0,4.2,255
2022-10-01 05:00:00,14.3,48.4,0,5.6,284
2022-10-01 06:00:00,13.1,61.4,0,11.8,278
2022-10-01 07:00:00,14.6,56.8,0,7,289
2022-10-01 08:00:00,14.2,66.8,0,10.3,277
2022-10-01 09:00:00,12.6,78.6,0,21.4,280
2022-10-01 10:00:00,13.9,71.4,0,16.6,280
2022-10-01 11:00:00,15.4,67.1,0,13.4,293
2022-10-01 12:00:00,16.4,65.9,0,18.2,274
2022-10-01 13:00:00,17.2,65.1,0,19.4,259
2022-10-01 14:00:00,18,63.7,0,26.4,273
2022-10-01 15:00:00,18,63.7,0,33.3,271
2022-10-01 16:00:00,16.5,73.2,0,38.5,258
2022-10-01 17:00:00,13.6,85.8,0,35.2,271
2022-10-01 18:00:00,13.3,85.8,0,28.9,270
2022-10-01 19:00:00,13.4,68.4,0,14.3,276
2022-10-01 20:00:00,16.3,42.7,0,12.5,90
2022-10-01 21:00:00,14.9,54.2,0,14,73
2022-10-01 22:00:00,13.8,61.1,0,21.8,88
2022-10-01 23:00:00,12.7,69.7,0,24.8,76
2022-10-02 00:00:00,12.1,80.4,0,21.5,61
2022-10-02 01:00:00,11.4,89,0,22.5,61
2022-10-02 02:00:00,11.1,91.1,0,21.5,45
2022-10-02 03:00:00,12,79.5,0,22.8,57
2022-10-02 04:00:00,15.3,46.5,0,18.6,64
2022-10-02 05:00:00,17.4,30.8,0,4.4,75
2022-10-02 06:00:00,16.6,33.3,0,3.5,266
2022-10-02 07:00:00,18.6,33.2,0,5.8,96
2022-10-02 08:00:00,20.2,33.2,0,6.2,92
2022-10-02 09:00:00,21.6,29.6,0,0.3,76
2022-10-02 10:00:00,21.4,28.9,0,7,270
2022-10-02 11:00:00,19.7,40.2,0,23,270
2022-10-02 12:00:00,19.1,46.6,0,27.5,272
2022-10-02 13:00:00,17.5,62.9,0,33.7,276
2022-10-02 14:00:00,17.7,61.2,0,33.4,274
2022-10-02 15:00:00,18.2,61.4,0,32.7,259
2022-10-02 16:00:00,16.9,70.2,0,33.4,272
2022-10-02 17:00:00,14.5,82.9,0,30.4,274
2022-10-02 18:00:00,13.4,85,0,27.4,272
2022-10-02 19:00:00,13.7,84.1,0,18.6,286
2022-10-02 20:00:00,15.9,57,0,8.1,283
2022-10-02 21:00:00,16.1,51.3,0,16.7,76
2022-10-02 22:00:00,15.4,57.1,0,5.7,0
2022-10-02 23:00:00,11.2,93.4,0,19.7,283
2022-10-03 00:00:00,12.6,85,0,10,291
2022-10-03 01:00:00,12.3,76,0,20.1,68
2022-10-03 02:00:00,11.1,84,0,22.8,70
2022-10-03 03:00:00,11.6,77.3,0,11.2,62
2022-10-03 04:00:00,12,72.3,0,6.7,36
2022-10-03 05:00:00,8.3,92.6,0,24.4,253
2022-10-03 06:00:00,5.8,99.3,0,27.1,280
2022-10-03 07:00:00,6.2,99.3,0,27.6,265
2022-10-03 08:00:00,7.2,99.4,0,10.5,290
2022-10-03 09:00:00,7.9,99.7,0,5.7,0
2022-10-03 10:00:00,7.8,99.5,0,9.5,36
2022-10-03 11:00:00,7,99.5,0,31.2,272
2022-10-03 12:00:00,6.9,99.5,0.2,42.7,268
2022-10-03 13:00:00,7.6,99.5,0,35,269
2022-10-03 14:00:00,8,99.5,0,17.3,263
2022-10-03 15:00:00,7.7,99.4,0,21,269
2022-10-03 16:00:00,7.2,99.5,0,20.7,280
2022-10-03 17:00:00,6.8,99.4,0,12.8,266
2022-10-03 18:00:00,6.1,99.4,0,19.9,276
2022-10-03 19:00:00,5.6,99.5,0.1,18,282
2022-10-03 20:00:00,5.6,99.5,0,9.3,282
2022-10-03 21:00:00,6.3,99.8,0,9.8,76
2022-10-03 22:00:00,6,99.8,0,10.5,78
2022-10-03 23:00:00,5.9,99.8,0,4.6,37
2022-10-04 00:00:00,5.2,99.8,0,7,280
2022-10-04 01:00:00,6,99.8,0.1,21,84
2022-10-04 02:00:00,5.4,99.8,0,19.1,67
2022-10-04 03:00:00,4.5,99.9,0,16.6,271
2022-10-04 04:00:00,4.6,99.9,0,10.3,272
2022-10-04 05:00:00,4.8,99.9,0,5,88
2022-10-04 06:00:00,4.3,99.9,0,16.7,267
2022-10-04 07:00:00,4.5,99.9,0,15.4,273
2022-10-04 08:00:00,4.8,99.9,0,14.8,269
2022-10-04 09:00:00,5.9,99.9,0,6.1,270
2022-10-04 10:00:00,9,93.5,0,5.7,112
2022-10-04 11:00:00,8.7,88.5,0,8.1,263
2022-10-04 12:00:00,10.2,77.4,0,11.3,222
2022-10-04 13:00:00,12,66.8,0,15.4,236
2022-10-04 14:00:00,14.1,60.1,0,18.2,286
2022-10-04 15:00:00,12.5,64.4,0,25,284
2022-10-04 16:00:00,11.2,72.3,0,27.7,270
2022-10-04 17:00:00,8.5,85.5,0,29.3,258
2022-10-04 18:00:00,7.1,92.4,0,32.3,266
2022-10-04 19:00:00,6.1,96.9,0,29,272
2022-10-04 20:00:00,5.6,98.8,0,27.2,268
2022-10-04 21:00:00,5.2,97.1,0,25.6,265
2022-10-04 22:00:00,5.2,96.8,0,23.6,255
2022-10-04 23:00:00,4.7,98.5,0,19.2,276
2022-10-05 00:00:00,4.5,99.6,0,17,283
2022-10-05 01:00:00,4.3,99.6,0,21.3,276
2022-10-05 02:00:00,4.3,99.5,0,20.8,275
2022-10-05 03:00:00,4.6,99.4,0.1,16.9,272
2022-10-05 04:00:00,5.2,99.4,0.1,11.7,271
2022-10-05 05:00:00,5.7,99.5,0,3.4,290
2022-10-05 06:00:00,5.7,99.4,0,7.5,84
2022-10-05 07:00:00,5.4,99.7,0,15.7,268
2022-10-05 08:00:00,6.2,99.7,0,7.3,286
2022-10-05 09:00:00,7.3,98.3,0,6.4,86
2022-10-05 10:00:00,7.7,98.6,0,6.1,64
2022-10-05 11:00:00,8.6,94.3,0,14.4,268
2022-10-05 12:00:00,9.3,87.6,0,13,265
2022-10-05 13:00:00,11.5,75.4,0,14.7,244
2022-10-05 14:00:00,11.2,74.6,0,13.8,265
2022-10-05 15:00:00,11.2,75.1,0,16,254
