scene_id,surface_type,surface_wind_min,surface_wind_max,cloud_fraction_min,cloud_fraction_max,cloud_phase,optical_depth_min,optical_depth_max
1,0,,3.5,,0.1,,,
2,0,3.5,5.5,,0.1,,,
3,0,5.5,7.5,,0.1,,,
4,0,7.5,,,0.1,,,
11,1,,,,0.1,,,
12,2,,,,0.1,,,
13,3,,,,0.1,,,
14,4,,,,0.1,,,
15,0,,,0.1,10,1,0,1
16,0,,,0.1,10,1,1,2.5
17,0,,,0.1,10,1,2.5,5
18,0,,,0.1,10,1,5,7.5
19,0,,,0.1,10,1,7.5,10
20,0,,,0.1,10,1,10,12.5
21,0,,,0.1,10,1,12.5,15
22,0,,,0.1,10,1,15,17.5
23,0,,,0.1,10,1,17.5,20
24,0,,,0.1,10,1,20,25
25,0,,,0.1,10,1,25,30
26,0,,,0.1,10,1,30,40
27,0,,,0.1,10,1,40,50
28,0,,,0.1,10,1,50,
29,0,,,10,20,1,0,1
30,0,,,10,20,1,1,2.5
31,0,,,10,20,1,2.5,5
32,0,,,10,20,1,5,7.5
33,0,,,10,20,1,7.5,10
34,0,,,10,20,1,10,12.5
35,0,,,10,20,1,12.5,15
36,0,,,10,20,1,15,17.5
37,0,,,10,20,1,17.5,20
38,0,,,10,20,1,20,25
39,0,,,10,20,1,25,30
40,0,,,10,20,1,30,40
41,0,,,10,20,1,40,50
42,0,,,10,20,1,50,
43,0,,,20,30,1,0,1
44,0,,,20,30,1,1,2.5
45,0,,,20,30,1,2.5,5
46,0,,,20,30,1,5,7.5
47,0,,,20,30,1,7.5,10
48,0,,,20,30,1,10,12.5
49,0,,,20,30,1,12.5,15
50,0,,,20,30,1,15,17.5
51,0,,,20,30,1,17.5,20
52,0,,,20,30,1,20,25
53,0,,,20,30,1,25,30
54,0,,,20,30,1,30,40
55,0,,,20,30,1,40,50
56,0,,,20,30,1,50,
57,0,,,30,40,1,0,1
58,0,,,30,40,1,1,2.5
59,0,,,30,40,1,2.5,5
60,0,,,30,40,1,5,7.5
61,0,,,30,40,1,7.5,10
62,0,,,30,40,1,10,12.5
63,0,,,30,40,1,12.5,15
64,0,,,30,40,1,15,17.5
65,0,,,30,40,1,17.5,20
66,0,,,30,40,1,20,25
67,0,,,30,40,1,25,30
68,0,,,30,40,1,30,40
69,0,,,30,40,1,40,50
70,0,,,30,40,1,50,
