Omega_b  Omega_m  h  n_s w A_s
4.259880110365323047e-02 4.975952228088488249e-01 8.793385751053985899e-01 1.101791316872221316e+00 -1.477753026148261428e+00 2.157214477589139534e+00
3.807831500429299104e-02 4.648510436410689950e-01 8.025756530418535206e-01 8.424875591122380492e-01 -1.228604567228115840e+00 2.733320619006537111e+00
6.858405651506674361e-02 4.386185638972111001e-01 6.786029905147471508e-01 1.111235162174939228e+00 -6.841512168004884042e-01 3.141010822311926631e+00
4.176819876076121041e-02 5.904329618674027946e-01 7.796715051310865174e-01 6.790466123832197276e-01 -7.377132411916714760e-01 2.630360184399046286e+00
5.253256858096184978e-02 4.286539464221359452e-01 6.459571087097040198e-01 6.000258452089481942e-01 -8.782493792961835188e-01 2.731449205307175276e+00
4.233273103624805855e-02 2.679802264998692451e-01 7.959235508497749523e-01 1.148088993733092256e+00 -9.302894990588789215e-01 3.589801513932781241e+00
4.264789115469667935e-02 5.398381022556109077e-01 5.828920613050586619e-01 9.974674380774991578e-01 -4.650501200730692286e-01 3.539072163895163659e+00
6.689855095525859552e-02 5.959532409068333259e-01 8.672959524882384308e-01 1.098001984743491644e+00 -1.361035187344888930e+00 2.450194612080811130e+00
5.532357933295622976e-02 3.925307405133999783e-01 8.676878834471086765e-01 9.894498070499186948e-01 -1.345739250132573339e+00 3.904861558392973997e+00
4.543302068136215177e-02 4.292385666535182276e-01 6.579540827873351372e-01 9.594711994421061263e-01 -1.570616109191102616e+00 3.517200533649726069e+00
6.589148312926179640e-02 5.172717657633872923e-01 6.388398945051998457e-01 1.199338227681622904e+00 -4.612483977951202796e-01 2.102054172524837394e+00
3.823797727849950062e-02 5.927638818742066995e-01 5.290014570412495676e-01 1.033798949505268849e+00 -1.313415138174585550e+00 2.542934960448477000e+00
3.622234163453689343e-02 3.158889788573804869e-01 8.899840437485624367e-01 9.680154753349958785e-01 -1.356581101342122730e+00 2.933083845988454286e+00
6.933766909956563806e-02 4.801282044238999180e-01 5.950561952973130175e-01 8.122009432854359057e-01 -5.360098813654121663e-01 3.590977049361152140e+00
6.057990169954324128e-02 4.665860887620947306e-01 6.153693294409262604e-01 8.530566973827065080e-01 -1.113194169896809083e+00 3.972175027956436288e+00
5.334190363349254616e-02 5.809184501913055021e-01 6.638004750938599763e-01 9.538878943458174442e-01 -4.061451475562323221e-01 3.694527723299225741e+00
3.010441902584702970e-02 2.232756737234653233e-01 6.078927373895400832e-01 9.251456956814443355e-01 -1.129769142811054117e+00 3.577905439966917456e+00
3.387942818356622782e-02 5.040076189112110416e-01 7.188136708172266909e-01 7.636390209182664091e-01 -7.960717375679592367e-01 2.192574554696329336e+00
3.909106828988551802e-02 3.745729991633307554e-01 7.464136611240423935e-01 9.425632161529792219e-01 -1.393792444361821259e+00 3.433810170124353967e+00
6.367505135123138760e-02 4.091490177343644064e-01 6.160653719490891689e-01 9.496751990652740893e-01 -8.811345044218860112e-01 2.569009885329440301e+00
3.641391571585283343e-02 1.252196557412205147e-01 5.405334524938925078e-01 1.216022291729241589e+00 -1.579414543651386893e+00 2.548637087222957565e+00
6.485433353732486528e-02 5.037716941549452709e-01 6.970415566017955644e-01 1.097144271996479015e+00 -7.623745012454490322e-01 3.126842083502618941e+00
6.299378943546385390e-02 2.283097314182888360e-01 6.663763173210441870e-01 1.146923003847974742e+00 -7.777904045943598854e-01 3.801325501281040964e+00
5.096628879445600641e-02 5.154947122489716982e-01 7.268679688191778121e-01 1.084897064714959392e+00 -1.535756932009468390e+00 2.844525243840788864e+00
