Time (s),Type,ID,State,Value,Units
 3.69160E+01,DEVC,Spr_36                                                      ,T, 7.40161E+01,C
 3.69160E+01,CTRL,Act36                                                       ,T
 3.91760E+01,DEVC,Spr_46                                                      ,T, 7.40178E+01,C
 3.91760E+01,CTRL,Act46                                                       ,T
 5.81654E+01,DEVC,Spr_47                                                      ,T, 7.40077E+01,C
 5.81654E+01,CTRL,Act47                                                       ,T
