s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_POLYSTYRENE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.000E+000, 0.000E+000,-5.111E-001, 1.475E-016, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000,-5.111E-001, 0.000E+000, 0.000E+000, 0.000E+000, 0.000E+000
 1.001E+001, 5.528E+003,-1.480E+003,-1.184E+002,-5.017E+001, 4.573E-001, 0.000E+000, 5.635E-015, 3.887E+003, 3.880E+003, 0.000E+000, 1.414E-001, 0.000E+000, 0.000E+000
 2.003E+001, 5.980E+003,-1.019E+003,-3.278E+003,-1.745E+002, 5.081E-001, 0.000E+000,-2.930E-014, 1.516E+003, 1.509E+003, 0.000E+000, 1.500E-001, 0.000E+000, 0.000E+000
 3.005E+001, 5.995E+003,-9.547E+002,-4.668E+003,-1.723E+002, 5.105E-001, 0.000E+000,-5.356E-007, 2.101E+002, 2.003E+002, 0.000E+000, 1.500E-001, 0.000E+000, 0.000E+000
 4.000E+001, 6.031E+003,-8.887E+002,-4.940E+003,-1.381E+002, 5.104E-001, 0.000E+000,-4.964E-001, 7.450E+001, 6.393E+001, 0.000E+000, 1.500E-001, 0.000E+000, 1.867E-004
 5.001E+001, 5.987E+003,-8.445E+002,-5.051E+003,-9.251E+001, 5.091E-001, 0.000E+000,-2.566E+001,-1.505E+001,-2.552E+001, 0.000E+000, 1.500E-001, 0.000E+000, 9.845E-003
 6.000E+001, 5.999E+003,-8.452E+002,-5.112E+003,-7.132E+001, 5.104E-001, 0.000E+000,-3.393E+001,-5.590E+001,-6.343E+001, 0.000E+000, 1.500E-001, 0.000E+000, 1.338E-002
