Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 5.695E+00, 6.237E+01, 2.583E+01, 7.889E+01, 2.110E+02, 1.871E+01, 1.335E+01, 1.828E+01, 3.552E+01, 3.104E+00, 1.857E+02, 0.000E+00, 0.000E+00, 9.301E+01, 0.000E+00, 7.514E+02
    1, 9.360E+00, 4.986E+01, 1.974E+01, 5.792E+01, 1.522E+02, 1.260E+01, 1.487E+01, 5.168E+00, 2.380E+01, 1.751E+00, 3.522E+02, 0.000E+00, 0.000E+00, 5.200E+01, 0.000E+00, 7.515E+02
    2, 9.728E+00, 4.564E+01, 1.921E+01, 5.371E+01, 1.531E+02, 1.509E+01, 1.478E+01, 7.157E+01, 2.652E+01, 3.628E+00, 2.635E+02, 0.000E+00, 0.000E+00, 7.503E+01, 0.000E+00, 7.515E+02
    3, 1.176E+01, 4.127E+01, 1.685E+01, 4.705E+01, 1.294E+02, 9.608E+00, 1.571E+01, 3.963E+00, 1.930E+01, 1.839E+00, 4.183E+02, 0.000E+00, 0.000E+00, 3.641E+01, 0.000E+00, 7.515E+02
