,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-07-07T08:37:20.261-04:00, 0.319E+00,   0.31933, 0.10016E+02
      2,2023-07-07T08:37:20.689-04:00, 0.319E+00,   0.63866, 0.10188E+02
      3,2023-07-07T08:37:21.017-04:00, 0.205E+00,   0.84390, 0.10469E+02
      4,2023-07-07T08:37:21.363-04:00, 0.205E+00,   1.04915, 0.10750E+02
      5,2023-07-07T08:37:21.797-04:00, 0.997E-01,   1.14882, 0.10984E+02
      6,2023-07-07T08:37:22.223-04:00, 0.997E-01,   1.24849, 0.11234E+02
      7,2023-07-07T08:37:22.575-04:00, 0.997E-01,   1.34816, 0.11453E+02
      8,2023-07-07T08:37:22.884-04:00, 0.110E+00,   1.45780, 0.11672E+02
      9,2023-07-07T08:37:23.431-04:00, 0.499E-01,   1.50771, 0.11938E+02
     10,2023-07-07T08:37:23.722-04:00, 0.499E-01,   1.55762, 0.12141E+02
     20,2023-07-07T08:37:27.489-04:00, 0.651E-01,   2.21437, 0.13969E+02
     30,2023-07-07T08:37:32.031-04:00, 0.457E-01,   2.72395, 0.16625E+02
     40,2023-07-07T08:37:38.649-04:00, 0.314E-01,   3.07130, 0.20422E+02
     50,2023-07-07T08:37:45.112-04:00, 0.314E-01,   3.38537, 0.23766E+02
     60,2023-07-07T08:37:51.297-04:00, 0.273E-01,   3.66653, 0.27781E+02
     70,2023-07-07T08:37:55.086-04:00, 0.330E-01,   3.98233, 0.30906E+02
     80,2023-07-07T08:37:59.887-04:00, 0.440E-01,   4.39172, 0.34078E+02
     90,2023-07-07T08:38:02.211-04:00, 0.354E-01,   4.81422, 0.35734E+02
    100,2023-07-07T08:38:06.812-04:00, 0.471E-01,   5.23687, 0.37781E+02
    200,2023-07-07T08:39:02.281-04:00, 0.464E-01,   9.07126, 0.68609E+02
    300,2023-07-07T08:39:55.893-04:00, 0.306E-01,  13.25128, 0.98703E+02
    400,2023-07-07T08:40:44.275-04:00, 0.410E-01,  17.12619, 0.12936E+03
    500,2023-07-07T08:41:40.775-04:00, 0.502E-01,  21.15322, 0.16059E+03
    600,2023-07-07T08:42:43.037-04:00, 0.372E-01,  25.40017, 0.19712E+03
    700,2023-07-07T08:43:40.156-04:00, 0.424E-01,  29.45786, 0.23005E+03
    800,2023-07-07T08:44:17.566-04:00, 0.487E-01,  33.82039, 0.25684E+03
    900,2023-07-07T08:45:03.907-04:00, 0.420E-01,  37.90317, 0.28533E+03
   1000,2023-07-07T08:45:44.559-04:00, 0.303E-01,  41.98147, 0.31145E+03
   1100,2023-07-07T08:46:43.504-04:00, 0.379E-01,  46.19316, 0.34452E+03
   1200,2023-07-07T08:47:29.212-04:00, 0.418E-01,  50.26137, 0.37844E+03
   1300,2023-07-07T08:48:20.390-04:00, 0.413E-01,  54.32369, 0.41375E+03
   1400,2023-07-07T08:49:14.896-04:00, 0.385E-01,  58.20385, 0.44947E+03
   1448,2023-07-07T08:49:50.895-04:00, 0.900E-02,  60.00000, 0.47139E+03
