ticker,name,market_cap,stock_price,revenue
7203,Toyota Motor Corporation,35.40T,"2,706.00",46.75T
6758,Sony Group Corporation,22.98T,"3,813.00",13.81T
8306,"Mitsubishi UFJ Financial Group, Inc.",22.55T,"1,949.50","6,199.27B"
6501,"Hitachi, Ltd.",19.20T,"4,193.00","9,521.78B"
6861,Keyence Corporation,15.21T,"62,700.0","1,035.29B"
8316,"Sumitomo Mitsui Financial Group, Inc.",15.05T,"3,885.00","4,244.87B"
9983,"Fast Retailing Co., Ltd.",14.41T,"46,980.0","3,188.20B"
6098,"Recruit Holdings Co., Ltd.",14.30T,"9,669.00","3,539.48B"
9984,SoftBank Group Corp.,13.53T,"9,390.00","7,057.18B"
7974,"Nintendo Co., Ltd.",13.34T,"11,455.0","1,233.29B"
4519,"Chugai Pharmaceutical Co., Ltd.",12.65T,"7,685.00","1,170.61B"
9432,Nippon Telegraph and Telephone Corporation,12.22T,147.30,13.71T
8035,Tokyo Electron Limited,11.66T,"25,455.0","2,323.46B"
8411,"Mizuho Financial Group, Inc.",10.69T,"4,252.00","3,834.39B"
9434,SoftBank Corp.,"9,963.84B",210.00,"6,383.90B"
8766,"Tokio Marine Holdings, Inc.","9,886.61B","5,112.00","7,875.67B"
9433,KDDI Corporation,"9,601.00B","4,817.00","5,852.71B"
8058,Mitsubishi Corporation,"9,466.70B","2,380.50",18.81T
4063,"Shin-Etsu Chemical Co., Ltd.","9,276.89B","4,686.00","2,521.23B"
8001,ITOCHU Corporation,"8,713.71B","6,141.00",14.62T
8031,"Mitsui & Co., Ltd.","7,837.24B","2,716.50",14.31T
6857,Advantest Corporation,"7,064.99B","9,630.00",683.12B
7011,"Mitsubishi Heavy Industries, Ltd.","7,064.36B","2,104.00","4,944.24B"
4502,Takeda Pharmaceutical Company Limited,"6,686.35B","4,218.00","4,579.02B"
2914,Japan Tobacco Inc.,"6,617.63B","3,727.00","3,149.76B"
4568,"Daiichi Sankyo Company, Limited","6,442.89B","3,429.00","1,795.99B"
7267,"Honda Motor Co., Ltd.","6,234.46B","1,380.00",21.76T
3382,"Seven & i Holdings Co., Ltd.","6,176.95B","2,380.50",10.34T
7741,HOYA Corporation,"6,118.47B","17,710.0",837.44B
6902,DENSO Corporation,"5,567.24B","1,953.00","7,078.29B"
7182,"JAPAN POST BANK Co., Ltd.","5,544.05B","1,533.00","1,497.93B"
6702,Fujitsu Limited,"5,301.16B","2,959.50","3,734.77B"
6981,"Murata Manufacturing Co., Ltd.","5,062.84B","2,718.50","1,721.90B"
4661,"Oriental Land Co., Ltd.","4,969.11B","3,031.00",657.39B
6146,Disco Corporation,"4,967.70B","45,840.0",376.90B
6723,Renesas Electronics Corporation,"4,923.94B","2,743.50","1,348.48B"
6503,Mitsubishi Electric Corporation,"4,906.08B","2,364.00","5,475.81B"
7751,Canon Inc.,"4,839.85B","5,112.00","4,509.82B"
6178,"Japan Post Holdings Co., Ltd.","4,830.61B","1,589.00",11.80T
6367,"Daikin Industries,Ltd.","4,675.98B","15,970.0","4,724.89B"
8725,"MS&AD Insurance Group Holdings, Inc.","4,594.19B","3,048.00","6,620.58B"
6301,Komatsu Ltd.,"4,281.99B","4,640.00","4,027.39B"
6752,Panasonic Holdings Corporation,"4,279.32B","1,833.00","8,600.01B"
8630,"Sompo Holdings, Inc.","4,185.35B","4,401.00","5,151.85B"
9613,NTT DATA Group Corporation,"4,175.41B","2,988.00","4,598.98B"
6954,Fanuc Corporation,"4,168.90B","4,467.00",783.76B
8750,"Dai-ichi Life Holdings, Inc.","4,159.56B","4,520.00",10.42T
5108,Bridgestone Corporation,"4,074.64B","5,950.00","4,430.10B"
6701,NEC Corporation,"4,028.77B","15,115.0","3,405.80B"
4543,Terumo Corporation,"3,938.77B","2,670.50","1,011.15B"
8053,Sumitomo Corporation,"3,925.17B","3,244.00","7,165.77B"
6201,Toyota Industries Corporation,"3,881.98B","12,810.0","4,028.37B"
4578,"Otsuka Holdings Co., Ltd.","3,863.84B","7,194.00","2,329.86B"
8002,Marubeni Corporation,"3,797.24B","2,289.50","7,542.50B"
4901,FUJIFILM Holdings Corporation,"3,634.86B","3,017.00","3,133.02B"
7269,Suzuki Motor Corporation,"3,627.04B","1,880.00","5,810.49B"
6273,SMC Corporation,"3,580.16B","56,170.0",784.71B
5401,Nippon Steel Corporation,"3,516.05B","3,364.00","8,778.78B"
4689,LY Corporation,"3,500.01B",483.70,"1,896.58B"
8801,"Mitsui Fudosan Co., Ltd.","3,490.86B","1,258.50","2,361.07B"
8591,ORIX Corporation,"3,461.90B","3,047.00","2,925.09B"
7832,BANDAI NAMCO Holdings Inc.,"3,260.20B","4,983.00","1,233.84B"
6594,Nidec Corporation,"3,242.55B","2,821.50","2,548.05B"
9020,East Japan Railway Company,"3,242.27B","2,866.00","2,855.17B"
6762,TDK Corporation,"3,178.67B","1,675.50","2,155.46B"
8267,"Aeon Co., Ltd.","3,123.69B","3,646.00","9,998.28B"
1925,"Daiwa House Industry Co., Ltd.","3,120.92B","4,978.00","5,396.75B"
4452,Kao Corporation,"3,031.23B","6,526.00","1,628.45B"
4307,"Nomura Research Institute, Ltd.","2,991.38B","5,223.00",754.78B
8604,"Nomura Holdings, Inc.","2,948.62B",997.60,"1,884.85B"
2802,"Ajinomoto Co., Inc.","2,939.95B","5,913.00","1,522.62B"
9022,Central Japan Railway Company,"2,829.97B","2,876.00","1,805.43B"
8308,"Resona Holdings, Inc.","2,828.49B","1,232.50",930.69B
8309,"Sumitomo Mitsui Trust Group, Inc.","2,774.11B","3,942.00","1,178.41B"
8802,"Mitsubishi Estate Co., Ltd.","2,707.52B","2,173.00","1,626.16B"
2502,"Asahi Group Holdings, Ltd.","2,647.27B","1,761.50","2,939.42B"
4503,Astellas Pharma Inc.,"2,623.40B","1,465.50","1,867.63B"
8015,Toyota Tsusho Corporation,"2,558.40B","2,416.00",10.13T
9766,Konami Group Corporation,"2,545.76B","18,780.0",418.05B
7936,ASICS Corporation,"2,526.57B","3,530.00",678.53B
6971,Kyocera Corporation,"2,454.04B","1,742.00","2,003.60B"
4612,"Nippon Paint Holdings Co., Ltd.","2,448.55B","1,042.50","1,638.72B"
7532,Pan Pacific International Holdings Corporation,"2,421.10B","4,055.00","2,176.10B"
8830,"Sumitomo Realty & Development Co., Ltd.","2,394.78B","5,066.00","1,024.10B"
7733,Olympus Corporation,"2,310.78B","2,049.00",993.33B
5020,"ENEOS Holdings, Inc.","2,308.10B",840.60,13.22T
1605,Inpex Corporation,"2,293.40B","1,915.00","2,265.84B"
6326,Kubota Corporation,"2,247.67B","1,955.50","3,016.28B"
9101,Nippon Yusen Kabushiki Kaisha,"2,247.12B","5,185.00","2,574.98B"
1928,"Sekisui House, Ltd.","2,172.39B","3,352.00","3,780.75B"
5802,"Sumitomo Electric Industries, Ltd.","2,132.53B","2,734.50","4,622.13B"
4755,"Rakuten Group, Inc.","2,116.78B",982.50,"2,279.23B"
9735,"SECOM CO., LTD.","2,108.18B","5,083.00","1,183.73B"
6988,Nitto Denko Corporation,"2,089.41B","2,923.50",999.52B
7270,Subaru Corporation,"2,001.57B","2,738.00","4,742.89B"
8113,Unicharm Corporation,"1,963.17B","1,116.00",988.98B
4684,"OBIC Co.,Ltd.","1,949.17B","4,431.00",117.73B
4091,Nippon Sanso Holdings Corporation,"1,932.70B","4,465.00","1,297.69B"
4507,"Shionogi & Co., Ltd.","1,920.42B","2,257.50",456.87B
8421,Shinkin Central Bank,"1,911.45B","219,800",183.35B
9104,"Mitsui O.S.K. Lines, Ltd.","1,905.40B","5,426.00","1,727.92B"
9503,"The Kansai Electric Power Company, Incorporated","1,905.02B","1,710.00","4,213.94B"
4716,Oracle Corporation Japan,"1,878.54B","14,610.0",252.42B
5803,Fujikura Ltd.,"1,824.53B","6,613.00",911.76B
9843,"Nitori Holdings Co., Ltd.","1,800.28B","15,645.0",937.00B
7309,Shimano Inc.,"1,797.35B","20,180.0",450.99B
9531,"Tokyo Gas Co.,Ltd.","1,782.08B","4,759.00","2,605.62B"
3659,"NEXON Co., Ltd.","1,729.89B","2,107.50",446.21B
6869,Sysmex Corporation,"1,707.35B","2,774.50",501.85B
9697,"Capcom Co., Ltd.","1,706.93B","4,081.00",135.08B
7201,"Nissan Motor Co., Ltd.","1,693.92B",458.80,12.66T
8136,"Sanrio Company, Ltd.","1,664.48B","7,047.00",132.34B
8795,"T&D Holdings, Inc.","1,656.71B","3,153.00","2,746.62B"
2503,"Kirin Holdings Company, Limited","1,634.57B","2,018.00","2,338.39B"
8697,"Japan Exchange Group, Inc.","1,619.94B","1,557.00",163.12B
9435,"Hikari Tsushin, Inc.","1,615.71B","36,840.0",654.07B
3402,"Toray Industries, Inc.","1,566.14B",992.40,"2,559.09B"
8601,Daiwa Securities Group Inc.,"1,478.51B","1,047.50",786.45B
1812,Kajima Corporation,"1,475.31B","3,134.00","2,696.94B"
4704,Trend Micro Incorporated,"1,463.96B","11,150.0",272.64B
6383,"Daifuku Co., Ltd.","1,462.22B","3,945.00",728.33B
8593,Mitsubishi HC Capital Inc.,"1,441.66B","1,004.50","2,077.44B"
