ticker,name,market_cap,stock_price,revenue
2587,Suntory Beverage & Food Limited,"1,441.49B","4,665.00","1,696.77B"
1802,Obayashi Corporation,"1,434.99B","2,001.50","2,504.77B"
7202,Isuzu Motors Limited,"1,423.68B","1,970.00","3,200.92B"
3092,"ZOZO, Inc.","1,415.88B","4,768.00",210.52B
9021,West Japan Railway Company,"1,391.45B","2,932.50","1,686.38B"
7013,IHI Corporation,"1,384.96B","9,509.00","1,605.92B"
3407,Asahi Kasei Corporation,"1,375.43B","1,012.00","2,979.98B"
2413,"M3, Inc.","1,375.04B","2,025.00",265.22B
9202,ANA Holdings Inc.,"1,373.31B","2,940.50","2,215.13B"
8473,"SBI Holdings, Inc.","1,372.17B","4,532.00","1,359.18B"
9532,"Osaka Gas Co., Ltd.","1,367.78B","3,231.00","2,017.03B"
6920,Lasertec Corporation,"1,360.52B","15,085.0",247.49B
2801,Kikkoman Corporation,"1,351.14B","1,425.50",701.48B
5019,"Idemitsu Kosan Co.,Ltd.","1,336.62B","1,029.00","9,193.40B"
9107,"Kawasaki Kisen Kaisha, Ltd.","1,336.51B","2,104.00","1,051.90B"
7911,TOPPAN Holdings Inc.,"1,329.13B","4,575.00","1,721.10B"
4768,Otsuka Corporation,"1,327.58B","3,499.00","1,107.67B"
7259,Aisin Corporation,"1,325.91B","1,750.00","4,782.99B"
7012,"Kawasaki Heavy Industries, Ltd.","1,317.04B","7,862.00","2,027.58B"
6586,Makita Corporation,"1,298.63B","4,800.00",759.33B
3064,"MonotaRO Co., Ltd.","1,277.30B","2,628.50",288.12B
285A,Kioxia Holdings Corporation,"1,257.63B","2,333.00","1,681.46B"
1801,Taisei Corporation,"1,231.75B","6,907.00","2,146.24B"
9602,"Toho Co., Ltd.","1,215.55B","7,170.00",314.42B
6361,Ebara Corporation,"1,214.84B","2,630.00",866.67B
7272,"Yamaha Motor Co., Ltd.","1,210.22B","1,238.00","2,576.18B"
4523,"Eisai Co., Ltd.","1,206.20B","4,279.00",791.66B
7550,"Zensho Holdings Co., Ltd.","1,204.28B","7,689.00","1,105.74B"
9502,"Chubu Electric Power Company, Incorporated","1,183.07B","1,575.50","3,564.91B"
9719,SCSK Corporation,"1,176.01B","3,763.00",513.78B
9201,"Japan Airlines Co., Ltd.","1,155.35B","2,646.50","1,824.14B"
7701,Shimadzu Corporation,"1,147.69B","3,957.00",530.57B
5411,"JFE Holdings, Inc.","1,146.23B","1,800.50","4,984.36B"
6506,YASKAWA Electric Corporation,"1,144.32B","4,411.00",545.02B
7735,"SCREEN Holdings Co., Ltd.","1,143.13B","11,160.0",617.05B
7181,"Japan Post Insurance Co., Ltd.","1,099.36B","2,833.00","3,784.14B"
7453,"Ryohin Keikaku Co., Ltd.","1,096.61B","4,138.00",696.45B
5929,Sanwa Holdings Corporation,"1,082.93B","5,024.00",650.75B
4188,Mitsubishi Chemical Group Corporation,"1,082.31B",760.50,"4,473.62B"
4151,"Kyowa Kirin Co., Ltd.","1,080.21B","2,037.00",495.56B
4911,"Shiseido Company, Limited","1,074.65B","2,667.00",990.59B
7186,"Concordia Financial Group, Ltd.","1,068.09B",935.70,313.82B
4204,"Sekisui Chemical Co., Ltd.","1,048.04B","2,510.00","1,287.95B"
3003,"Hulic Co., Ltd.","1,038.02B","1,363.00",591.62B
8951,Nippon Building Fund Inc.,"1,035.05B","121,700",101.04B
9023,"Tokyo Metro Co., Ltd.","1,033.31B","1,778.50",404.24B
1878,"Daito Trust Construction Co.,Ltd.","1,024.38B","15,590.0","1,823.81B"
5838,"Rakuten Bank, Ltd.","1,016.71B","5,827.00",145.22B
6532,"Baycurrent, Inc.","1,004.65B","6,607.00",109.72B
7912,"Dai Nippon Printing Co., Ltd.",999.62B,"2,203.00","1,442.63B"
8331,"The Chiba Bank, Ltd.",980.06B,"1,380.00",258.85B
9005,Tokyu Corporation,973.19B,"1,675.00","1,094.62B"
1803,Shimizu Corporation,970.90B,"1,404.00","1,884.93B"
6504,"Fuji Electric Co., Ltd.",964.09B,"6,750.00","1,134.62B"
5201,AGC Inc.,949.31B,"4,472.00","2,067.60B"
3088,MatsukiyoCocokara & Co.,941.72B,"2,333.50","1,053.72B"
6479,MINEBEA MITSUMI Inc.,935.70B,"2,330.00","1,496.68B"
1911,"Sumitomo Forestry Co., Ltd.",928.91B,"4,539.00","2,053.65B"
5713,"Sumitomo Metal Mining Co., Ltd.",921.54B,"3,354.00","1,553.15B"
9143,"SG Holdings Co.,Ltd.",916.94B,"1,466.00","1,440.54B"
6645,OMRON Corporation,914.38B,"4,644.00",790.47B
2875,"Toyo Suisan Kaisha, Ltd.",902.92B,"9,302.00",525.83B
5334,"Niterra Co., Ltd.",891.98B,"4,495.00",644.29B
2267,"Yakult Honsha Co.,Ltd.",891.29B,"2,939.50",501.62B
3626,TIS Inc.,890.82B,"3,835.00",560.82B
7752,"Ricoh Company, Ltd.",877.65B,"1,541.50","2,486.70B"
5831,"Shizuoka Financial Group,Inc.",872.66B,"1,602.00",249.07B
9042,"Hankyu Hanshin Holdings, Inc.",870.82B,"3,638.00","1,065.60B"
2897,"Nissin Foods Holdings Co.,Ltd.",860.35B,"2,928.00",766.29B
9684,"Square Enix Holdings Co., Ltd.",852.41B,"7,100.00",347.25B
6525,Kokusai Electric Corporation,840.97B,"3,629.00",223.84B
3099,Isetan Mitsukoshi Holdings Ltd.,839.01B,"2,280.50",552.12B
6305,"Hitachi Construction Machinery Co., Ltd.",829.97B,"3,877.00","1,388.96B"
6465,Hoshizaki Corporation,829.20B,"5,867.00",445.50B
9024,Seibu Holdings Inc.,828.63B,"3,059.00",498.20B
4324,Dentsu Group Inc.,809.68B,"3,080.00","1,410.96B"
2269,"Meiji Holdings Co., Ltd.",803.87B,"2,967.50","1,147.52B"
6967,"Shinko Electric Industries Co., Ltd.",797.60B,"5,903.00",213.23B
6724,Seiko Epson Corporation,791.31B,"2,455.50","1,345.72B"
9962,MISUMI Group Inc.,791.04B,"2,882.00",396.41B
8952,Japan Real Estate Investment Corporation,774.75B,"108,900",83.99B
2702,"McDonald's Holdings Company (Japan), Ltd.",773.82B,"5,820.00",405.48B
8354,"Fukuoka Financial Group, Inc.",767.06B,"4,035.00",310.46B
2327,NS Solutions Corporation,752.94B,"4,113.00",330.81B
6841,Yokogawa Electric Corporation,745.26B,"2,864.00",555.95B
2670,"ABC-Mart,Inc.",732.33B,"2,957.50",368.95B
4528,"Ono Pharmaceutical Co., Ltd.",731.80B,"1,558.00",487.33B
1773,YTL Corporation Berhad,731.67B,69.00,"1,099.60B"
9009,"Keisei Electric Railway Co., Ltd.",719.70B,"1,472.00",312.08B
7747,"Asahi Intecc Co., Ltd.",715.33B,"2,793.00",114.70B
3038,"Kobe Bussan Co., Ltd.",709.04B,"3,205.00",507.88B
9404,"Nippon Television Holdings, Inc.",708.10B,"2,859.50",450.92B
3231,"Nomura Real Estate Holdings, Inc.",702.91B,"4,093.00",788.22B
6448,"Brother Industries, Ltd.",702.67B,"2,639.50",868.92B
4816,"Toei Animation Co.,Ltd.",700.40B,"3,425.00",94.24B
3289,Tokyu Fudosan Holdings Corporation,696.40B,975.00,"1,148.47B"
5406,"Kobe Steel, Ltd.",690.91B,"1,753.00","2,553.49B"
9147,"Nippon Express Holdings, Inc.",690.29B,"2,657.00","2,577.64B"
2768,Sojitz Corporation,687.55B,"3,240.00","2,507.88B"
5332,Toto Ltd.,683.53B,"4,029.00",719.82B
8439,Tokyo Century Corporation,683.04B,"1,474.50","1,354.58B"
9401,"TBS Holdings,Inc.",676.60B,"4,245.00",401.78B
7163,"SBI Sumishin Net Bank, Ltd.",670.98B,"4,665.00",124.76B
9064,"Yamato Holdings Co., Ltd.",670.34B,"2,001.50","1,736.33B"
4732,"USS Co., Ltd.",667.96B,"1,399.00",102.74B
8953,Japan Metropolitan Fund Investment Corporation,666.77B,"93,600.0",81.72B
3462,"Nomura Real Estate Master Fund, Inc.",664.89B,"143,900",84.46B
4042,Tosoh Corporation,664.41B,"2,086.00","1,053.45B"
8227,"SHIMAMURA Co., Ltd.",653.89B,"8,896.00",654.63B
3283,"Nippon Prologis REIT, Inc.",648.40B,"228,400",61.43B
1944,Kinden Corporation,641.72B,"3,220.00",691.99B
3635,"Koei Tecmo Holdings Co., Ltd.",641.15B,"2,030.00",76.02B
7261,Mazda Motor Corporation,639.49B,"1,014.50","4,950.59B"
4004,Resonac Holdings Corporation,637.29B,"3,527.00","1,389.28B"
4183,"Mitsui Chemicals, Inc.",636.40B,"3,397.00","1,814.05B"
9501,"Tokyo Electric Power Company Holdings, Incorporated",634.91B,396.30,"6,776.65B"
6963,"ROHM Co., Ltd.",631.66B,"1,621.00",457.30B
5844,"Kyoto Financial Group,Inc.",630.42B,"2,179.00",132.43B
9041,"Kintetsu Group Holdings Co.,Ltd.",627.58B,"3,280.00","1,715.63B"
6806,"Hirose Electric Co.,Ltd.",624.94B,"18,370.0",184.77B
3291,"Iida Group Holdings Co., Ltd.",623.42B,"2,229.50","1,471.29B"
6753,Sharp Corporation,623.33B,960.00,"2,215.16B"
7167,"Mebuki Financial Group,Inc.",621.40B,631.20,-
9749,Fuji Soft Incorporated,617.70B,"9,803.00",317.48B
6460,Sega Sammy Holdings Inc.,616.37B,"2,885.50",439.64B
3288,"Open House Group Co., Ltd.",616.36B,"5,295.00","1,307.15B"
3769,"GMO Payment Gateway, Inc.",612.85B,"8,080.00",76.29B
8972,KDX Realty Investment Corporation,612.21B,"150,100",78.06B
6845,Azbil Corporation,607.68B,"1,184.00",303.49B
3861,Oji Holdings Corporation,603.16B,627.70,"1,787.60B"
3405,"Kuraray Co., Ltd.",601.22B,"1,867.00",826.90B
8572,"Acom Co., Ltd.",601.11B,383.70,312.57B
4021,Nissan Chemical Corporation,601.09B,"4,394.00",246.20B
9508,"Kyushu Electric Power Company, Incorporated",598.72B,"1,276.00","2,271.40B"
3281,GLP J-REIT,597.88B,"122,600",54.90B
4751,"CyberAgent, Inc.",588.72B,"1,162.50",813.76B
2501,Sapporo Holdings Limited,588.17B,"7,535.00",530.78B
5021,"Cosmo Energy Holdings Co., Ltd.",577.36B,"6,810.00","2,754.80B"
4005,"Sumitomo Chemical Company, Limited",568.59B,347.40,"2,544.86B"
3197,"Skylark Holdings Co., Ltd.",564.32B,"2,525.00",401.13B
7211,Mitsubishi Motors Corporation,562.29B,420.20,"2,715.03B"
4733,"OBIC Business Consultants Co., Ltd.",559.98B,"7,450.00",46.29B
9142,Kyushu Railway Company,559.28B,"3,583.00",449.39B
3349,COSMOS Pharmaceutical Corporation,558.68B,"6,831.00",994.50B
4676,"Fuji Media Holdings, Inc.",555.18B,"2,733.00",569.68B
7276,"Koito Manufacturing Co., Ltd.",554.46B,"1,928.50",910.51B
8984,Daiwa House REIT Investment Corporation,552.46B,"240,700",64.51B
6370,Kurita Water Industries Ltd.,550.03B,"4,890.00",398.99B
8253,"Credit Saison Co., Ltd.",549.30B,"3,674.00",476.17B
5333,"NGK Insulators, Ltd.",548.22B,"1,878.00",611.84B
2212,"Yamazaki Baking Co., Ltd.",547.42B,"2,752.50","1,244.49B"
8060,Canon Marketing Japan Inc.,546.82B,"5,021.00",653.92B
5101,"The Yokohama Rubber Company, Limited",540.96B,"3,392.00","1,094.75B"
1942,"Kandenko Co.,Ltd.",538.79B,"2,636.00",650.56B
1808,HASEKO Corporation,536.67B,"1,979.50","1,162.31B"
9468,Kadokawa Corporation,535.82B,"3,657.00",277.67B
4062,"Ibiden Co.,Ltd.",534.71B,"3,830.00",360.68B
7951,Yamaha Corporation,523.04B,"1,089.00",471.77B
9506,"Tohoku Electric Power Company, Incorporated",522.92B,"1,059.50","2,681.93B"
4527,"Rohto Pharmaceutical Co.,Ltd.",521.53B,"2,349.00",295.57B
7731,Nikon Corporation,521.24B,"1,540.50",701.00B
2331,"Sohgo Security Services Co.,Ltd.",520.53B,"1,051.00",542.91B
2181,"Persol Holdings Co.,Ltd.",518.74B,233.80,"1,422.71B"
4912,Lion Corporation,515.05B,"1,863.50",412.94B
3086,"J. Front Retailing Co., Ltd.",509.23B,"1,987.00",436.43B
9001,"Tobu Railway Co., Ltd.",508.64B,"2,626.00",627.72B
9989,"Sundrug Co.,Ltd.",502.38B,"4,311.00",789.40B
4403,NOF Corporation,502.34B,"2,130.50",233.32B
6965,Hamamatsu Photonics K.K.,501.47B,"1,678.50",201.04B
9007,"Odakyu Electric Railway Co., Ltd.",500.56B,"1,490.00",428.67B
5444,"Yamato Kogyo Co., Ltd.",500.26B,"8,103.00",167.52B
8804,"Tokyo Tatemono Co., Ltd.",499.71B,"2,416.50",463.72B
5938,LIXIL Corporation,495.84B,"1,740.00","1,500.74B"
1973,NEC Networks & System Integration Corporation,491.63B,"3,300.00",375.84B
8963,Invincible Investment Corporation,490.90B,"64,200.0",39.96B
4536,"Santen Pharmaceutical Co., Ltd.",489.50B,"1,434.00",301.91B
5801,"Furukawa Electric Co., Ltd.",487.54B,"6,918.00","1,173.24B"
5830,"Iyogin Holdings,Inc.",486.20B,"1,580.00",169.84B
6324,Harmonic Drive Systems Inc.,485.41B,"5,110.00",54.23B
3563,Food & Life Companies Ltd.,484.19B,"4,280.00",374.74B
8954,ORIX JREIT Inc.,481.34B,"174,400",54.80B
5947,Rinnai Corporation,480.29B,"3,415.00",452.34B
2002,Nisshin Seifun Group Inc.,476.42B,"1,690.00",855.01B
8252,"Marui Group Co., Ltd.",475.74B,"2,586.50",252.51B
6417,"Sankyo Co., Ltd.",474.90B,"2,162.50",182.21B
7649,"Sugi Holdings Co.,Ltd.",469.65B,"2,731.50",827.96B
6113,"Amada Co., Ltd.",467.97B,"1,451.50",393.11B
3141,"Welcia Holdings Co., Ltd.",464.87B,"2,244.00","1,258.80B"
8359,"The Hachijuni Bank, Ltd.",464.53B,"1,006.50",188.80B
6481,"THK Co., Ltd.",463.19B,"3,701.00",352.76B
7459,MediPal Holdings Corporation,462.48B,"2,236.50","3,650.99B"
9008,Keio Corporation,461.65B,"3,894.00",449.51B
4182,"Mitsubishi Gas Chemical Company, Inc.",461.44B,"2,352.00",774.87B
5110,"Sumitomo Rubber Industries, Ltd.",460.69B,"1,751.50","1,211.86B"
8960,United Urban Investment Corporation,459.39B,"149,900",54.19B
6406,"Fujitec Co., Ltd.",458.26B,"5,763.00",240.60B
3391,Tsuruha Holdings Inc.,457.34B,"9,397.00","1,041.04B"
5233,Taiheiyo Cement Corporation,456.26B,"3,962.00",907.97B
2371,"Kakaku.com, Inc.",456.17B,"2,317.00",74.94B
9513,"Electric Power Development Co., Ltd.",452.99B,"2,477.00","1,256.11B"
5344,"Maruwa Co.,Ltd.",450.90B,"36,540.0",69.68B
3774,Internet Initiative Japan Inc.,449.01B,"2,575.00",304.29B
2432,"DeNA Co., Ltd.",448.26B,"4,025.00",149.31B
2282,NH Foods Ltd.,443.15B,"4,479.00","1,360.49B"
4186,"Tokyo Ohka Kogyo Co., Ltd.",441.53B,"3,800.00",200.97B
2871,Nichirei Corporation,440.52B,"3,492.00",700.52B
8905,"AEON Mall Co., Ltd.",439.76B,"1,932.50",442.04B
2579,Coca-Cola Bottlers Japan Holdings Inc.,438.02B,"2,465.00",892.68B
4088,Air Water Inc.,431.65B,"1,885.00","1,064.74B"
9706,"Japan Airport Terminal Co., Ltd.",426.62B,"4,685.00",260.11B
8056,BIPROGY Inc.,424.77B,"4,327.00",390.53B
8334,"The Gunma Bank, Ltd.",424.26B,"1,060.00",150.43B
6856,"HORIBA, Ltd.",421.62B,"10,050.0",317.37B
3436,Sumco Corporation,415.80B,"1,174.50",396.62B
4967,"Kobayashi Pharmaceutical Co., Ltd.",413.47B,"5,562.00",165.60B
3269,Advance Residence Investment Corporation,411.27B,"141,900",37.39B
9533,"Toho Gas Co., Ltd.",406.92B,"4,097.00",644.00B
9006,Keikyu Corporation,394.65B,"1,438.00",291.27B
4812,Dentsu Soken Inc.,393.05B,"6,220.00",152.64B
5105,Toyo Tire Corporation,389.64B,"2,530.50",565.36B
2433,Hakuhodo DY Holdings Inc,388.88B,"1,058.50",959.98B
2809,Kewpie Corporation,388.65B,"2,817.00",483.99B
5631,"The Japan Steel Works, Ltd.",388.63B,"5,486.00",251.35B
4613,"Kansai Paint Co., Ltd.",386.74B,"2,189.50",584.74B
3923,"Rakus Co., Ltd.",386.53B,"2,131.50",46.12B
4980,Dexerials Corporation,386.48B,"2,270.00",111.64B
6923,"Stanley Electric Co., Ltd.",379.46B,"2,538.00",492.90B
8233,"Takashimaya Company, Limited",378.80B,"1,230.50",408.84B
4385,"Mercari, Inc.",377.84B,"2,299.50",189.18B
5901,"Toyo Seikan Group Holdings, Ltd.",377.05B,"2,325.00",935.64B
6141,"DMG Mori Co., Ltd.",376.96B,"2,538.00",555.01B
7240,NOK Corporation,375.87B,"2,304.50",772.06B
1969,"Takasago Thermal Engineering Co., Ltd.",375.53B,"5,535.00",364.83B
1721,COMSYS Holdings Corporation,374.23B,"3,279.00",605.18B
9076,"Seino Holdings Co., Ltd.",373.91B,"2,225.50",697.73B
2222,"Kotobuki Spirits Co., Ltd.",373.08B,"2,387.00",70.81B
8279,"Yaoko Co.,Ltd.",372.41B,"9,214.00",707.63B
7164,"ZENKOKU HOSHO Co.,Ltd.",369.08B,"5,464.00",53.18B
7729,"Tokyo Seimitsu Co., Ltd.",368.54B,"9,095.00",148.92B
5991,"NHK Spring Co., Ltd.",367.52B,"1,749.50",797.32B
6526,Socionext Inc.,367.12B,"2,069.00",196.87B
6473,JTEKT Corporation,366.71B,"1,138.00","1,864.74B"
6849,Nihon Kohden Corporation,363.76B,"2,227.50",224.29B
2784,Alfresa Holdings Corporation,363.59B,"2,004.00","2,941.02B"
9987,"Suzuken Co., Ltd.",363.58B,"5,014.00","2,410.84B"
1951,"EXEO Group, Inc.",362.85B,"1,752.00",649.98B
9301,Mitsubishi Logistics Corporation,361.34B,"1,037.00",276.30B
3697,SHIFT Inc.,361.21B,"1,373.00",115.73B
7337,"Hirogin Holdings, Inc.",360.87B,"1,200.00",-
8088,Iwatani Corporation,359.72B,"1,579.00",854.75B
6302,"Sumitomo Heavy Industries, Ltd.",359.28B,"2,962.00","1,071.13B"
6005,"Miura Co., Ltd.",358.22B,"3,248.00",226.96B
2229,"Calbee, Inc.",356.13B,"2,850.50",319.47B
4922,KOSÉ Corporation,355.74B,"6,200.00",322.76B
7518,"Net One Systems Co., Ltd.",355.36B,"4,481.00",217.51B
4202,Daicel Corporation,354.81B,"1,323.00",576.33B
8418,"Yamaguchi Financial Group, Inc.",353.55B,"1,664.00",169.61B
3116,Toyota Boshoku Corporation,353.09B,"1,990.00","1,929.15B"
